year,auraient_VERB ouvert_VERB
1800,1.5720821977538435e-08
1801,0.0
1802,2.2378401354217203e-08
1803,1.3652374342143503e-08
1804,1.730295728918918e-08
1805,2.2743021688143017e-08
1806,8.645007376628655e-09
1807,1.4234775136401367e-08
1808,1.5862518409903714e-08
1809,6.7770917766551975e-09
1810,4.680253518074551e-09
1811,1.2535384286138651e-08
1812,2.1337665856435706e-08
1813,3.163315653864629e-08
1814,6.293354282149721e-09
1815,5.394447111228828e-09
1816,2.5493642752394408e-08
1817,1.8682481339737933e-08
1818,2.8610825708597076e-08
1819,4.6579724966022695e-08
1820,3.678609061807947e-08
1821,1.577838126820552e-08
1822,3.408709403629473e-08
1823,4.348382276475604e-08
1824,4.210556348027694e-09
1825,1.937197424695114e-08
1826,2.8185549894033102e-08
1827,6.728609491801762e-08
1828,5.044765671868845e-08
1829,2.2290258527846163e-08
1830,1.7742621594152297e-08
1831,1.2472964883158966e-08
1832,1.7588959622116818e-08
1833,4.9809603552830595e-08
1834,3.173740381612333e-08
1835,2.571449897459388e-08
1836,1.344150035720304e-08
1837,3.6876823372722356e-08
1838,1.3886756633496589e-08
1839,2.027527834513876e-08
1840,1.7198159341091923e-08
1841,3.852328944731198e-08
1842,1.7441490030023488e-08
1843,1.8902115428431898e-08
1844,1.701453911095996e-08
1845,1.674068350610014e-08
1846,2.985795788390533e-08
1847,4.260646591092154e-08
1848,2.413566591030758e-08
1849,3.351765798242923e-08
1850,3.6660580349234806e-08
1851,6.642921590582773e-08
1852,2.539112742283578e-08
1853,4.777545470346922e-09
1854,1.454786069388092e-08
1855,2.4942604426314574e-08
1856,1.9155599773057475e-08
1857,3.417056504417815e-08
1858,2.838332058274773e-08
1859,2.49516496353408e-08
1860,2.288591893773173e-08
1861,3.3483342321005694e-08
1862,2.0782737308877586e-08
1863,3.8958042125614156e-08
1864,3.068625886726295e-08
1865,2.118079933666195e-08
1866,3.795178216137174e-08
1867,1.8925964795357686e-08
1868,4.1494942593089945e-08
1869,2.3929244363785074e-08
1870,1.490852596930381e-08
1871,1.6993883633631413e-08
1872,1.7537283625301825e-08
1873,2.993002112816612e-08
1874,3.883495836021211e-08
1875,2.5174719198162165e-08
1876,1.874264654588842e-08
1877,2.2265338017746217e-08
1878,5.435179861734696e-09
1879,1.2829582729523281e-08
1880,1.3477476912271413e-08
1881,2.9284532132578533e-08
1882,2.1297232422057277e-08
1883,2.401348808689363e-08
1884,1.1883054540362536e-08
1885,1.6114089618213256e-08
1886,3.1621972595985426e-08
1887,2.3504128421336645e-08
1888,1.5851536971922542e-08
1889,2.318100555953606e-08
1890,1.7696843102044113e-08
1891,1.1473596295275001e-08
1892,1.8805536683430546e-08
1893,2.155445777418663e-08
1894,1.7014155417882648e-08
1895,3.370423939941247e-08
1896,3.125425251937486e-08
1897,1.806281169081103e-08
1898,2.319925584970406e-08
1899,3.15071986278781e-08
1900,3.1665425836990835e-08
1901,3.073806453812722e-08
1902,2.9461702411026636e-08
1903,2.7001101798873606e-08
1904,1.6123875568041512e-08
1905,2.580379465655369e-08
1906,1.4403716441790948e-08
1907,1.9542804707839423e-08
1908,1.964555629285769e-08
1909,1.320236009405562e-08
1910,1.60324518105881e-08
1911,1.9153347352585115e-08
1912,1.4586379215586476e-08
1913,2.0681659052002033e-08
1914,2.209925398233281e-08
1915,2.4739600590351074e-08
1916,2.8567400889301098e-08
1917,1.7546279096336548e-08
1918,4.5945505178224266e-08
1919,3.222746869369075e-08
1920,1.817335615328375e-08
1921,1.8931869405491852e-08
1922,8.115729421831475e-09
1923,2.441668023323018e-08
1924,2.707241186783449e-08
1925,9.898360353588487e-09
1926,1.0031524944054127e-08
1927,7.804457524684949e-09
1928,1.1426041446327417e-08
1929,1.3368487650211591e-08
1930,6.302162347537887e-09
1931,2.5091784650044247e-08
1932,2.520693342944469e-08
1933,1.1470662641954732e-08
1934,8.38710612072191e-09
1935,2.5133395809007197e-08
1936,1.33371855781661e-08
1937,1.1332006444320086e-08
1938,3.1116513810047763e-08
1939,1.3764645423464117e-08
1940,1.5214697057785997e-08
1941,1.7709016475464523e-08
1942,1.8205270180260413e-08
1943,1.7419411690866582e-08
1944,2.5705489292704442e-08
1945,1.742803235060819e-08
1946,2.645009899993056e-08
1947,3.2186353138285995e-08
1948,1.848220954059343e-08
1949,2.5524220959027843e-08
1950,1.2762433776458693e-08
1951,2.9851925376078725e-08
1952,1.687168627029223e-08
1953,1.6160740301529586e-08
1954,7.818028890937967e-09
1955,1.5016972554349195e-08
1956,2.1802854632824165e-08
1957,3.268964121616591e-08
1958,2.8952852559882558e-08
1959,3.4878365084978213e-08
1960,1.3841666479663672e-08
1961,9.03260666262895e-09
1962,2.3465238641051656e-08
1963,2.133797494252576e-08
1964,1.3384730657151067e-08
1965,1.2038495533772675e-08
1966,1.7725039214155913e-08
1967,1.7749208325312793e-08
1968,2.5601069708613977e-08
1969,2.043791091921321e-08
1970,2.207388050123882e-08
1971,1.5929032315398217e-08
1972,1.846852804021637e-08
1973,2.3155456219114967e-08
1974,1.1813700240281833e-08
1975,1.1994108817248161e-08
1976,2.3425460682346966e-08
1977,2.291944944943225e-08
1978,1.2475242172627077e-08
1979,1.521513048885481e-08
1980,1.0233271119375331e-08
1981,1.5813874654213578e-08
1982,1.2415004135846175e-08
1983,1.6419821946556112e-08
1984,1.1018116197192285e-08
1985,1.4437339324047116e-08
1986,2.0980699844130868e-08
1987,1.8332450224534114e-08
1988,2.4585871116755698e-08
1989,1.4269117443177493e-08
1990,2.5063794595325817e-08
1991,2.1101275393675678e-08
1992,2.2039776226279173e-08
1993,1.938722604677423e-08
1994,2.8484603120659813e-08
1995,1.7894087989134277e-08
1996,1.7081895009596337e-08
1997,2.7810388658622287e-08
1998,2.3840646790063147e-08
1999,1.1425503210205079e-08
2000,2.164835422036049e-08
2001,2.3220422917802352e-08
2002,1.8401129509015846e-08
2003,2.0417921575699438e-08
2004,2.2904915297772277e-08
2005,2.8823997411109303e-08
2006,2.3471972809829822e-08
2007,2.5564668604260987e-08
2008,2.1287197782271505e-08
2009,2.145686650578682e-08
2010,1.369900015646408e-08
2011,2.2943831723409858e-08
2012,2.2808492872172792e-08
2013,3.123820135897404e-08
2014,3.9844191945803686e-08
2015,2.0835809522168347e-08
2016,2.423467826417891e-08
2017,2.4652990759932436e-08
2018,2.2975052971219156e-08
2019,3.9540310581287486e-08
