year,est_VERB ouvert_ADJ,est_VERB couvert_ADJ
1800,9.432493897065797e-09,1.9368053472135216e-06
1801,9.524730337773235e-09,1.631110080779763e-06
1802,1.3427040812530322e-08,1.6224340697590378e-06
1803,0.0,2.9489128792192787e-06
1804,1.4831105232815389e-08,1.7352393797409604e-06
1805,5.685755422035754e-09,1.6005401448637713e-06
1806,0.0,1.5186395785349305e-06
1807,5.693910232196231e-09,1.4092428273215774e-06
1808,2.2660739951163578e-09,1.3936355571786407e-06
1809,2.259030518203531e-09,1.6852367252795375e-06
1810,0.0,1.4859805332889664e-06
1811,5.0141535368197765e-09,1.6070362107711844e-06
1812,2.6672082320544632e-09,1.130896293943806e-06
1813,2.8757416448144113e-09,1.11003623715078e-06
1814,6.293354282149721e-09,1.1925906164833577e-06
1815,5.394447111228828e-09,1.0357338169342256e-06
1816,2.3176038865813098e-09,1.7474733340350213e-06
1817,1.556873407970727e-09,1.5070534118422074e-06
1818,4.768470951432846e-09,1.235034005730995e-06
1819,4.140420006848444e-09,1.1624229045992251e-06
1820,1.1866481131050932e-09,1.352778895125084e-06
1821,9.86148829262845e-10,1.0877221257032943e-06
1822,4.010246357211145e-09,1.0597076425256091e-06
1823,1.581229902569703e-08,1.0930251619356568e-06
1824,5.052667617633233e-09,1.0677971431505284e-06
1825,4.4027217427355936e-09,9.562711511534872e-07
1826,1.4973572604048968e-08,1.0913092864939244e-06
1827,1.3825909306319772e-08,1.037864990394155e-06
1828,7.337841001486822e-09,8.365138910448877e-07
1829,1.457439946506156e-08,9.970603969122749e-07
1830,1.1480519646056564e-08,1.2430270999175264e-06
1831,4.677361609140007e-09,1.2020819895042223e-06
1832,4.058990921151917e-09,1.052631660058978e-06
1833,1.50587169400751e-08,1.244081659024232e-06
1834,1.120143711119681e-08,1.0333325235478696e-06
1835,1.663879345414898e-08,1.1231185226279194e-06
1836,4.704525213838906e-09,9.866060963759082e-07
1837,1.6698937344017395e-08,1.016547912513488e-06
1838,1.1361890983607736e-08,1.0011088988903794e-06
1839,4.894032734625853e-09,9.64124410529621e-07
1840,2.1019973317493168e-08,9.331594128525467e-07
1841,6.420548537278137e-09,9.650084393797442e-07
1842,5.366612043644636e-09,7.98283565472957e-07
1843,6.497602011990011e-09,7.608101668665768e-07
1844,6.586273748609983e-09,8.106604809654527e-07
1845,2.1204865419122143e-08,7.148271947698959e-07
1846,7.610851504580296e-09,6.884893650749291e-07
1847,8.629157832729106e-09,7.189167376964178e-07
1848,1.206783295515379e-08,7.811910336386063e-07
1849,1.005529792763582e-08,8.119653216454026e-07
1850,7.467895635215882e-09,8.961474691204785e-07
1851,1.1608989325395669e-08,8.616449918008584e-07
1852,1.6276363368206148e-08,8.418135166721186e-07
1853,2.149895550473957e-08,9.483428016210382e-07
1854,2.0782657816909023e-09,7.102473205122806e-07
1855,6.368324534378189e-09,7.403177164633234e-07
1856,1.1907535402144731e-08,7.589759434267762e-07
1857,6.345961978126979e-09,8.76230899393704e-07
1858,5.3830437884982985e-09,6.958807148294e-07
1859,1.2221216039165483e-08,6.181898584145529e-07
1860,6.408057640072684e-09,7.199910214694683e-07
1861,1.226150558863992e-08,7.493666203117755e-07
1862,8.584174260306554e-09,7.061612450343091e-07
1863,3.496234635136375e-09,6.248270665309974e-07
1864,8.63051052846231e-09,7.479775376850739e-07
1865,5.6482134525026595e-09,6.467204229920753e-07
1866,3.4059290943133647e-09,6.27177485057473e-07
1867,5.338092634588065e-09,7.512152251365478e-07
1868,9.87974857480367e-09,6.431716315091762e-07
1869,6.8369265804335555e-09,5.909058131692291e-07
1870,9.747882501187632e-09,6.594156047867727e-07
1871,1.0621176826930423e-08,6.170903930069471e-07
1872,4.23313739617015e-09,6.071528559914441e-07
1873,1.7958013742713774e-08,8.943090961111011e-07
1874,1.1351757756017378e-08,6.494400395240518e-07
1875,1.830888685105947e-08,6.877275495753565e-07
1876,1.1487427897804992e-08,7.636116947651317e-07
1877,2.5976227391311113e-08,6.933178724466416e-07
1878,1.69094480639842e-08,6.552411377924727e-07
1879,1.3440515367335593e-08,6.225402557902271e-07
1880,1.4119262203848848e-08,6.058446615497814e-07
1881,2.3009274485730202e-08,7.007370186329354e-07
1882,1.7304001787010748e-08,5.876705131413473e-07
1883,2.211768546089843e-08,6.559473604283994e-07
1884,2.706695667598069e-08,6.265010483730293e-07
1885,4.1252068427866107e-08,6.162027830214356e-07
1886,4.065682190912412e-08,6.395382570190122e-07
1887,3.590908548289917e-08,5.738924642173515e-07
1888,1.9655905347804037e-08,5.998221581648977e-07
1889,1.6915869593958632e-08,5.375487148739921e-07
