year,devait_VERB oser_VERB,devait_VERB causer_VERB
1800,0.0,9.432493186523061e-08
1801,0.0,6.905429472681135e-08
1802,2.2378401354217203e-09,3.8043282302169246e-08
1803,1.950339223455444e-09,5.655983770225248e-08
1804,9.887403784603066e-09,1.2359254952798437e-08
1805,2.2743021688143017e-08,9.097208675257207e-08
1806,4.3225035994964855e-08,7.204172902675055e-08
1807,0.0,1.8505208743135881e-07
1808,1.3596443970698147e-08,8.157866204783204e-08
1809,2.259030518203531e-09,1.0165637576164954e-07
1810,2.3401267590372754e-09,7.254392642153107e-08
1811,2.5070767684098882e-09,5.264861258069686e-08
1812,0.0,9.868670503010435e-08
1813,2.8757416448144113e-09,1.4091133948568313e-07
1814,0.0,7.237357380063258e-08
1815,0.0,8.361393355471591e-08
1816,0.0,1.2051540920765547e-07
1817,3.113746815941454e-09,6.85024303948012e-08
1818,3.5763532135746345e-09,2.133890717459508e-07
1819,0.0,1.490551255756145e-07
1820,1.6613073583471305e-08,1.2697134366135288e-07
1821,0.0,9.565643921405353e-08
1822,0.0,1.1429202118051762e-07
1823,3.9530747564242574e-09,1.3341627891350072e-07
1824,8.421112696055388e-10,1.2800092008546926e-07
1825,2.641632912414593e-09,1.1447075820569808e-07
1826,8.807984341885344e-10,1.6647089751131716e-07
1827,2.7651818612639545e-09,1.5300673794627073e-07
1828,0.0,1.3024667566696735e-07
1829,1.1145129263923081e-08,1.4660130887023115e-07
1830,0.0,1.2524202475105994e-07
1831,0.0,1.0134284167406804e-07
1832,0.0,7.576782934393123e-08
1833,0.0,5.79181431703546e-08
1834,9.334530925997342e-10,8.58776871837108e-08
1835,5.294161553592858e-09,8.848812882433776e-08
1836,1.3441500135158435e-09,1.1626897844507766e-07
1837,0.0,1.2593783083048038e-07
1838,5.049729523420865e-09,1.35711474058553e-07
1839,0.0,9.57832071435405e-08
1840,3.821813088222825e-09,1.2994165388136025e-07
1841,3.852329122366882e-09,1.1621192896882349e-07
1842,1.1404051036834062e-08,1.4221521382751234e-07
1843,8.860366662588604e-09,1.394030988421946e-07
1844,7.1351298203126134e-09,1.3886059946344176e-07
1845,1.1160455892778032e-09,1.9865611022851226e-07
1846,1.7563503984519002e-09,1.914421972060154e-07
1847,2.1572894581822766e-09,1.3051601399638457e-07
1848,5.63165514222419e-09,1.3274615184855065e-07
1849,6.703531951757213e-09,1.7596771328953764e-07
1850,1.3577992064028876e-09,1.5886250537278102e-07
1851,4.514607354622058e-09,1.2963371887053654e-07
1852,0.0,1.1784086950683559e-07
1853,4.180352064508952e-09,1.6183935258595739e-07
1854,2.0782657816909023e-09,1.0339372380485656e-07
1855,2.653468555990912e-09,1.5337047898356104e-07
1856,6.73034605824796e-09,1.2477026700707938e-07
1857,4.393358121745905e-09,8.347380742179666e-08
1858,8.31924928945682e-09,1.2380999692140904e-07
1859,9.675129142294736e-09,1.2526746218100016e-07
1860,2.746310290291376e-09,1.1488731388453743e-07
1861,0.0,1.4430848693791631e-07
1862,6.776979422085105e-09,1.3689498246094445e-07
1863,2.9967726078439227e-09,1.3835099821335461e-07
1864,5.753673537611803e-09,1.2514239244865166e-07
1865,2.8241067262513297e-09,1.5014833820714557e-07
1866,8.271541673821048e-09,1.4645495127751929e-07
1867,4.85281148598915e-09,1.5043715961837734e-07
1868,2.9639244392143382e-09,1.1213514028440841e-07
1869,0.0,1.2355303624644876e-07
1870,5.160643912205387e-09,1.032128764677509e-07
1871,8.496941816815706e-09,1.0302542108320267e-07
1872,7.256807155187062e-09,1.3243672469798184e-07
1873,6.584604861359367e-09,1.1253688114720717e-07
1874,7.169530746864439e-09,1.2785663727754581e-07
1875,1.1443054281912168e-09,8.982797794487851e-08
1876,4.836811839936672e-09,1.0640985692589311e-07
1877,6.184815992682502e-10,1.1194516957857559e-07
1878,1.8117265465633636e-09,1.1655441056745985e-07
1879,4.27652757650776e-09,1.2829582374251913e-07
1880,6.417846254436199e-09,1.2193908105473383e-07
1881,3.4862537301449947e-09,1.108628708834658e-07
1882,3.9932310791357395e-09,1.211280107327184e-07
1883,1.2638677882037541e-09,9.794975142085605e-08
1884,6.601696966868076e-10,9.308392634466145e-08
1885,2.5782542767416317e-09,8.18595751184148e-08
1886,3.872078213618124e-09,7.227879450510954e-08
1887,5.876032105334161e-09,8.74875922818319e-08
1888,2.53624587998047e-09,1.32518849227381e-07
1889,4.385595886446936e-09,1.1527851739856487e-07
1890,4.5880703680722945e-09,9.503860098902805e-08
1891,6.374220040683554e-10,8.159001652074949e-08
1892,0.0,7.772955257223657e-08
1893,1.2316833108982905e-09,1.1269901989408027e-07
1894,1.0082462864602348e-08,9.704370285135155e-08
1895,1.8055843487019274e-09,8.004757034996146e-08
1896,5.89702897624278e-10,7.960989023558795e-08
1897,0.0,8.099132031702538e-08
1898,3.3950129374460403e-09,6.054439438685222e-08
1899,1.6582735185011188e-09,8.346643198819947e-08
1900,5.191053142894475e-10,8.46141645638454e-08
1901,5.588738916095792e-10,8.438995990900366e-08
1902,0.0,8.642099658118241e-08
1903,0.0,4.5361851164216205e-08
