year,faut_VERB analyser_VERB,faut_VERB canaliser_VERB
1800,4.087413785214267e-08,0.0
1801,5.476719877606229e-08,0.0
1802,6.937304419807333e-08,0.0
1803,7.996391104825307e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,4.5486043376286034e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,2.259030518203531e-09,0.0
1810,2.574139479349924e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,5.463909147351842e-08,0.0
1814,0.0,0.0
1815,5.1247248222807684e-08,0.0
1816,5.3304887615013286e-08,0.0
1817,4.981994905506326e-08,0.0
1818,4.053200441944682e-08,0.0
1819,3.001804671498576e-08,0.0
1820,5.458581142647745e-08,0.0
1821,4.043210211079895e-08,0.0
1822,1.9048670196752937e-08,0.0
1823,2.2730180404550993e-08,0.0
1824,2.6947560627377243e-08,0.0
1825,1.1447076175841175e-08,1.0566531649658373e-08
1826,3.52319382557198e-08,7.0463874735082754e-09
1827,1.6591091167583727e-08,0.0
1828,1.2841221419535032e-08,0.0
1829,6.001223340490469e-08,0.0
1830,5.5315229730013016e-08,0.0
1831,6.236482619215167e-08,0.0
1832,8.794479811058409e-08,0.0
1833,4.865124125785769e-08,0.0
1834,3.360431222176885e-08,0.0
1835,2.4201881387853064e-08,7.563087933704082e-10
1836,2.2850549896702432e-08,2.688300027031687e-09
1837,2.2265250976261086e-08,0.0
1838,3.5348108440302894e-08,0.0
1839,2.0974425751774106e-08,0.0
1840,3.9492068282243054e-08,0.0
1841,4.237562123421412e-08,0.0
1842,1.6770663080478698e-08,0.0
1843,5.3752891915337386e-08,0.0
1844,3.896878553177885e-08,0.0
1845,4.0177642546268544e-08,0.0
1846,9.894107222407911e-08,0.0
1847,6.310071398729633e-08,0.0
1848,2.574470947536156e-08,0.0
1849,5.865590324560799e-08,0.0
1850,3.6660580349234806e-08,6.788996032014438e-10
1851,4.1921353499674296e-08,6.449438760824933e-10
1852,3.1250618093281446e-08,0.0
1853,4.060913738612726e-08,0.0
1854,2.6497888327980945e-08,0.0
1855,3.6087172361476405e-08,0.0
1856,3.9346637947801355e-08,0.0
1857,4.539803555303479e-08,0.0
1858,5.334106845111819e-08,0.0
1859,7.638259802433822e-08,5.092173349652285e-10
1860,4.897586691754441e-08,4.577183909670879e-10
1861,4.6688040100661965e-08,3.3011746669586728e-09
1862,2.3945327498609004e-08,0.0
1863,2.6471489888990618e-08,4.994620828036034e-10
1864,5.3221480555976086e-08,9.589455896019672e-10
1865,4.565638889175716e-08,1.882737743486018e-09
