year,eut_VERB assez_ADV,eut_VERB cassé_VERB
1800,6.571303856617305e-07,6.288328968651058e-09
1801,5.905332614020153e-07,2.3811825844433088e-09
1802,7.116331630641071e-07,2.4616241489638924e-08
1803,7.879370400587504e-07,2.3404069793286908e-08
1804,7.934641530482622e-07,0.0
1805,8.130630249070236e-07,0.0
1806,5.965055152046261e-07,0.0
1807,6.491057433777314e-07,0.0
1808,8.611081057097181e-07,1.5862518409903714e-08
1809,8.019558208616218e-07,6.7770917766551975e-09
1810,9.945538295141887e-07,1.1700633351097167e-08
1811,1.0680147397579276e-06,5.0141535368197765e-09
1812,7.121445833035978e-07,5.3344164641089264e-09
1813,8.771012289798819e-07,1.1502966579257645e-08
1814,7.552025067525392e-07,3.1466771410748606e-09
1815,4.855002657677687e-07,2.697223555614414e-09
1816,7.184572154983471e-07,1.1588019432906549e-08
1817,7.426286288136907e-07,2.0239355080775567e-08
1818,8.16600675079826e-07,1.5497530370112145e-08
1819,1.0268241794619826e-06,4.45095160728215e-08
1820,9.303321348852478e-07,1.542642635854463e-08
1821,8.441434147243854e-07,1.97229765852569e-09
1822,7.880133807702805e-07,1.804610860745015e-08
1823,8.093920769169927e-07,7.906149512848515e-09
1824,8.008478289411869e-07,3.115811608722652e-08
1825,1.1367826573405182e-06,2.4655239627691117e-08
1826,5.945389602857176e-07,1.8496766784892316e-08
1827,8.461456673103385e-07,2.7651818612639545e-09
1828,7.291979500223533e-07,0.0
1829,6.584199354620068e-07,9.430493719264632e-09
1830,7.61888998113136e-07,2.0873671680021744e-09
1831,6.23648247710662e-07,4.989185953263586e-08
1832,5.655527388626069e-07,1.7588959622116818e-08
1833,5.455888754113403e-07,1.7375443306377747e-08
1834,7.8876786346882e-07,1.7735608537350345e-08
1835,7.010982585597958e-07,5.294161553592858e-09
1836,7.708700309194683e-07,2.419469957715137e-08
1837,7.584101240354357e-07,2.7831563720326358e-09
1838,8.060630989348283e-07,1.64116205070286e-08
1839,7.019440886324446e-07,1.5381244722334486e-08
1840,6.42064605926862e-07,7.64362617644565e-09
1841,5.232747071204358e-07,2.5682194149112547e-09
1842,5.748983085140935e-07,6.037438549100216e-09
1843,5.836027980876679e-07,7.088293507706567e-09
1844,6.536876639984257e-07,1.2074834465636286e-08
1845,5.2454140586633e-07,6.138250796539069e-09
1846,5.754974949923053e-07,5.269050973311096e-09
1847,5.857040719092765e-07,4.853901280910122e-09
1848,5.639700475512655e-07,1.287235473768078e-08
1849,2.765206943422527e-07,1.0893239199560867e-08
1850,4.650462415156653e-07,1.6293590476834652e-08
1851,4.985416239833285e-07,5.8044946626978344e-09
1852,4.1016437535290606e-07,2.278690836021724e-08
1853,5.90624040341936e-07,1.3735443005202796e-08
1854,5.226838197813777e-07,1.1430461910322265e-08
1855,5.397155291575473e-07,2.1227748447927297e-09
1856,4.897621010968578e-07,7.765783571755946e-09
1857,6.131175496193464e-07,6.8341128311999455e-09
1858,5.970284746581456e-07,9.787352261980686e-09
1859,5.468994004331762e-07,8.656694916453489e-09
1860,4.833506181967095e-07,9.15436793036406e-09
1861,4.7678392434136185e-07,5.187560159214399e-09
1862,5.362849719858787e-07,1.0391368654438793e-08
1863,5.389196076066582e-07,1.0988165932701577e-08
1864,4.847469767810253e-07,7.1920918109924514e-09
1865,5.234010700405634e-07,1.1296426905005319e-08
1866,3.950877669467445e-07,6.811858188626729e-09
1867,4.5567898609988333e-07,9.220341823379385e-09
1868,4.060576372921787e-07,5.9278488784286765e-09
1869,4.0142526813724544e-07,2.9301114867763545e-09
1870,4.2833343627535214e-07,0.0
1871,3.6218213494976226e-07,1.0621177271019633e-09
1872,4.402463105179777e-07,7.861540751719076e-09
1873,3.160610333452496e-07,2.9930022904522957e-09
1874,3.632562481925561e-07,5.974609140757536e-10
1875,3.8219801012928656e-07,2.2886108563824337e-09
1876,3.724344992406259e-07,0.0
1877,3.46349708024718e-07,3.710889595609501e-09
1878,4.215283979647211e-07,8.4547240319921e-09
1879,4.362058234619326e-07,1.832797580370027e-09
1880,4.075332356023864e-07,1.9253538763308597e-09
1881,3.297996045148466e-07,2.091752326904839e-09
1882,4.2794127352863143e-07,3.9932310791357395e-09
1883,3.0775180448472383e-07,3.791603475633565e-09
1884,4.0798488498694496e-07,4.621187876807653e-09
1885,2.778068903808162e-07,6.445635691854079e-10
1886,3.2396388860433945e-07,8.38950331427668e-09
1887,2.7552061965252506e-07,5.876032105334161e-09
1888,3.4112505886696454e-07,1.268122939990235e-09
1889,3.4520903113843815e-07,4.385595886446936e-09
1890,2.1760563129191723e-07,6.554386478008212e-10
1891,3.1743616091262084e-07,2.5496880162734215e-09
1892,2.758145569714543e-07,9.402768341715273e-09
1893,2.1369704938933864e-07,5.542574843531156e-09
1894,2.9491204145415395e-07,3.150769645188234e-09
1895,2.9250466582197987e-07,1.8055843487019274e-09
1896,2.4826491085150337e-07,4.1279202278587945e-09
1897,2.4763531314420106e-07,1.7480140668268973e-09
1898,2.2576836045118398e-07,2.26334195829736e-09
1899,2.2607795813200937e-07,1.6582735185011188e-09
1900,2.829123957326374e-07,3.633737311048435e-09
1901,2.0454784532830672e-07,6.706486921359556e-09
1902,2.032857508993402e-07,1.9641135384773634e-09
1903,2.0412832668625924e-07,1.0800440541913758e-09
1904,2.3970827101038594e-07,5.912087708281888e-09
1905,2.446199687256012e-07,4.1286072338664326e-09
1906,2.433199313145451e-07,3.0865106026567446e-09
1907,2.257708189290497e-07,2.5714217422034835e-09
1908,2.470428626111243e-07,1.964555629285769e-09
1909,2.3214150246531062e-07,1.6502950117569526e-09
1910,2.2231667173855385e-07,2.67207544979442e-09
1911,2.458012886563665e-07,3.7242617878519013e-09
1912,2.3650773073313758e-07,3.646594803896619e-09
1913,2.3439214658083074e-07,1.590896969716482e-09
1914,2.270196119980028e-07,8.036092680185902e-09
1915,1.6021836302115844e-07,1.1780761921542648e-09
1916,2.010705486554798e-07,1.0987462051303964e-09
1917,2.489378232439776e-07,0.0
1918,1.8952520974835352e-07,9.189101035644853e-09
1919,2.430871859360195e-07,0.0
1920,2.0066414663233445e-07,3.028892692213958e-09
1921,2.5671613457234344e-07,1.5145494858259667e-09
1922,1.785460455039356e-07,1.0329110011753073e-08
1923,2.972465438233485e-07,4.246379248229459e-09
1924,2.4880836235752213e-07,2.578324886925998e-09
1925,2.6505608730076347e-07,2.1996355847875293e-09
1926,2.3741274901567522e-07,6.687683296036084e-09
1927,3.1998274607758503e-07,1.1149224876660924e-09
1928,2.4908769091780414e-07,2.2852082448565625e-09
1929,3.4089643463630637e-07,0.0
1930,2.4473396820212656e-07,3.1510811737689437e-09
1931,2.760096435849846e-07,0.0
1932,2.2795836684963433e-07,9.863582839386709e-09
1933,2.615310847886576e-07,3.4411986593596566e-09
1934,2.0728133165448526e-07,8.38710612072191e-09
1935,2.3577520380513306e-07,3.590485242455088e-09
1936,1.5519634644078906e-07,6.0623572828433225e-09
1937,2.0523522437088104e-07,6.295559185076627e-09
1938,1.892921375201695e-07,6.482607339819424e-09
1939,1.9117562999326765e-07,7.647025235257843e-09
1940,2.459709378399566e-07,0.0
1941,2.0070217487955233e-07,0.0
1942,2.2453167503044824e-07,3.034211770724937e-09
1943,1.6548440839869727e-07,0.0
1944,2.1528347815547022e-07,6.4263723231761105e-09
1945,1.895298566978454e-07,8.714016175304096e-09
1946,2.18561339693224e-07,2.7842208538686464e-09
1947,2.2888072237492452e-07,7.152522574216391e-09
1948,2.011299216064799e-07,6.523132700664291e-09
1949,1.894682668535097e-07,1.9634016634739737e-09
1950,2.0313540005645336e-07,5.317680518146517e-09
1951,2.24955570615748e-07,1.0661401761424827e-09
