year,faudrait_VERB ouvrir_VERB,faudrait_VERB couvrir_VERB
1800,5.345079756580162e-08,3.144164484325529e-09
1801,2.3811825400343878e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,1.730295728918918e-08,4.943701892301533e-09
1805,2.842877711017877e-09,8.528632911009026e-09
1806,1.152667650217154e-08,0.0
1807,8.540865792383556e-09,0.0
1808,2.4926814390369145e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,2.3401266702194334e-08,0.0
1811,1.504245972228091e-08,5.0141535368197765e-09
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,2.8757416004054903e-08,1.4378708002027452e-08
1814,6.293354282149721e-09,0.0
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,1.8540831092650478e-08,3.0128852301913867e-08
1817,3.113746815941454e-09,0.0
1818,1.3113295338484932e-08,7.152706427149269e-09
1819,4.0369094733705424e-08,3.1053151161586356e-09
1820,5.933240565525466e-09,1.0679833017945839e-08
1821,2.1695274909916407e-08,6.903041693817613e-09
1822,1.4035862250239006e-08,7.017931125119503e-09
1823,1.4824030003524058e-08,0.0
1824,1.51580028528997e-08,8.421112696055388e-10
1825,1.6730341556581152e-08,1.2327619813845558e-08
1826,2.025836387531399e-08,8.807984341885344e-10
1827,3.410390903013649e-08,8.295545583791863e-09
1828,2.8434133270138773e-08,1.0089530988466322e-08
1829,1.3717081692732336e-08,3.1720752247110795e-08
1830,1.878630406793036e-08,2.922314124020886e-08
1831,3.1182413096075834e-08,1.870944643656003e-08
1832,6.3590853471851e-08,1.6235963684607668e-08
1833,1.9692167896323554e-08,2.3167257001688313e-09
1834,3.173740381612333e-08,1.213489042584115e-08
1835,2.0420337421001022e-08,2.2689263801112247e-09
1836,3.36037508930076e-08,6.048674894287842e-09
1837,2.852735292435682e-08,5.5663127440652715e-09
1838,2.1461350030449466e-08,1.199310784016916e-08
1839,2.516931019158619e-08,1.957613093850341e-08
1840,2.8663599493938818e-08,5.732719632334238e-09
1841,2.3113974734201292e-08,1.5409316489467528e-08
1842,2.3478927246856074e-08,6.708265054555795e-10
1843,3.36693943836508e-08,2.3627644285539873e-09
1844,2.7991662321369404e-08,1.4270259640625227e-08
1845,1.7298706467272496e-08,2.622707206967334e-08
1846,2.0490753982471688e-08,1.3465353276842507e-08
1847,2.2651539310913904e-08,2.6966118227278457e-09
1848,2.091757700384278e-08,2.413566457803995e-09
1849,4.776266493422554e-08,3.3517659758786067e-09
1850,2.0366988096043315e-08,7.467895635215882e-09
1851,2.257303499675345e-08,3.2247193804124663e-09
1852,2.539112742283578e-08,4.557382027314816e-09
1853,3.2248433257109355e-08,2.9859659189668264e-09
1854,1.7665259477439577e-08,3.63696517347023e-09
1855,7.429711956774554e-09,9.021793090369101e-09
1856,1.1389816201301528e-08,1.0354378465748937e-09
1857,2.2943092758964667e-08,9.763018171682347e-10
1858,2.397901255335455e-08,1.468102750479261e-09
1859,3.7172863898149444e-08,2.036869339860914e-09
1860,3.158256944857385e-08,1.1900677776566226e-08
1861,1.6977470096435354e-08,4.715963619617014e-09
1862,1.355395884417021e-08,4.066187830886747e-09
1863,2.447364266799923e-08,2.9967726078439227e-09
1864,2.1096802527154068e-08,3.3563094525845827e-09
1865,1.5061901947888146e-08,8.001635798393636e-09
1866,3.3572728597164314e-08,1.5083399418358567e-08
1867,1.747012134956094e-08,8.249779526181555e-09
1868,1.3831646938911035e-08,2.7169306804353255e-08
