year,pourrait_VERB analyser_VERB,pourrait_VERB canaliser_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,1.730295728918918e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,1.8540831092650478e-08,0.0
1817,0.0,0.0
1818,8.344824387052086e-09,0.0
1819,0.0,1.035105001712111e-09
1820,9.493184904840746e-09,7.119888678630559e-09
1821,1.8736827200882544e-08,0.0
1822,0.0,0.0
1823,2.9648061783404955e-09,0.0
1824,7.57900142644985e-09,0.0
1825,1.7610886082763955e-09,0.0
1826,8.807984341885344e-10,0.0
1827,4.608636583469661e-09,0.0
1828,9.172301251858528e-10,0.0
1829,8.573175946935407e-09,0.0
1830,1.5655253093882493e-08,0.0
1831,0.0,0.0
1832,4.058990921151917e-09,0.0
1833,1.1583628500844156e-09,0.0
1834,1.6802156110884425e-08,0.0
1835,1.5882484660778573e-08,0.0
1836,1.3441500135158435e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,1.8936485712828244e-09,0.0
1839,0.0,0.0
1840,1.4013314952876499e-08,1.2739377330817092e-09
1841,3.2102742686390684e-09,0.0
1842,1.341653010911159e-09,0.0
1843,8.269675610961258e-09,0.0
1844,2.195424508855126e-09,0.0
1845,1.0602432709561072e-08,0.0
1846,0.0,0.0
1847,1.3483059113639229e-08,3.235934187273415e-09
1848,8.045221711050488e-10,0.0
1849,1.0893239199560867e-08,0.0
1850,2.7155984128057753e-09,0.0
1851,8.384270167027807e-09,0.0
1852,8.463708844885787e-09,0.0
1853,1.791579506971175e-08,0.0
1854,8.832629738719788e-09,0.0
1855,1.0613874223963649e-09,0.0
1856,0.0,0.0
1857,2.4407544874094356e-09,0.0
1858,1.2234189661342043e-08,0.0
1859,6.619825576592575e-09,0.0
1860,1.9224172476128842e-08,0.0
1861,2.357981809808507e-09,0.0
1862,1.3553959066214816e-09,0.0
1863,1.897955925755923e-08,0.0
1864,6.712618905169165e-09,0.0
1865,3.294791106611683e-09,0.0
1866,1.3137154475373336e-08,0.0
1867,1.94112459439566e-09,0.0
1868,1.4819622196071691e-09,0.0
1869,2.9301114867763545e-09,0.0
1870,5.734048791339319e-10,0.0
1871,0.0,0.0
1872,1.8142017887967654e-09,0.0
1873,1.0774807712721213e-08,0.0
1874,7.169530746864439e-09,0.0
1875,1.716458086775674e-09,0.0
1876,1.209202959984168e-09,0.0
1877,3.710889595609501e-09,0.0
1878,3.6234530931267273e-09,0.0
1879,6.720257683667796e-09,0.0
1880,1.9253538763308597e-09,0.0
1881,7.669758161910067e-09,0.0
1882,1.3310770263785798e-09,0.0
1883,5.687405213450347e-09,0.0
1884,1.9805090900604227e-09,1.9805090900604227e-09
1885,4.511945039809007e-09,6.445635691854079e-10
1886,1.1616235084943582e-08,6.453463874400711e-10
1887,4.570247291724172e-09,0.0
1888,8.242799331981132e-09,0.0
1889,8.14467782106476e-09,0.0
1890,1.9663159989136147e-09,0.0
1891,1.2748440525456317e-08,0.0
1892,1.8805537127519756e-09,0.0
1893,1.1700991287000306e-08,0.0
1894,1.8904617871129403e-09,6.301539290376468e-10
1895,1.8055843487019274e-09,1.2037228991346183e-09
1896,3.5382172747233653e-09,0.0
1897,4.078699600285063e-09,5.826713556089658e-10
1898,8.487532454637403e-09,0.0
1899,7.738609753005221e-09,0.0
1900,6.22926377147337e-09,0.0
1901,6.147612641171918e-09,0.0
1902,3.928227076954727e-09,0.0
1903,1.1340462791054051e-08,5.400220270956879e-10
1904,7.524475265086039e-09,5.374625189347171e-10
1905,3.6125313851442797e-09,0.0
1906,9.773950537805831e-09,5.144184522798412e-10
1907,1.0799970695529737e-08,3.0857059130084963e-09
