year,faudrait_VERB oser_VERB,faudrait_VERB causer_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,4.5852800667489646e-08
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,1.0025615893027862e-09,0.0
1823,0.0,8.894418535021487e-09
1824,0.0,8.421112696055388e-10
1825,0.0,0.0
1826,0.0,0.0
1827,1.3825909306319772e-08,0.0
1828,9.172301251858528e-10,0.0
1829,0.0,8.57317605795771e-10
1830,5.218417697960831e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,1.2176972319366541e-08,1.6235963684607668e-08
1833,0.0,1.1583628500844156e-09
1834,2.8003592777992026e-09,9.334530925997342e-10
1835,0.0,0.0
1836,4.704525213838906e-09,0.0
1837,8.349468672008697e-09,3.478945576063097e-09
1838,1.199310784016916e-08,0.0
1839,0.0,6.9914751765765e-10
1840,1.2739377330817092e-09,0.0
1841,5.1364388298225094e-09,6.420548537278137e-10
1842,2.0124795163667386e-09,2.683306021822318e-09
1843,5.31621990873532e-09,1.7720733325177207e-08
1844,3.841992946007622e-09,4.390849017710252e-09
1845,3.348136878855712e-09,1.1160455892778032e-09
1846,2.9272506640865004e-09,3.5127007969038004e-09
1847,4.853901280910122e-09,1.0786447290911383e-09
1848,6.43617736884039e-09,0.0
1849,0.0,5.865590679832167e-09
1850,6.788996032014438e-10,6.788996032014438e-10
1851,1.1608989325395669e-08,0.0
1852,9.114764054629632e-09,0.0
1853,5.971931837933653e-10,2.9859659189668264e-09
1854,5.195664343204953e-09,5.195664454227256e-10
1855,3.1841622671890946e-09,5.306937111981824e-10
1856,2.5885946719483854e-09,0.0
1857,4.881508974818871e-09,0.0
1858,6.8511463169329545e-09,2.4468380654951716e-09
1859,4.582956236731661e-09,8.147477359443656e-09
1860,5.034902272882391e-09,9.154367819341758e-10
1861,4.715963730639317e-10,4.2443675241088386e-09
1862,6.776979422085105e-09,4.517986262886353e-10
1863,1.4983863039219614e-08,7.491931519609807e-09
1864,3.3563094525845827e-09,2.8768367688059016e-09
1865,3.765475486972036e-09,1.4120533631256649e-09
1866,1.9462451650298362e-09,3.4059290943133647e-09
1867,1.2132028714972876e-08,4.367530337390235e-09
1868,2.9639244392143382e-09,1.4819622196071691e-09
1869,1.953407657850903e-09,1.953407657850903e-09
1870,1.1468097582678638e-09,0.0
1871,4.248470908407853e-09,0.0
1872,6.047339295989218e-10,3.628403577593531e-09
1873,5.986004469882289e-10,5.387403856360606e-09
1874,1.7923826867161097e-09,0.0
1875,0.0,0.0
1876,7.859819461941697e-09,6.04601479992084e-10
1877,1.2369631985365004e-09,4.329371083855449e-09
1878,6.039088673581716e-10,6.039088673581716e-10
1879,6.10932526790009e-10,6.10932526790009e-10
1880,6.417846254436199e-09,1.9253538763308597e-09
1881,4.183504653809678e-09,4.8807553554297556e-09
1882,7.986462158271479e-09,1.4641846846075168e-08
1883,2.5277355764075082e-09,5.0554711528150165e-09
1884,2.6406787867472303e-09,6.601696966868076e-09
1885,3.2228177904158883e-09,6.445635580831777e-09
1886,2.5813855497602844e-09,6.4534639854230136e-09
1887,0.0,3.264462256069578e-09
1888,5.07249175996094e-09,3.804368819970705e-09
1889,5.012109394186837e-09,6.265136742733546e-10
1890,1.9663159989136147e-09,6.554386478008212e-10
1891,5.736798147637501e-09,7.0116419337296065e-09
1892,1.2537024751679837e-09,6.268512375839919e-10
1893,2.463366621796581e-09,6.158416554491453e-10
1894,6.301539290376468e-10,1.2603078580752936e-09
1895,6.018614495673091e-10,9.629783193076946e-09
1896,0.0,2.948514543632541e-09
1897,4.661370844871726e-09,4.078699600285063e-09
1898,7.921697076085366e-09,6.224190496340043e-09
1899,1.1055156790007459e-08,8.291367592505594e-09
1900,4.671947717582725e-09,0.0
1901,0.0,1.676621730339889e-09
1902,1.4730852093691738e-09,0.0
1903,3.2401321625741275e-09,1.6200660812870638e-09
1904,4.299700151477737e-09,1.0749250378694342e-09
1905,2.0643036169332163e-09,5.160759042333041e-10
1906,1.5432553013283723e-09,5.144184522798412e-10
1907,0.0,8.228549397415463e-09
1908,8.840499887696751e-09,2.4556945366072114e-09
1909,3.300590023513905e-09,1.265226234892225e-08
1910,5.878565634276356e-09,2.137660271017694e-09
1911,4.788336838146279e-09,4.788336838146279e-09
1912,0.0,1.5628263128064646e-09
1913,5.30298971401777e-10,1.590896969716482e-09
1914,3.3483718020477227e-09,4.018046340092951e-09
1915,4.712304768617059e-09,0.0
1916,2.197492410260793e-09,2.197492410260793e-09
1917,4.386569774084137e-09,8.773139548168274e-09
1918,3.44591288836682e-09,4.594550517822427e-09
1919,9.207848372660976e-10,1.8415696745321952e-09
1920,2.2716695191604686e-09,9.843901693784574e-09
1921,1.5145494858259667e-09,6.058197943303867e-09
1922,7.377935484775833e-10,4.426761179843197e-09
1923,7.431163684401554e-09,2.1231896241147297e-09
1924,9.02413699321869e-09,1.5469948877466777e-08
1925,3.299453377181294e-09,4.399271169575059e-09
1926,1.1146138456652466e-09,4.458455382660986e-09
1927,1.1149224876660924e-09,3.3447675740205796e-09
1928,3.4278122562625413e-09,0.0
1929,4.4561625500705304e-09,1.0026365515614089e-08
1930,1.0503603542488804e-09,5.2518016602221e-09
1931,5.7026783295555106e-09,4.5621426636444085e-09
1932,1.0959536389520963e-08,1.0959536611565568e-09
1933,5.735331320977366e-09,2.2941324395731044e-09
1934,4.7926320689839486e-09,4.7926320689839486e-09
1935,3.590485242455088e-09,0.0
1936,3.6374143697059935e-09,9.699771652549316e-09
1937,0.0,3.777335333410292e-09
1938,6.482607339819424e-09,2.5930428915188486e-09
1939,1.070583532936098e-08,0.0
1940,5.0715658339584024e-09,5.0715658339584024e-09
1941,2.9515025978810172e-09,2.9515025978810172e-09
1942,0.0,0.0
1943,1.1612940831184915e-08,2.9032352077962287e-09
1944,9.639558484764166e-09,3.2131861615880553e-09
1945,2.178504132643866e-08,0.0
1946,1.1136883415474585e-08,0.0
1947,3.5762612871081956e-09,3.5762612871081956e-09
1948,1.0871888278529696e-08,4.348755133776194e-09
1949,9.817008539414473e-09,5.890204768377316e-09
1950,1.2762433776458693e-08,8.508289184305795e-09
1951,1.8124383771578323e-08,1.0661401761424827e-09
1952,9.490323193972472e-09,1.0544804140977249e-08
1953,5.386913581872932e-09,4.3095309543161875e-09
1954,4.886268278880834e-09,0.0
1955,4.6928039232341234e-09,9.385607846468247e-10
1956,9.593255967388359e-09,2.616342476002842e-09
1957,2.6505113659425206e-09,4.417518795207798e-09
1958,5.790570245522986e-09,8.272243445794913e-10
1959,8.525822714489095e-09,3.8753737996444215e-09
1960,8.305000243069571e-09,2.076250060767393e-09
1961,9.03260666262895e-09,6.948159270159238e-10
1962,6.341956293454132e-09,1.2683912808952869e-09
1963,3.879631726988464e-09,3.2330267352165265e-09
1964,1.2167936658258327e-09,2.4335873316516654e-09
1965,4.377634699181954e-09,3.2832261354087677e-09
1966,4.431259803538978e-09,1.6617224263271169e-09
1967,8.874604162656397e-09,2.465167847631733e-09
1968,5.838840522187638e-09,3.1439910674890825e-09
1969,1.3625273131978588e-09,9.083515606356229e-10
1970,6.438214850135182e-09,3.219107425067591e-09
1971,5.138397263237948e-09,5.138397263237948e-09
1972,8.208234980600082e-09,1.5390440033513642e-09
1973,9.37244681864513e-09,6.615844760915479e-09
1974,3.937900228123681e-09,3.937900228123681e-09
1975,1.1422960355389478e-09,5.711480177694739e-10
1976,1.7140580066410394e-09,1.7140580066410394e-09
1977,8.22749424145286e-09,4.7014254711541525e-09
1978,9.504946163474415e-09,2.3762365408686037e-09
1979,8.192762912528906e-09,2.925986564150662e-09
1980,2.2740602734216964e-09,1.7055452605774235e-09
1981,6.958104314946922e-09,1.2651099057237047e-09
1982,9.932003663948308e-09,1.2415004579935385e-09
1983,5.68378455412244e-09,4.4207211225000265e-09
1984,5.219107812592938e-09,0.0
1985,9.02333674446254e-09,4.210890747202711e-09
1986,1.1389522214244607e-08,1.1988970927134801e-09
1987,4.888653482026939e-09,0.0
1988,6.596209356501959e-09,5.996553809062277e-10
1989,3.841685636274406e-09,0.0
1990,7.628111475810329e-09,2.724325431913144e-09
1991,5.2753188484189195e-09,2.9307325455363298e-09
1992,3.30596661157756e-09,5.509944167592096e-10
1993,9.970573700002205e-09,2.7696036575264316e-09
1994,8.967375286772494e-09,2.1099706426497278e-09
1995,9.760411145975922e-09,5.422450821690461e-10
1996,1.1209993822092201e-08,1.6014276571496566e-09
1997,8.151320507465698e-09,2.3974471297094624e-09
1998,5.72175506974304e-09,1.9072516899143466e-09
1999,9.597422412355172e-09,1.3710603763428253e-09
2000,6.627047355323157e-09,0.0
2001,7.448059946568719e-09,2.190605918883648e-09
2002,6.133709984368352e-09,4.38122149670761e-10
2003,8.750538071922165e-09,1.6667691671301554e-09
2004,1.2773894830786503e-08,2.2023955992267474e-09
2005,8.106749049829887e-09,1.3511248786457486e-09
2006,1.0294725072412803e-08,1.2353669198716943e-09
2007,1.078509459517818e-08,0.0
2008,7.663391698997657e-09,2.554463751636149e-09
2009,1.4781396551200032e-08,9.53638501499654e-10
2010,5.668551850135373e-09,9.447586046817946e-10
2011,9.177532511728259e-09,1.1471915639660324e-09
2012,8.851056776393307e-09,3.063827413996023e-09
2013,6.414987652192394e-09,2.7891249310130206e-09
2014,8.228691505962615e-09,2.815078836704288e-09
2015,4.654808538617772e-09,3.32486305154589e-09
2016,6.628288140575478e-09,2.0713399884186856e-09
2017,3.773417134311785e-09,1.7609279590047322e-09
2018,3.0977600484760615e-09,2.323319980845895e-09
2019,5.3570743396846865e-09,3.3162841361900064e-09
