year,soit_VERB en_PRON,soit_VERB quand_ADV
1800,2.703981465401739e-07,0.0
1801,2.3335589816042557e-07,0.0
1802,2.774921767922933e-07,1.5664880947952042e-08
1803,2.340407121437238e-07,0.0
1804,4.968420626028092e-07,0.0
1805,4.0653150867875354e-07,0.0
1806,2.247701900159882e-07,0.0
1807,2.9608332852149033e-07,0.0
1808,2.9458962558237545e-07,0.0
1809,3.1174620773732897e-07,0.0
1810,3.4867889242562455e-07,0.0
1811,2.707642989818737e-07,0.0
1812,2.7205524855133945e-07,0.0
1813,1.6391727797326894e-07,0.0
1814,2.863476140646526e-07,0.0
1815,2.8320846801044297e-07,0.0
1816,2.062667476820934e-07,0.0
1817,1.9927979622025305e-07,0.0
1818,2.193496584368404e-07,4.768470951432846e-09
1819,2.4324967284883314e-07,0.0
1820,3.203949825447694e-07,8.306536791735653e-09
1821,2.435787685994839e-07,0.0
1822,3.2081970857689157e-07,7.017931125119503e-09
1823,2.3619621458692563e-07,0.0
1824,2.324227050820582e-07,8.421112696055388e-10
1825,3.134737767140905e-07,0.0
1826,2.0874923278846325e-07,3.5231937367541377e-09
1827,2.894223711247257e-07,3.6869092223668076e-09
1828,3.0452040755690746e-07,1.8344602503717056e-09
1829,2.3404771276602787e-07,0.0
1830,2.640519582985945e-07,0.0
1831,2.822008298153378e-07,3.1182412207897414e-09
1832,2.54363413887404e-07,0.0
1833,2.2240567432163516e-07,2.3167257001688313e-09
1834,2.64167226760037e-07,2.8003592777992026e-09
1835,1.837830367890092e-07,0.0
1836,2.775669716292839e-07,6.048674894287842e-09
1837,2.8875246016468736e-07,2.7831563720326358e-09
1838,2.8152242581569453e-07,5.680945491803868e-09
1839,3.369891121707269e-07,0.0
1840,3.229432037343827e-07,0.0
1841,3.4093112288857697e-07,0.0
1842,3.575505314046268e-07,1.341653010911159e-09
1843,2.5399717173968384e-07,0.0
1844,2.8375862370921823e-07,1.6465684371524958e-09
1845,3.1695693342159714e-07,0.0
1846,2.851142255622108e-07,0.0
1847,2.8044762068191176e-07,0.0
1848,2.357250029616509e-07,8.045221711050488e-10
1849,2.6562746491265443e-07,0.0
1850,2.464405550739457e-07,6.788996032014438e-10
1851,2.2895507045816998e-07,0.0
1852,2.5000494319193933e-07,1.3021090872200602e-09
1853,2.400716634376465e-07,5.971931837933653e-10
1854,2.665375973265327e-07,5.195664343204953e-09
1855,2.934736329507359e-07,0.0
1856,2.542000021588109e-07,5.177189232874468e-10
1857,2.2064421423273473e-07,0.0
1858,2.471306395079864e-07,0.0
1859,2.1794501425809187e-07,2.036869339860914e-09
1860,2.3755584255269468e-07,4.577183909670879e-10
1861,2.5041767792721714e-07,4.715963730639317e-10
1862,3.325237970530637e-07,1.3553959066214816e-09
1863,2.3674502580561807e-07,4.994620828036034e-10
1864,2.459695408463247e-07,1.4384183844029508e-09
1865,2.475800254253535e-07,2.8241067262513297e-09
1866,2.3987472097530826e-07,0.0
1867,2.4991979685751176e-07,1.94112459439566e-09
1868,3.1516395893049776e-07,4.93987406535723e-10
1869,2.778722337781758e-07,0.0
1870,2.7523434376064415e-07,4.013834153937523e-09
1871,2.3047955255428576e-07,1.0621177271019633e-09
1872,3.090190410226512e-07,3.0236697590169115e-09
1873,2.7415901548977217e-07,4.1902031844287535e-09
1874,2.2942498811850953e-07,1.7923826867161097e-09
1875,2.706282439812746e-07,0.0
1876,2.8174429322902483e-07,1.813804439976252e-09
1877,2.393523783617013e-07,6.184815992682502e-10
1878,2.1197201671707688e-07,6.039088673581716e-10
1879,2.6636658700951443e-07,1.221865053580018e-09
