year,grand_ADJ anneau_NOUN,grand_ADJ canot_NOUN
1800,1.0061326349841693e-07,6.948603754608484e-07
1801,9.524730160137551e-08,2.404994461358001e-07
1802,1.2308120744819462e-07,2.2602185367759375e-07
1803,5.460949736857401e-08,1.1702034896643454e-08
1804,1.1617699224863998e-07,6.921182915675672e-08
1805,7.107194477384837e-08,4.264316544322355e-08
1806,1.4408345627714425e-08,1.6425514104412287e-07
1807,3.701041606518629e-08,9.366482345285476e-07
1808,9.744118045773575e-08,1.4956088989492855e-07
1809,6.09938268780752e-08,1.2876473931555665e-07
1810,2.3401266702194334e-08,3.2761775514700275e-08
1811,4.262030373070047e-08,7.019814773912003e-08
1812,1.3336041604361526e-08,1.8670457180292033e-08
1813,7.76450239658999e-08,5.463909147351842e-08
1814,5.034683425719777e-08,6.922689976818219e-08
1815,9.710004889029733e-08,3.506390555685357e-07
1816,4.6352077731626196e-09,1.7382029682266875e-07
1817,6.383181272440197e-08,1.821541957269801e-07
1818,5.96058882251782e-08,1.871624846216946e-07
1819,6.521161566297451e-08,6.417651121637391e-08
1820,6.882559233645225e-08,1.6494408328071586e-07
1821,5.621048160264763e-08,9.072569184809254e-08
1822,5.1130641054442094e-08,2.5164297312585404e-07
1823,4.4472091786929013e-08,1.8974759541379171e-07
1824,1.0863235289093609e-07,1.3557990996559965e-07
1825,6.339919167430708e-08,9.421824387345623e-08
1826,8.719904798226707e-08,8.543744911548856e-08
1827,4.885154802902747e-08,8.019027575301152e-08
1828,8.163348275136428e-08,1.6051527040872315e-07
1829,6.944272645803551e-08,1.2688300898844318e-07
1830,3.235419043789989e-08,2.243919681177431e-07
1831,9.510635834431014e-08,4.568223346268496e-07
1832,5.006088621417604e-08,5.790826662632753e-07
1833,7.41352224054026e-08,7.123931595742761e-07
1834,4.573920264761e-08,3.5377871654418414e-07
1835,6.050470346963266e-08,2.1857323417862062e-07
1836,4.5029024398068884e-08,8.736974876910608e-08
1837,1.0019363116953173e-07,1.5724833701824537e-07
1838,2.840472879128697e-08,5.870310459954453e-08
1839,8.180025901083354e-08,1.7268943963699712e-07
1840,3.6944195591637197e-08,1.3248951802324882e-07
1841,3.146068650039524e-08,1.752809737354255e-07
1842,7.647422251011449e-08,2.569265404872567e-07
1843,5.5524964182041003e-08,1.671655809332151e-07
1844,5.872760505676311e-08,1.1416207712500182e-07
1845,5.747634901354104e-08,7.756516851031847e-08
1846,4.6836010625384006e-08,1.5807152919933287e-07
1847,5.44715597072809e-08,6.525800699819229e-08
1848,5.712107409294731e-08,5.229394162142853e-08
1849,6.200767188602185e-08,5.9493846293889874e-08
1850,7.19633561629962e-08,1.1880742789571741e-07
1851,8.255281613855914e-08,5.3530342825069965e-08
1852,1.1198138438750505e-07,7.682443481371592e-08
1853,7.644072663737234e-08,1.0450880694179432e-07
1854,4.728054681102378e-08,2.4419623656513068e-08
1855,7.270503488143731e-08,7.80119790988465e-08
1856,3.572260576234498e-08,9.784887566866018e-08
1857,7.175818694804548e-08,1.1276286215888831e-07
1858,6.312841804856362e-08,9.249047394632726e-08
1859,5.754155862902621e-08,1.0184346876940253e-07
1860,6.865775792341822e-08,8.193158862468408e-08
1861,5.1404003109656315e-08,1.084671623630129e-07
1862,6.460720675116605e-08,8.538994222817564e-08
1863,4.644997364522396e-08,9.09020982930997e-08
1864,4.89062237374327e-08,3.787835112234461e-08
1865,9.649030774383505e-08,4.8009813014004976e-08
1866,1.1726126913913504e-07,6.909170480184912e-08
1867,9.171813886155178e-08,7.570385918143074e-08
1868,1.1460507665095321e-07,7.459210138449635e-08
1869,5.7625525795579335e-08,8.594993516908289e-08
1870,8.486392522044639e-08,5.160643823387545e-08
1871,8.284518315804235e-08,5.416800519242315e-08
1872,6.773019789463319e-08,6.652073381019363e-08
1873,9.517746979437192e-08,7.123345113768664e-08
1874,6.990292433783907e-08,4.600449088343339e-08
1875,1.310229675866026e-07,6.980263123068653e-08
1876,6.590155932073571e-08,5.441413364337677e-08
1877,7.854716521649152e-08,7.174386240649255e-08
1878,6.461824630932256e-08,8.333942247418236e-08
1879,6.231511662235789e-08,9.836013958874901e-08
1880,5.262633928637683e-08,1.0011839890466945e-07
1881,5.787181223126936e-08,7.460582907015123e-08
1882,6.05640053663592e-08,6.522277118392594e-08
1883,7.393626444418544e-08,1.0553296192483685e-07
1884,7.129832368946154e-08,8.054070121943369e-08
1885,7.28356810419939e-08,6.123353557541122e-08
1886,4.2592861571044693e-08,9.16391869054678e-08
1887,1.1099172070316854e-07,7.63884173693441e-08
1888,5.009085479734665e-08,6.974676125537371e-08
1889,6.014531273024204e-08,5.6386230795624215e-08
1890,4.6536142328523766e-08,4.915789730830511e-08
1891,7.139126623201264e-08,5.035633776628856e-08
1892,6.26851242024884e-08,8.713232091395184e-08
1893,4.803564856992182e-08,4.865148994781521e-08
1894,6.23852420833515e-08,5.356308463433379e-08
1895,4.8750775860639806e-08,1.0352017199011243e-07
1896,3.715128116255073e-08,4.1868904787634165e-08
1897,7.283392111645526e-08,4.7196380137393135e-08
1898,5.1491030106376456e-08,5.318853624203257e-08
1899,4.311511148102909e-08,5.140648084989152e-08
1900,4.049021296026467e-08,4.7238582823183606e-08
1901,5.756401222356544e-08,4.247441509619421e-08
1902,6.432471622019875e-08,4.4192553616539954e-08
1903,4.6441892775916926e-08,8.154332675758269e-08
1904,4.245953899584265e-08,3.654745128756076e-08
1905,3.767354161965386e-08,5.057543717157387e-08
1906,6.841765376464082e-08,4.218231453023691e-08
1907,4.268560027664847e-08,2.9314207949937554e-08
1908,4.272908493696548e-08,3.241516921548282e-08
1909,2.2554032752530873e-08,1.925344328412848e-08
1910,2.7255168788542505e-08,3.2599320576309765e-08
1911,2.766594575653869e-08,7.342116248310049e-08
1912,3.1256526866751955e-08,2.7609932118366487e-08
1913,1.9090762359841307e-08,2.704524781904638e-08
1914,4.888622839871459e-08,4.419850796466562e-08
1915,9.660224797869432e-08,2.9451904026700504e-08
1916,3.5159878564172686e-08,1.0987461607214755e-08
1917,4.276905674061027e-08,3.728584374584898e-08
1918,9.189101035644853e-09,6.891825421462272e-08
1919,1.6574126959767455e-08,2.1178051312631396e-08
1920,1.741613253614105e-08,3.63467123065675e-08
1921,2.499006651612845e-08,6.361107551811074e-08
1922,4.8694374199520496e-08,3.6889677090812256e-08
1923,7.961961312474841e-08,2.229349149729387e-08
1924,4.2542360745301266e-08,3.351822286390416e-08
1925,2.859526215814867e-08,3.629398648286042e-08
1926,4.2355327245502394e-08,2.3406890647947876e-08
1927,4.7941667524753484e-08,3.4562596340492746e-08
1928,3.3135519106330946e-08,3.1992914983902665e-08
