year,doivent_VERB ouvrir_VERB,doivent_VERB couvrir_VERB
1800,2.829747991484055e-08,6.917161954334006e-08
1801,5.476719877606229e-08,1.04772034603684e-07
1802,1.1189200677108602e-08,4.923248297927785e-08
1803,3.510610468993036e-08,9.361627917314763e-08
1804,4.2021465418429216e-08,5.9324420931261557e-08
1805,1.4214388954769674e-07,1.2224374756897305e-07
1806,1.4408345627714425e-08,1.0374009207225754e-07
1807,1.9928686256776018e-08,7.117387923472052e-08
1808,1.5862518409903714e-08,4.078933102391602e-08
1809,9.036122072814123e-09,1.197286110254936e-07
1810,2.3401267590372754e-09,3.510190182964834e-08
1811,2.757784400841956e-08,8.022645658911642e-08
1812,3.467370746079723e-08,6.668020802180763e-08
1813,2.300593315851529e-08,4.3136125782439194e-08
1814,7.866692897096073e-08,9.44003133440674e-08
1815,3.236668177919455e-08,7.552225866902518e-08
1816,1.8540831092650478e-08,4.4034472068688046e-08
1817,0.0,4.203558034987509e-08
1818,2.741870730460505e-08,5.48374146092101e-08
1819,1.7596784473994376e-08,4.45095160728215e-08
1820,2.8479554714522237e-08,4.865257352548724e-08
1821,4.339054981983281e-08,1.972297702934611e-08
1822,5.3135764233047666e-08,8.622029668003961e-08
1823,1.9765373338032077e-08,7.708495530778237e-08
1824,2.6947560627377243e-08,9.768490372152883e-08
1825,2.7296874094417944e-08,5.371320099811783e-08
1826,1.6735169694470642e-08,4.580151724553616e-08
1827,2.3964910056406552e-08,3.410390903013649e-08
1828,6.420610709767516e-09,5.1364885678140126e-08
1829,1.2002446148073886e-08,5.744027831156018e-08
1830,2.400472176589119e-08,3.026682549034376e-08
1831,2.0268567268999504e-08,5.6128342862393765e-08
1832,2.976593194148336e-08,9.741577855493233e-08
1833,2.6642345218874652e-08,5.3284690437749305e-08
1834,1.120143711119681e-08,4.2005389389032644e-08
1835,3.6302822081779595e-08,2.571449897459388e-08
1836,2.688300071440608e-08,4.5701099793404865e-08
1837,2.852735292435682e-08,5.218418053232199e-08
1838,3.66105403770689e-08,8.0164454629994e-08
1839,2.516931019158619e-08,6.082583325905944e-08
1840,4.649872664685972e-08,6.497082694068013e-08
1841,4.044945711711989e-08,6.420548714913821e-08
1842,4.762868144325694e-08,6.439934452373564e-08
1843,3.7804230856863796e-08,5.1390127708828004e-08
1844,3.2382512671347286e-08,4.9945906965831455e-08
1845,3.906159662392383e-08,4.3525776760589e-08
1846,3.3956109035671034e-08,6.6741314697083e-08
1847,4.638172157456211e-08,3.829188699455699e-08
1848,5.792559676365272e-08,4.424871846708811e-08
1849,4.1897074254393374e-08,3.267971848686102e-08
1850,2.9192683825840504e-08,5.0238568860550004e-08
1851,2.4507867735223954e-08,3.611685883697646e-08
1852,4.101643469311966e-08,3.7761164861649377e-08
1853,4.598387448595531e-08,5.01642283268211e-08
1854,4.520228102933288e-08,3.4810952342922974e-08
1855,2.653468555990912e-08,3.502578493908004e-08
1856,3.882891874695815e-08,3.6240326295455816e-08
1857,3.7099468386259105e-08,5.564920257938866e-08
1858,3.52344677878591e-08,2.8872689128434104e-08
1859,3.208069188076479e-08,5.703234151610559e-08
1860,4.3025529805618135e-08,3.066713105681629e-08
1861,4.6688040100661965e-08,6.177912581506462e-08
1862,5.69266269678792e-08,3.162590545002786e-08
1863,4.195481650981492e-08,5.6439215967429845e-08
1864,3.2604148714199255e-08,6.32904075814622e-08
1865,4.89511826629041e-08,2.9653119071326728e-08
1866,4.038458811805867e-08,2.6760870852626795e-08
1867,3.591080499631971e-08,4.561642796829801e-08
1868,4.5940829807022965e-08,4.347089088696521e-08
1869,2.6371003158942585e-08,2.5882650689368347e-08
1870,4.12851512976431e-08,2.981705193860762e-08
1871,2.2304472935275044e-08,3.823623728749226e-08
1872,3.930770375859538e-08,5.805445724149649e-08
1873,1.7958013742713774e-08,4.968383748860106e-08
1874,3.0470506118263074e-08,4.540703102406951e-08
1875,2.803548326824057e-08,3.20405533216217e-08
1876,2.539326260375674e-08,5.441413364337677e-08
1877,2.2265338017746217e-08,2.535774612510977e-08
1878,2.4760263173106978e-08,2.8383716710322915e-08
1879,4.3376211067425174e-08,2.7491964260661916e-08
1880,2.631317030932223e-08,4.7492061838738664e-08
1881,1.1156012114099667e-08,3.69542902944886e-08
1882,2.0631693686823382e-08,2.728707926280549e-08
1883,1.9589950994713945e-08,3.4124429504345244e-08
1884,2.970763546272792e-08,4.2250860587955685e-08
1885,2.9649923405372647e-08,2.5782542323327107e-08
1886,2.8395241713496944e-08,3.9366128135043255e-08
1887,3.133883907935342e-08,1.8933882017790893e-08
1888,5.326116436776829e-08,2.8532765483646472e-08
1889,5.200063668553412e-08,2.4434033463194282e-08
1890,3.2771932723107966e-08,2.5562107097698572e-08
1891,3.250852387282066e-08,3.378336543846672e-08
