year,grand_ADJ as_NOUN,grand_ADJ casse_NOUN
1800,1.5720821977538435e-08,0.0
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,1.950339223455444e-09
1804,1.2359254952798437e-08,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,4.518061036407062e-09
1810,4.680253518074551e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,8.627225156487839e-09,0.0
1814,1.2586708564299443e-08,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,1.556873407970727e-09
1818,7.152706427149269e-09,0.0
1819,6.210630232317271e-09,1.035105001712111e-09
1820,8.306536791735653e-09,1.1866481131050932e-09
1821,4.930744257336528e-09,9.86148829262845e-10
1822,4.010246357211145e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,1.6000115010683658e-08,0.0
1825,5.283266046873791e-09,0.0
1826,1.7615968683770689e-09,8.807984341885344e-10
1827,1.8434546111834038e-09,0.0
1828,3.668920500743411e-09,9.172301251858528e-10
1829,5.143905745796928e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,9.266902800675325e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,0.0,1.5126175867408165e-09
1836,2.688300027031687e-09,1.4785650037651976e-08
1837,7.653680356156656e-09,5.5663127440652715e-09
1838,1.2624323808552163e-09,6.312161904276081e-10
1839,4.194885327990505e-09,2.7965900706306e-09
1840,2.5478754661634184e-09,3.1848443882154243e-09
1841,6.420548537278137e-10,1.2841097074556274e-09
1842,2.683306021822318e-09,1.341653010911159e-09
1843,6.497602011990011e-09,4.725528968130277e-09
1844,1.097712254427563e-09,3.2931368743049916e-09
1845,5.580227946389016e-10,0.0
1846,2.3418005312692003e-09,5.854501328173001e-10
1847,1.6179670936367074e-09,0.0
1848,1.6090443422100975e-09,0.0
