year,grand_ADJ or_NOUN,grand_ADJ cor_NOUN
1800,0.0,2.2009150946189493e-08
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,0.0,1.7902721083373763e-08
1803,3.900678446910888e-09,1.3652374342143503e-08
1804,4.943701892301533e-09,2.2246657849223084e-08
1805,0.0,2.842877666608956e-08
1806,5.76333825108577e-09,8.645007376628655e-09
1807,8.540865348294346e-09,5.124519475430134e-08
1808,9.064295980465431e-09,1.5862517965814504e-08
1809,2.259030518203531e-09,1.3554183109221185e-08
1810,2.3401267590372754e-09,2.3401267590372754e-08
1811,5.0141535368197765e-09,9.526891631139733e-08
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,1.4378708224072057e-08,8.627224934443234e-09
1814,9.440030979135372e-09,6.293354282149721e-09
1815,5.394447111228828e-09,1.618334155573109e-08
1816,2.3176038865813098e-09,4.6352077731626196e-09
1817,1.556873407970727e-09,1.71256075987003e-08
1818,1.1921177378582115e-09,1.4305412854298538e-08
1819,1.035105001712111e-09,3.415846627774499e-08
1820,2.3732962262101864e-09,6.289234910639152e-08
1821,0.0,2.6626018723163725e-08
1822,1.5038423839541792e-08,2.8071724500478012e-08
1823,6.917880934764753e-09,3.755421096318656e-08
1824,4.463189817727198e-08,1.2631669044083083e-08
1825,1.3208164340028361e-08,4.1385581850406084e-08
1826,6.165589039319741e-09,2.8185548561765472e-08
1827,5.530363722527909e-09,1.7512818639708883e-08
1828,9.172301251858528e-10,7.337841001486822e-09
1829,4.286587973467704e-09,1.800367011028925e-08
1830,9.39315247805439e-09,6.262101504006523e-09
1831,1.5591206103948707e-09,2.3386808489789246e-08
1832,2.705993873419743e-09,1.488296641483089e-08
1833,1.2741991461950875e-08,2.0850530635385667e-08
1834,1.8669061851994684e-09,1.120143755528602e-08
1835,2.193295500774184e-08,2.7227116561334697e-08
1836,7.392825018825988e-09,1.9490175251490882e-08
1837,5.566312855087574e-09,1.043683617307778e-08
1838,8.205810475558906e-09,4.418513332993257e-09
1839,4.894032512581248e-09,1.3283802946517653e-08
1840,1.2102408852854296e-08,1.592422194107712e-08
1841,4.494383976094696e-09,9.630822805917205e-09
1842,1.0062397581833693e-08,1.2074877098200432e-08
1843,6.497602234034616e-09,1.0041749043399051e-08
1844,4.939705144924034e-09,1.4270258974491412e-08
1845,1.2834524387717039e-08,1.0602433264672584e-08
1846,1.1123552079439492e-08,5.269051195355701e-09
1847,1.6179670936367074e-09,5.3932236454556914e-09
1848,5.63165514222419e-09,2.4135665133151463e-09
1849,9.217356211621563e-09,8.379414939696517e-10
1850,1.1541293254424545e-08,6.1100964288129944e-09
1851,3.8696632564949596e-09,1.3543821619776963e-08
1852,2.6042181744401205e-09,2.213585470478563e-08
1853,2.149895506065036e-08,1.4332636411040767e-08
1854,4.676097953293379e-09,2.234135720868835e-08
1855,2.1227748447927297e-09,1.2736649068756378e-08
1856,3.1063135952358323e-09,9.836659486950339e-09
1857,7.322263739784063e-09,1.2691924067276261e-08
1858,1.1255454956948796e-08,1.8106601329392902e-08
1859,5.601390906662118e-09,1.4767302269902416e-08
1860,4.577184048448757e-09,1.3731551340434578e-08
1861,6.602349444939648e-09,1.5562679867020535e-08
1862,1.8071945051545413e-09,1.762014673056811e-08
1863,7.491931519609807e-09,5.494082966350788e-09
1864,3.835782358407869e-09,1.0548401596643942e-08
1865,7.530951029455224e-09,1.0825741858511151e-08
1866,1.167747110120132e-08,1.9949012997066973e-08
1867,1.4073153309368536e-08,1.067618526917613e-08
1868,1.4819622196071691e-09,2.6181331880259506e-08
1869,4.88351925564956e-09,2.783605879130846e-08
1870,1.204150246181257e-08,1.6628741938973235e-08
1871,1.0621177048975028e-08,1.1683294554032386e-08
1872,4.8378714367913744e-09,7.861541084785983e-09
1873,5.9860043588599865e-09,1.3767810003173508e-08
1874,1.0754296286830112e-08,8.364452686038248e-09
1875,3.432916173551348e-09,1.2587359654592234e-08
1876,3.627608879952504e-09,6.04601479992084e-09
1877,3.092407996341251e-09,1.4225076672147452e-08
1878,4.22736201599605e-09,1.147426842429411e-08
1879,4.887460214320072e-09,1.1607717897987868e-08
1880,4.492492378105339e-09,1.0910339076630748e-08
1881,9.064259565150223e-09,1.045876146799074e-08
1882,1.3310770263785798e-09,3.9932310791357395e-09
1883,1.2638677882037541e-09,6.951272890631799e-09
1884,1.3203393933736152e-09,1.2543224237049344e-08
1885,3.222817901438191e-09,1.0957580676151935e-08
1886,5.808117542471791e-09,1.419762035714811e-08
1887,5.8760321608453125e-09,1.4363634504022116e-08
1888,5.072491537916335e-09,8.242799109936527e-09
1889,2.506054641582267e-09,1.0024218566329068e-08
1890,3.277193294515257e-09,2.2284914358294827e-08
1891,5.736798036615198e-09,1.4660706204594476e-08
1892,7.522214851007902e-09,1.0029620023388475e-08
1893,8.621783287310336e-09,6.774258043407144e-09
1894,5.671385361338821e-09,9.452309157609307e-09
1895,5.416753046105782e-09,9.629782971032341e-09
1896,3.538217385745668e-09,3.538217441256819e-09
1897,3.4960281336537946e-09,8.15739897852552e-09
1898,6.2241903853177405e-09,9.619203544808386e-09
1899,5.527578395003729e-09,1.1055156790007459e-08
1900,1.038210628578895e-09,6.74836919678512e-09
1901,5.588738916095792e-10,6.706486588292648e-09
1902,9.820567470342212e-09,2.9461703632271963e-09
1903,2.1600881083827517e-09,4.860198021816586e-09
1904,4.299700151477737e-09,1.5048950530172078e-08
1905,7.741138396966107e-09,4.644683193610888e-09
1906,3.600929110447737e-09,2.572092261399206e-09
1907,6.171411992550446e-09,9.257118183114699e-09
1908,9.822778146428846e-10,7.367083609821634e-09
1909,2.2003934230241384e-09,7.151278680339601e-09
1910,3.7409054742809644e-09,5.3441505665219324e-09
1911,5.32037403022656e-09,5.852411555373749e-09
1912,4.688479104952847e-09,7.293189607793238e-09
1913,4.7726907426159926e-09,7.424185821669482e-09
1914,6.027069177072519e-09,4.018046229070649e-09
1915,0.0,2.3561523843085297e-09
1916,4.394984820521586e-09,6.592477230782379e-09
1917,4.3865698851064394e-09,2.6319418866549427e-08
1918,1.033773866510046e-08,4.594550517822427e-09
1919,3.6831394045755417e-09,4.603924186330488e-09
1920,3.786115865267448e-09,1.514446346106979e-08
1921,1.5145494858259667e-09,3.7863738810983705e-09
1922,2.21338064543275e-09,2.2133805899215986e-09
1923,1.0615948120573648e-09,5.307974060286824e-09
1924,0.0,2.578324886925998e-09
1925,1.0998177923937646e-09,7.698724768800957e-09
1926,3.343841648018042e-09,3.3438415369957397e-09
1927,4.4596899506643695e-09,8.919379901328739e-09
1928,2.2852082448565625e-09,3.4278122562625413e-09
1929,4.4561625500705304e-09,1.0026365959703298e-08
1930,2.100720708497761e-09,1.0503603542488804e-09
1931,5.7026783295555106e-09,2.2810713318222042e-09
1932,4.383814644626227e-09,1.0959536611565568e-09
1933,1.1470662197865522e-09,1.0323596200123575e-08
1934,2.3963160344919743e-09,0.0
1935,7.180970484910176e-09,4.787313656606784e-09
