year,dut_VERB ouvrir_VERB,dut_VERB couvrir_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509905596875e-08,1.2359254952798437e-08
1805,0.0,2.55858996212055e-08
1806,0.0,0.0
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,4.758755522971114e-08,0.0
1809,9.036122072814123e-09,9.036122072814123e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,0.0,5.867858021701977e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,1.0788894222457657e-08
1816,2.3176038865813098e-09,2.3176038865813098e-08
1817,1.2454987263765815e-08,1.556873407970727e-09
1818,1.4305412854298538e-08,1.668964877410417e-08
1819,0.0,6.210630232317271e-09
1820,1.1866481131050932e-09,2.8479554714522237e-08
1821,1.577838126820552e-08,1.8736827200882544e-08
1822,0.0,2.2056354964661296e-08
1823,9.882686669016039e-09,0.0
1824,2.0210670470532932e-08,1.0947446504872005e-08
1825,3.522177216552791e-09,1.8491430608946757e-08
1826,0.0,8.807984341885344e-10
1827,0.0,2.8573547083965423e-08
1828,3.118582370120748e-08,6.420610709767516e-09
1829,8.57317605795771e-10,6.001223074036943e-09
1830,7.305785310052215e-09,1.7742621594152297e-08
1831,4.677361609140007e-09,6.236482441579483e-09
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,6.950177322551099e-09,1.2741991461950875e-08
1834,1.8669061851994684e-09,1.0267983796552471e-08
1835,1.663879345414898e-08,0.0
1836,4.704525213838906e-09,2.688300027031687e-09
1837,1.1132625488130543e-08,4.87052354003481e-09
1838,1.7042836475411605e-08,1.2624323808552163e-08
1839,1.3283802502428443e-08,5.5931801412612e-09
1840,1.0828470564661075e-08,7.0066574764382494e-09
1841,1.0272877659645019e-08,8.988767952189392e-09
1842,1.0062397137744483e-08,1.1404051036834062e-08
1843,5.906910960362666e-09,5.31621990873532e-09
1844,1.3172547497219966e-08,2.7442805805577564e-09
1845,1.4508592549589139e-08,3.348136878855712e-09
1846,1.8734404250153602e-08,1.1709002656346001e-09
1847,1.6718992412734224e-08,4.853901280910122e-09
1848,1.206783295515379e-08,4.82713291560799e-09
1849,3.5193544078993e-08,1.6758829879393033e-09
1850,4.752297222410107e-09,1.3577992064028876e-08
1851,1.3543821175687754e-08,2.644269869733762e-08
1852,3.190167419120371e-08,1.3021090872200602e-09
1853,2.8068079416243563e-08,2.9859659189668264e-09
