year,serait_VERB ouverte_ADJ,serait_VERB couverte_ADJ
1800,2.829747991484055e-08,0.0
1801,2.6193008650921e-08,9.524730337773235e-09
1802,2.2378401354217203e-08,8.951360541686881e-09
1803,1.3652374342143503e-08,5.851017448321727e-09
1804,5.438072037122765e-08,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,5.76333825108577e-09
1807,3.9857372513552036e-08,8.540865792383556e-09
1808,4.985362878073829e-08,9.064295980465431e-09
1809,3.162642769893864e-08,2.0331274441787173e-08
1810,4.914266327205041e-08,1.6380887757350138e-08
1811,1.2535384286138651e-08,2.0056614147279106e-08
1812,3.7340914360584065e-08,3.200649700829672e-08
1813,3.4508900625951355e-08,1.1502966579257645e-08
1814,4.090680150170556e-08,0.0
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,4.4034472068688046e-08,1.3905623319487859e-08
1817,5.7604317760251433e-08,9.341240669868967e-09
1818,2.741870730460505e-08,1.5497530370112145e-08
1819,5.3825459644940565e-08,8.280840013696888e-09
1820,5.6959109429044474e-08,1.898636980968149e-08
1821,6.212737702071536e-08,1.676452932031225e-08
1822,3.0076847679083585e-08,1.1028177482330648e-08
1823,5.435477845594505e-08,1.087095569118901e-08
1824,5.3895121254754486e-08,2.6105450245950124e-08
1825,5.723537910284904e-08,2.553578504205234e-08
1826,6.958307352533666e-08,1.7615968683770689e-09
1827,6.175572764277604e-08,3.594736597278825e-08
1828,6.053718948351161e-08,1.559291185060374e-08
1829,2.0575622983187714e-08,5.1439055681612444e-08
1830,4.905312778191728e-08,2.817945699007396e-08
1831,4.8332740476553226e-08,3.4300654760954785e-08
1832,4.6001897402447867e-08,5.682587200794842e-08
1833,6.950177322551099e-08,1.9692167896323554e-08
1834,6.067445212920575e-08,1.0267983796552471e-08
1835,1.2705987728622858e-07,1.285724948729694e-08
1836,5.2421849972006385e-08,2.1506400216253496e-08
1837,7.444943150858307e-08,1.6003149028165353e-08
1838,4.418513199766494e-08,1.830527018853445e-08
1839,3.915226187700682e-08,2.7266752411492234e-08
1840,4.0129037870428874e-08,2.0383003729307347e-08
1841,4.3017674755674307e-08,2.8250413564023802e-08
1842,9.458653948968276e-08,2.6162233268678392e-08
1843,3.898561473647533e-08,1.4176587015413133e-08
1844,4.9945906965831455e-08,1.6465683927435748e-08
1845,7.19849424513086e-08,2.5669049108500985e-08
1846,4.9177810268474786e-08,3.5127008857216424e-08
1847,6.040410482910374e-08,1.77976389181822e-08
1848,3.861706332486392e-08,2.654923214606697e-08
1849,5.781796375003978e-08,4.273501730267526e-08
1850,5.2275268558332755e-08,2.1724787302446202e-08
1851,3.418202609850596e-08,1.7413483988093503e-08
1852,8.724131106419009e-08,4.557381672043448e-08
1853,4.658106789179328e-08,1.0749477752369785e-08
1854,6.390667550704165e-08,3.273268589509826e-08
1855,6.739810487488285e-08,2.2819829581521844e-08
1856,3.675804194358534e-08,2.174419400091665e-08
1857,4.051652524594829e-08,2.147863931156735e-08
1858,4.991549573674092e-08,2.300027723833864e-08
1859,6.008764330545091e-08,1.4258085379026397e-08
1860,3.3413442679375294e-08,8.696649622663699e-09
1861,5.75347591791342e-08,1.4619487842537637e-08
1862,4.337266901188741e-08,4.9697850279528666e-09
1863,5.4940830551686304e-08,1.2986014041871385e-08
1864,8.678457419364349e-08,1.342523781033833e-08
1865,3.7654753981541944e-08,4.706844247692743e-09
1866,5.1088935748566655e-08,7.784980660119345e-09
1867,4.901339423213358e-08,1.164674756637396e-08
1868,4.989272639477349e-08,1.333765986544222e-08
1869,5.567211758261692e-08,2.24641887314192e-08
1870,6.82351810610271e-08,6.880858549607183e-09
1871,5.416800519242315e-08,4.248470908407853e-09
1872,4.233137573805834e-08,6.047339518033823e-09
1873,5.5071240012694034e-08,1.1972009161809183e-08
1874,5.138164027584935e-08,1.9118749250424116e-08
1875,4.3483606049221635e-08,1.4303817685856757e-08
1876,3.929909553335165e-08,2.7811667635546655e-08
1877,4.638611983409646e-08,1.9791411176584006e-08
1878,3.5026715750063886e-08,1.2078177569208037e-08
1879,5.315112971970848e-08,2.077170613290491e-08
1880,5.198455355071019e-08,1.5402831010646878e-08
1881,4.113779539238749e-08,1.743126887276958e-08
1882,4.19289278852375e-08,1.7969540522244642e-08
1883,4.3603439081607576e-08,2.0221884611260066e-08
1884,4.5551708183211304e-08,1.3203393933736152e-08
1885,3.609556031847205e-08,2.513797880965285e-08
1886,4.1947515683204983e-08,2.5168509054651622e-08
1887,4.0479331886444925e-08,4.570247114088488e-08
1888,3.360525724360741e-08,1.9655905347804037e-08
