year,doit_VERB ouvrir_VERB,doit_VERB couvrir_VERB
1800,1.760732146749433e-07,2.7668647817336023e-07
1801,2.2621235018505104e-07,2.1668761007731518e-07
1802,1.6336232988578558e-07,2.0140561218795483e-07
1803,8.386458461018265e-08,1.794312112224361e-07
1804,1.9033252840472414e-07,2.1505103120489366e-07
1805,1.8194417350514414e-07,4.832892273043399e-07
1806,2.564685530614952e-07,2.0748018414451508e-07
1807,1.2811298688575334e-07,1.2526602688467392e-07
1808,1.359644414833383e-07,2.1527702642742952e-07
1809,1.6265019553429738e-07,1.5361408145508904e-07
1810,2.6443433398526395e-07,1.193464669313471e-07
1811,8.774768645025688e-08,2.431864345453505e-07
1812,3.947468201204174e-07,2.667208320872305e-07
1813,1.0927818294703684e-07,2.70319702622146e-07
1814,2.391474538399052e-07,1.3530711839848664e-07
1815,3.884001955611893e-07,1.0788894400093341e-07
1816,2.503012126453541e-07,2.711596494009427e-07
1817,1.0742426326260102e-07,2.3820163619348023e-07
1818,1.7047283051851991e-07,1.263644833215949e-07
1819,1.8424869097088958e-07,1.563008567018187e-07
1820,1.9105034709809843e-07,2.3139638472002844e-07
1821,1.410192851380998e-07,1.9821591479285416e-07
1822,1.45371430448904e-07,2.5064039732569654e-07
1823,2.2433698632084997e-07,2.0160680946901266e-07
1824,1.6336959163254505e-07,1.6000113589598186e-07
1825,1.3736490700466675e-07,1.576174355477633e-07
1826,1.902524644492587e-07,1.5678212150760373e-07
1827,1.4286773364347027e-07,1.6591091878126463e-07
1828,2.027078522814918e-07,1.4859128327771032e-07
1829,1.6889157450350467e-07,1.6717693540613254e-07
1830,2.0560567293159693e-07,1.7012042974329233e-07
1831,1.6058942264862708e-07,2.3230897738812928e-07
1832,1.4747666909897816e-07,1.7588959622116818e-07
1833,1.760711541010096e-07,1.9692168962137657e-07
1834,1.978920494138947e-07,1.344172488870754e-07
1835,1.6714423622943286e-07,1.3613558280667348e-07
1836,1.7003497987388982e-07,1.6465837404666672e-07
1837,1.899504269431418e-07,1.3985361135837593e-07
1838,1.5464796376818413e-07,1.3381783503518818e-07
1839,2.2302805291474215e-07,1.6849455164447136e-07
1840,2.2676091759876726e-07,1.7707733945826476e-07
1841,2.0481549256601284e-07,1.55377279043023e-07
1842,2.36130929920364e-07,1.3148199684565043e-07
1843,2.173743212097179e-07,1.2050098519011954e-07
1844,2.672929326763551e-07,2.4094782702377415e-07
1845,1.6461672203149647e-07,1.6015253834211762e-07
1846,1.7914774730343197e-07,1.9319854516197665e-07
1847,1.5154958532548335e-07,1.6125738966366043e-07
1848,1.8021296455117408e-07,1.7216774494954734e-07
1849,1.726159410964101e-07,2.0361977703942102e-07
1850,2.1792676818677137e-07,1.6565149962843861e-07
1851,2.1670113881100406e-07,1.6510563227711827e-07
1852,1.354193415181726e-07,1.4648726676114165e-07
1853,1.7736637403231725e-07,1.606449728797088e-07
1854,1.6937866575972294e-07,1.5898733352059935e-07
1855,1.5496256366986927e-07,1.432873091289366e-07
1856,2.1744195066730754e-07,1.718826894148151e-07
1857,1.7768692828212806e-07,1.2984814645733422e-07
1858,1.6198067953610007e-07,1.3653355779297272e-07
1859,1.6702328764495178e-07,1.5480206627671578e-07
1860,2.128390548250536e-07,1.8949540958601574e-07
1861,1.7401906404757028e-07,1.3157539058283874e-07
1862,1.8885182839767367e-07,1.6535830127395457e-07
1863,1.423466926553374e-07,1.433456162658331e-07
1864,1.601439123533055e-07,1.3041659485679702e-07
1865,1.845082948648269e-07,1.2473137189772388e-07
1866,1.4791463343044597e-07,1.4110277390955162e-07
1867,1.5189300484053092e-07,1.4849602791855432e-07
1868,1.2349684652690485e-07,1.516541345836231e-07
1869,1.9875922419032577e-07,1.0597236865805826e-07
1870,1.7890232584250043e-07,1.628469874503935e-07
1871,1.338268305062229e-07,1.2639200974717824e-07
1872,1.5420715726577328e-07,1.4271721227032685e-07
1873,1.604249177944439e-07,1.1972008451266447e-07
1874,1.6250936596406973e-07,1.254667978400903e-07
1875,1.922433057188755e-07,1.0069887679264866e-07
1876,1.7049761424914323e-07,1.3119851871579158e-07
1877,1.5771280459375703e-07,1.1689301970818633e-07
1878,1.1715832215486444e-07,1.3829513534346916e-07
1879,1.4479100229891628e-07,1.0996785704264767e-07
1880,1.3349119853955926e-07,8.343199908722454e-08
1881,1.6315667039634718e-07,7.251407652120179e-08
1882,1.7437109534057527e-07,8.91821585469188e-08
1883,1.2006744043446815e-07,1.1185230164301174e-07
1884,1.4523733682381135e-07,1.0694748908690599e-07
1885,1.2826815520838863e-07,8.121500627567002e-08
1886,1.310053221459384e-07,1.0002869288427974e-07
1887,1.436363419315967e-07,8.161156017649773e-08
1888,1.4710225570979674e-07,1.2998259535379475e-07
1889,1.509897913365421e-07,1.202906219077704e-07
1890,1.7172492050576693e-07,1.1994526971648156e-07
1891,1.313089370569287e-07,1.1409854039357015e-07
1892,1.5984706180915964e-07,8.462491507543746e-08
1893,1.3117427499764744e-07,8.621783109674652e-08
1894,1.4871632458834938e-07,8.318031774479095e-08
1895,1.2578904318161221e-07,9.509410858754563e-08
1896,9.376275755812458e-08,1.0201860334291268e-07
1897,1.1769961361096648e-07,8.973138676537928e-08
1898,1.1316709702668959e-07,1.1712794645291069e-07
1899,1.5477219506010442e-07,9.065228567806116e-08
1900,1.3704379853152204e-07,1.2873812238467508e-07
1901,1.3748297078564065e-07,8.327221223680681e-08
1902,1.6645861933284323e-07,1.065531591848412e-07
1903,1.0260418292773466e-07,1.0854442678009946e-07
1904,1.7037561406141322e-07,1.0480518852773457e-07
1905,1.3676012144969718e-07,1.0424733432046196e-07
1906,1.3220554251347494e-07,1.1780182518350557e-07
1907,1.57371005116147e-07,1.1468540606074384e-07
1908,1.3015180400088866e-07,1.1885561690405666e-07
1909,1.3312380531260715e-07,1.1882124795192794e-07
1910,1.0207327960642942e-07,9.940120548890263e-08
1911,1.0161914332229571e-07,1.1758027085306821e-07
1912,1.3596589099051926e-07,9.585335192241473e-08
1913,1.0871129063616536e-07,1.03408297036367e-07
1914,1.171930179566516e-07,1.406316130214691e-07
1915,1.060268601804637e-07,1.1545146350044888e-07
1916,7.1418504887788e-08,1.1097336738430386e-07
1917,1.4366015932409937e-07,1.0856760468413995e-07
1918,1.343906035344844e-07,7.236417332023848e-08
