year,aurait_VERB ouvert_VERB,aurait_VERB couvert_VERB
1800,3.772997558826319e-08,4.087413785214267e-08
1801,4.0480102825313224e-08,7.143547975374531e-09
1802,2.6854081625060644e-08,2.2378401354217203e-09
1803,7.021220937986072e-08,7.801356893821776e-09
1804,5.19088700912107e-08,1.9774807569206132e-08
1805,1.02343598484822e-07,4.264316544322355e-08
1806,5.4751712497136396e-08,5.76333825108577e-09
1807,8.825561081948763e-08,2.2775640928784924e-08
1808,4.985362878073829e-08,2.039466551195801e-08
1809,4.743964154840796e-08,2.4849335034105025e-08
1810,2.8081521108447305e-08,1.6380887757350138e-08
1811,3.5099073869560016e-08,6.016983888912364e-08
1812,6.401299401659344e-08,9.868670503010435e-08
1813,3.163315653864629e-08,7.764502640839055e-08
1814,4.405347908686963e-08,1.2586708564299443e-08
1815,6.47333635583891e-08,4.5852800667489646e-08
1816,9.502176112619054e-08,9.270415546325239e-09
1817,5.60474440192138e-08,5.1376822796100896e-08
1818,7.74876554032744e-08,3.099506074022429e-08
1819,1.3145833577254962e-07,3.2088255608186955e-08
1820,1.1035827185423841e-07,3.5599443393152796e-09
1821,1.0453177878844144e-07,4.437669787193954e-08
1822,1.2632276025215106e-07,1.9048670196752937e-08
1823,8.103803139647425e-08,1.8777104315859106e-08
1824,7.915846111927749e-08,1.7684335773537896e-08
1825,9.774041842547376e-08,3.434122675116669e-08
1826,8.367585024871005e-08,7.310627125889368e-08
1827,9.217273344575005e-08,5.530363722527909e-08
1828,7.796455747666187e-08,5.1364885678140126e-08
1829,1.7746474156865588e-07,4.200856196234781e-08
1830,1.2941676175159955e-07,2.6092090266160994e-08
1831,8.886987501455224e-08,1.559120619276655e-07
1832,1.6912461830997927e-07,6.3590853471851e-08
1833,7.52935847003755e-08,2.89590715851773e-08
1834,9.521221500108368e-08,3.9205030333278046e-08
1835,8.016873209726327e-08,2.8739734148075513e-08
1836,7.796069922960669e-08,5.1749776019960336e-08
1837,1.4333255649034982e-07,2.435261770017405e-08
1838,7.953323688525415e-08,4.039783618736692e-08
1839,1.0137639350205063e-07,5.5232654005976656e-08
1840,1.3822224786963488e-07,2.5478755105723394e-08
1841,1.2584274600158096e-07,3.78812359258518e-08
1842,1.1269885646925104e-07,4.092041550052272e-08
1843,7.324569395450453e-08,2.7762482091020502e-08
1844,1.0702694197561868e-07,3.951764071530306e-08
1845,1.4452790253471903e-07,3.627148004170522e-08
1846,1.0830827790186959e-07,5.561776106333127e-08
1847,1.1056108206730642e-07,2.534815024546333e-08
1848,1.2309189401094045e-07,3.861706332486392e-08
1849,1.4412593429824483e-07,7.625267528510449e-08
1850,1.0115603998883671e-07,5.363306954109248e-08
1851,9.932135469625791e-08,4.5791015423901626e-08
1852,9.830923630715915e-08,2.9948509450150596e-08
1853,1.128695146235259e-07,3.762317035693741e-08
1854,8.105236304345453e-08,1.0391328686409906e-08
1855,9.074862816760287e-08,3.3964397516683675e-08
1856,8.69767760036666e-08,1.7084724746041502e-08
1857,9.860648475523703e-08,5.418474913199134e-08
1858,8.270312434888183e-08,3.229826006645453e-08
1859,1.1813842348828985e-07,2.953460587207246e-08
1860,1.1397187904549355e-07,3.4328881071132855e-08
1861,6.790988038574142e-08,3.301174444914068e-08
1862,9.216692120617154e-08,4.563166200455271e-08
1863,1.0288918872447539e-07,5.4940830551686304e-08
1864,7.3359338159662e-08,2.7329949858767577e-08
1865,9.178346260796388e-08,2.3063536858103362e-08
1866,1.420758906078845e-07,6.811858099808887e-08
1867,8.346835755901338e-08,2.4749338578544666e-08
1868,6.520633633044781e-08,3.2603168165223906e-08
1869,1.2355303624644876e-07,2.783605879130846e-08
1870,8.31437105830446e-08,1.8922360567330543e-08
1871,1.5506918771279743e-07,3.504988654867702e-08
1872,1.0582844112150269e-07,2.6003558417642125e-08
1873,9.158586777857636e-08,3.7711828326791874e-08
1874,1.0156835372754358e-07,2.8678122987457755e-08
1875,8.124568751100014e-08,1.94531928343622e-08
1876,1.1306048008918879e-07,3.869449471949338e-08
1877,1.3915835950228939e-07,2.4120781816350245e-08
1878,7.669642343444139e-08,2.7779808675632012e-08
1879,8.064309042765672e-08,3.237942536316041e-08
1880,1.0332732358619978e-07,1.6044616302224313e-08
1881,7.669758161910067e-08,1.5339516323820135e-08
1882,9.783416032860259e-08,1.5972924316542958e-08
1883,1.0742876099811838e-07,1.64302811356265e-08
1884,6.601696611596708e-08,1.9144920315739e-08
1885,8.637152149049143e-08,1.9981470700258797e-08
1886,6.388929563172496e-08,3.033127882190456e-08
1887,5.3537181798901656e-08,3.133883907935342e-08
1888,6.847864142400795e-08,1.521747527988282e-08
1889,5.5133202891965993e-08,2.7566601445982997e-08
1890,7.996351314432104e-08,2.0318598359381213e-08
1891,6.69293100941104e-08,1.9760081571007504e-08
1892,5.390920776449093e-08,2.1312942521944933e-08
1893,7.636436549773862e-08,1.9091091374434654e-08
1894,5.923446977362801e-08,2.5836310868498913e-08
1895,7.52326840824935e-08,1.5648398132839247e-08
1896,8.78657289149487e-08,1.6511680911435178e-08
1897,8.040864685199267e-08,2.5637540090883704e-08
1898,7.469028417972368e-08,1.7540900287826844e-08
1899,8.844125432005967e-08,1.4371703827009696e-08
1900,7.111742661436438e-08,1.1939421895590385e-08
1901,7.600684881481357e-08,3.409130755471779e-08
1902,6.186957790532688e-08,1.3748794991386148e-08
1903,5.994244389739833e-08,1.7280704867062013e-08
1904,5.750849041419315e-08,1.8811189050893518e-08
1905,8.3604298595219e-08,2.0643035725242953e-08
1906,6.481672443214848e-08,2.2634411678268407e-08
1907,4.6799875974556926e-08,5.142843484406967e-09
1908,7.12151404513861e-08,2.3083527977973972e-08
1909,6.106091632318567e-08,1.3752458727367411e-08
1910,7.054278938767311e-08,1.60324518105881e-08
1911,7.7677462684278e-08,1.755723388896513e-08
1912,7.032718940536142e-08,1.6670147928721235e-08
1913,8.855992916778632e-08,2.333315407554437e-08
1914,8.504864723590799e-08,1.2723813114234872e-08
1915,1.3194453174492082e-07,1.8849219074468238e-08
1916,8.680095220370276e-08,3.2962386153911893e-09
1917,8.77313937053259e-08,1.973956464951243e-08
1918,9.878283435682533e-08,2.067547733020092e-08
1919,6.721729306491397e-08,9.207848705727883e-09
1920,8.405176998849129e-08,1.2872794385998532e-08
1921,7.118382683302116e-08,1.2873671018098776e-08
1922,6.64014194740048e-08,1.8444838545406128e-08
1923,7.855801698042342e-08,1.3800733000834953e-08
1924,4.640984840875717e-08,7.734974438733389e-09
1925,5.389107116116065e-08,2.0896537833436923e-08
1926,5.461607699430715e-08,2.0063049888108253e-08
1927,8.250426475342465e-08,2.5643217327342427e-08
1928,7.883968322630608e-08,2.6279895593006586e-08
1929,7.01845621620123e-08,1.6710609784809094e-08
1930,5.461873797685257e-08,5.2518016602221e-09
1931,7.299428261831054e-08,1.1405356659111021e-08
1932,6.13734059129456e-08,6.575722188983946e-09
1933,4.3588517684156614e-08,4.588264879146209e-09
1934,9.944711365506009e-08,1.4377896206951846e-08
1935,6.702239119249498e-08,8.377798899061872e-09
1936,7.396075574206407e-08,1.091224355320719e-08
1937,6.799204044227736e-08,1.2591118370153254e-08
1938,4.408173026604345e-08,1.1668692678767911e-08
1939,4.435274547631707e-08,2.141167065872196e-08
1940,8.114505334333444e-08,1.5214697057785997e-08
1941,3.836953510472085e-08,3.246652724442356e-08
1942,2.730790527039062e-08,1.2136847082899749e-08
1943,2.9032351633873077e-08,1.1612940831184915e-08
1944,7.069009200222354e-08,9.639558484764166e-09
1945,6.099811145077183e-08,2.3963544037997053e-08
1946,6.682130049284751e-08,2.3665876369705074e-08
1947,5.722018059373113e-08,2.0265479960812627e-08
1948,7.719040695519652e-08,6.523132700664291e-09
1949,5.890204946013e-08,2.0615717133409817e-08
1950,6.593923984610228e-08,1.595304155443955e-08
1951,7.036525317971609e-08,6.396841278899501e-09
1952,8.330395218081321e-08,1.0544804140977249e-08
1953,6.141081598798337e-08,1.1851209791302608e-08
1954,6.840775057526116e-08,8.795282724349818e-09
1955,6.757638004728506e-08,1.8771215692936494e-08
1956,4.6222051963695776e-08,9.593255967388359e-09
1957,5.9194753987412696e-08,2.1204090927540165e-08
1958,7.362296372548371e-08,2.1507833736222892e-08
1959,8.603330314826962e-08,1.7826719656000023e-08
1960,7.33608302994071e-08,1.3841666479663672e-08
1961,7.504011989567516e-08,1.459113452284555e-08
1962,5.961439342172525e-08,6.341956293454132e-09
1963,6.078089853644997e-08,1.6165133231993423e-08
1964,5.658090529436777e-08,1.5818317322668918e-08
1965,6.840054567192055e-08,2.2435377999840966e-08
1966,9.028691749790596e-08,1.1078149952936656e-08
1967,7.691323844483122e-08,1.429797347185513e-08
1968,8.084548852593798e-08,1.7965662735264232e-08
1969,7.403065183098079e-08,1.2262746373892242e-08
1970,7.449934713577022e-08,1.241655755990223e-08
1971,5.909157252403929e-08,9.24911525146399e-09
1972,6.310080635785198e-08,1.2825367434743384e-08
1973,7.112032562872628e-08,1.0475087464101307e-08
1974,7.0882201441691e-08,7.313243344242437e-09
1975,7.310694627449266e-08,9.138368284311582e-09
1976,6.913367656125047e-08,1.4855169538918744e-08
1977,6.111853423362845e-08,1.7630345183761165e-08
1978,7.128709711423653e-08,1.7227714366185864e-08
1979,6.203092084433592e-08,1.287434159280565e-08
1980,5.855705254020904e-08,1.819248218737357e-08
1981,6.515315931210353e-08,1.5813874654213578e-08
1982,6.269577568218665e-08,9.932003663948308e-09
1983,6.252162876307921e-08,1.136756910824488e-08
1984,7.944641566837163e-08,1.8556827185989277e-08
1985,7.278825364664954e-08,1.3234227935754461e-08
1986,7.313272476494603e-08,3.5966913891627428e-09
1987,8.921792726823696e-08,1.711028652096047e-08
1988,8.635037573867521e-08,1.6190695006912392e-08
1989,7.244321409416443e-08,1.4269117443177493e-08
1990,9.589625449279993e-08,1.471135746555774e-08
1991,7.67851915384199e-08,8.7921980806982e-09
1992,7.548623415232214e-08,1.3774860363469088e-08
1993,1.0192141530751542e-07,1.550978012687665e-08
1994,8.492632019851953e-08,1.793475057354499e-08
1995,7.591431483433553e-08,1.6809597269684673e-08
1996,9.982232285210557e-08,1.7615704450690828e-08
1997,8.486963309906059e-08,1.102825741838842e-08
1998,8.487270264367908e-08,1.6688451509594415e-08
1999,9.368912401441776e-08,7.312321859131998e-09
2000,8.2617191310419e-08,7.95245647111642e-09
2001,9.200545036947005e-08,1.445799924226776e-08
2002,1.0208245981857544e-07,1.3581786362237835e-08
2003,9.167230530238157e-08,1.2917460878725251e-08
2004,1.1628648621808679e-07,9.690540814233373e-09
2005,8.737274015402363e-08,1.0358624180639708e-08
2006,1.0006472450641013e-07,1.070651389767363e-08
2007,1.0305757314199582e-07,1.2782334302130494e-08
2008,9.621813745752661e-08,1.4475294740634581e-08
2009,1.3684712030226365e-07,1.2397300963584712e-08
2010,1.1856720760761164e-07,1.1337103700270745e-08
2011,1.0554162344078577e-07,1.5678285336662157e-08
2012,1.331062833287433e-07,2.11063664323774e-08
2013,1.2969431395504216e-07,1.7850400269026068e-08
2014,1.4530137093515805e-07,2.1004817440939405e-08
2015,1.3454612712848757e-07,1.5959342292148904e-08
2016,1.346371050203743e-07,1.6570719907349485e-08
2017,1.2854773956405552e-07,1.6099912514278003e-08
2018,1.332036845269613e-07,1.4198066722315161e-08
2019,1.1836583269086987e-07,1.2499840273960672e-08
