year,aient_VERB en_PRON
1800,1.2576657937302116e-08
1801,7.143547975374531e-09
1802,4.475680270843441e-09
1803,7.801356893821776e-09
1804,1.2359254952798437e-08
1805,8.528632911009026e-09
1806,8.645007376628655e-09
1807,6.263301344233696e-08
1808,0.0
1809,6.7770917766551975e-09
1810,1.6380887757350138e-08
1811,7.521229861140455e-09
1812,5.3344164641089264e-09
1813,0.0
1814,9.440030979135372e-09
1815,1.0788894222457657e-08
1816,4.6352077731626196e-09
1817,7.784366928831332e-09
1818,1.0729059418679299e-08
1819,1.5526575580793178e-08
1820,1.3053129244156025e-08
1821,1.0847637454958203e-08
1822,1.2030739071633434e-08
1823,1.4824030003524058e-08
1824,2.6947560627377243e-08
1825,1.0566531649658373e-08
1826,1.4092774947016551e-08
1827,6.452091305675367e-09
1828,2.5682442839070063e-08
1829,2.5719527840806222e-08
1830,6.262101504006523e-09
1831,3.741889287312006e-08
1832,6.764984572527055e-09
1833,1.1583628278799551e-08
1834,1.5868701908061666e-08
1835,1.8907719834260206e-08
1836,6.72075017860152e-09
1837,1.1828414692161004e-08
1838,1.3255539776935166e-08
1839,1.11863602825224e-08
1840,8.280594876453051e-09
1841,1.6693427085101575e-08
1842,9.391571076378114e-09
1843,2.658109998776581e-08
1844,1.3721403568922597e-08
1845,1.8414752389617206e-08
1846,2.5759806732139623e-08
1847,4.314578916364553e-08
1848,1.126331028444838e-08
1849,4.608678239037545e-08
1850,2.2403686017469226e-08
1851,2.192809134271556e-08
1852,2.0833745395520964e-08
1853,1.970737528722566e-08
1854,1.558699302961486e-08
1855,7.960405667972736e-09
1856,1.65670055451983e-08
1857,1.0251168802710708e-08
1858,2.3489644007668176e-08
1859,5.092173349652285e-09
1860,1.327383358784573e-08
1861,1.7920662287451705e-08
1862,1.400575744270327e-08
1863,2.2475793670651e-08
1864,1.821996598039277e-08
1865,1.9298061815220535e-08
1866,1.556996132023869e-08
1867,2.232293283555009e-08
1868,1.778354707937524e-08
1869,2.2952539424636598e-08
1870,1.2614907340946502e-08
1871,1.1683295220166201e-08
1872,2.3584624031514068e-08
1873,1.7958013742713774e-08
1874,1.9716210886144836e-08
1875,2.460256709468922e-08
1876,2.1765654167893445e-08
1877,3.277952487223956e-08
1878,1.69094480639842e-08
1879,1.5273313280772527e-08
1880,1.9253539207397807e-08
1881,1.3945014920579979e-08
1882,9.983077475794744e-09
1883,2.9068958795619437e-08
1884,1.7164412113856997e-08
1885,1.8047780159236027e-08
1886,2.19417763958063e-08
1887,1.697520346510828e-08
1888,1.7119660356001987e-08
1889,1.2530273707511697e-08
1890,1.4419650362640368e-08
1891,2.2309770031370135e-08
1892,1.7551833764173352e-08
1893,1.847524977449666e-08
1894,2.079507943619774e-08
1895,1.3842813118003505e-08
1896,1.3563166589847242e-08
1897,1.4566784223291052e-08
1898,2.093591255913907e-08
1899,1.6582735185011188e-08
1900,7.786579381274805e-09
1901,1.1736351446245408e-08
1902,1.2275709337927765e-08
1903,1.7280704867062013e-08
1904,2.042357571951925e-08
1905,2.115911179600971e-08
1906,1.1317205839134203e-08
1907,1.7999951751335175e-08
1908,1.1296195090437777e-08
1909,1.4852655993990993e-08
1910,9.619471441624228e-09
1911,1.3832972989291648e-08
1912,1.3023552902780011e-08
1913,1.3257474229533273e-08
1914,1.6741859454327823e-08
1915,1.295883844676382e-08
1916,2.197492321442951e-08
1917,8.773139548168274e-09
1918,1.722956355365568e-08
1919,2.1178051312631396e-08
1920,3.028892692213958e-08
1921,1.5902768879527684e-08
