year,doivent_VERB oser_VERB,doivent_VERB causer_VERB
1800,0.0,2.829747991484055e-08
1801,0.0,2.6193008650921e-08
1802,0.0,1.4098392853156838e-07
1803,0.0,7.021220937986072e-08
1804,2.4718509461507665e-09,1.2853624298259092e-07
1805,0.0,5.970043304159844e-08
1806,5.76333825108577e-09,9.221341201737232e-08
1807,3.701041606518629e-08,5.693910232196231e-09
1808,0.0,6.345007363961486e-08
1809,0.0,5.6475762733043666e-08
1810,0.0,9.126494404654295e-08
1811,7.521229861140455e-09,9.27618373225414e-08
1812,0.0,3.467370746079723e-08
1813,0.0,5.7514832008109806e-08
1814,0.0,1.1328037885505182e-07
1815,0.0,3.776112933451259e-08
1816,0.0,2.3176038865813098e-08
1817,6.227493631882908e-09,5.4490570278176165e-08
1818,5.960588467246453e-09,8.464036227451288e-08
1819,8.280840013696888e-09,3.415846450138815e-08
1820,2.3732962262101864e-09,9.730514705097448e-08
1821,1.97229765852569e-09,5.423818549843418e-08
1822,2.0051231786055723e-09,5.81485721795616e-08
1823,9.882686891060644e-10,6.720227219148e-08
1824,4.210556348027694e-09,3.789500624407083e-08
1825,3.522177216552791e-09,4.138558296062911e-08
1826,2.642395191543301e-09,6.165588928297439e-08
1827,9.217273055917019e-10,3.594736597278825e-08
1828,1.8344602503717056e-09,3.66892045633449e-08
1829,8.57317605795771e-10,4.543783305166471e-08
1830,1.3567886369969528e-08,3.965997663613052e-08
1831,0.0,1.870944643656003e-08
1832,2.705993873419743e-09,2.4353944638733083e-08
1833,0.0,3.01174338801502e-08
1834,0.0,3.733812548034621e-08
1835,0.0,4.0840674842002045e-08
1836,3.36037508930076e-09,5.107770206791429e-08
1837,0.0,2.5744196108234974e-08
1838,1.8936485712828244e-09,2.7773513266993177e-08
1839,3.4957374772659477e-09,3.216078425793967e-08
1840,0.0,3.121147429396842e-08
1841,6.420548537278137e-10,2.3756030032018316e-08
1842,0.0,5.2324466537356784e-08
1843,2.953455480181333e-09,3.898561473647533e-08
1844,3.841992946007622e-09,4.665277231197251e-08
1845,0.0,2.6785095030845696e-08
1846,5.269050973311096e-09,3.1614305839866574e-08
1847,5.393223645455691e-10,2.8044762956369595e-08
1848,0.0,9.65426583121598e-09
1849,0.0,1.005529792763582e-08
1850,6.788996032014438e-10,1.3577992064028876e-08
1851,5.159551008659946e-09,2.5152811389261842e-08
1852,6.510545436100301e-10,1.6276363368206148e-08
1853,5.971931837933653e-10,2.6873692604567623e-08
1854,0.0,3.636965217879151e-08
1855,1.5920811335945473e-09,2.2819829581521844e-08
1856,1.0354378465748937e-09,5.487820686767009e-08
1857,0.0,2.880090299584026e-08
1858,4.893676019968041e-10,3.327699715782728e-08
1859,5.092173349652285e-10,2.1387128512628806e-08
1860,3.204028820036342e-09,2.746310379109218e-08
1861,3.3011746669586728e-09,3.159695793897299e-08
1862,4.517986262886353e-10,2.5300723294208183e-08
1863,4.994620828036034e-10,1.748117206545885e-08
1864,0.0,2.445311331200628e-08
1865,1.882737743486018e-09,1.2708479601997169e-08
1866,1.4596839292835284e-09,2.919367680931373e-08
1867,9.7056229719783e-10,3.154327288257264e-08
1868,0.0,3.2603168165223906e-08
1869,1.4650557433881772e-09,1.7580669364747337e-08
1870,0.0,1.3188312664169644e-08
1871,5.3105884134652115e-09,4.0360472297606975e-08
1872,1.8142017887967654e-09,1.2094679036067646e-08
1873,1.7958012854535355e-09,3.95076291681562e-08
1874,5.974609251779839e-09,1.7326366119618797e-08
1875,1.716458086775674e-09,1.3731664694205392e-08
1876,0.0,1.874264654588842e-08
1877,1.2369631985365004e-09,2.4739264858908427e-08
1878,5.435179861734696e-09,2.0532901601200138e-08
1879,0.0,1.9549840857280287e-08
1880,6.417846254436199e-10,1.7328185109022343e-08
1881,2.7890030285249168e-09,2.9284532132578533e-08
1882,0.0,1.7969540522244642e-08
1883,0.0,1.8958017378167824e-08
1884,1.9805090900604227e-09,9.902545450302114e-09
1885,1.933690763067375e-09,5.80107206715752e-09
1886,0.0,2.0651084398082276e-08
1887,0.0,7.834709769838355e-09
1888,0.0,1.7119660356001987e-08
1889,0.0,5.012109394186837e-09
1890,0.0,2.4906668727453507e-08
1891,0.0,1.466070642663908e-08
1892,0.0,2.005923960268774e-08
1893,0.0,3.0176241949675386e-08
1894,0.0,2.2685540557176864e-08
1895,0.0,3.009307292245467e-08
1896,4.1279202278587945e-09,9.435246361988447e-09
1897,0.0,1.3984112534615178e-08
1898,1.13167097914868e-09,1.9238406423482957e-08
1899,0.0,1.6582735185011188e-08
1900,0.0,1.453494924419374e-08
1901,1.1177477832191585e-09,1.2295225282343836e-08
1902,4.910283846193408e-10,1.0802624572647801e-08
1903,0.0,3.132127801563911e-08
1904,0.0,1.7198800605910947e-08
1905,0.0,1.5998352864698973e-08
1906,1.0288369045596824e-09,1.6975809202790515e-08
1907,0.0,2.0057088434555226e-08
1908,1.964555629285769e-09,2.504808449543816e-08
1909,0.0,1.4852655993990993e-08
1910,0.0,2.2445432179551972e-08
1911,0.0,1.5961122201701983e-08
1912,6.251305251225858e-09,9.376957876838787e-09
1913,0.0,1.2196876397752021e-08
1914,0.0,2.678697441638178e-08
1915,1.1780761921542648e-09,9.424609537234119e-09
1916,3.2962386153911893e-09,1.2086208478478966e-08
1917,0.0,2.0836205649743533e-08
1918,3.44591288836682e-09,1.033773866510046e-08
1919,0.0,1.012863304339362e-08
1920,0.0,6.057785384427916e-09
1921,7.572747429129834e-10,7.572747762196741e-09
1922,0.0,1.696925089333945e-08
1923,0.0,1.3800733000834953e-08
1924,0.0,1.1602462102189293e-08
1925,0.0,9.898360353588487e-09
1926,2.229227691330493e-09,7.802296586589819e-09
1927,1.1149224876660924e-09,1.1149224876660924e-09
1928,3.4278122562625413e-09,1.0283437212876834e-08
1929,1.1140406375176326e-09,1.3368487650211591e-08
1930,0.0,1.575540586884472e-08
1931,0.0,1.710803587684495e-08
1932,0.0,3.287861094491973e-09
1933,3.4411986593596566e-09,1.261772819560747e-08
1934,0.0,1.7972370258689807e-08
1935,1.196828414151696e-09,1.196828414151696e-08
1936,1.2124714565686645e-09,2.424942913137329e-08
1937,6.295559185076627e-09,1.3850230295986421e-08
1938,1.2965214457594243e-09,2.5930428915188486e-09
1939,0.0,9.176430282309411e-09
1940,0.0,7.607348528892999e-09
1941,0.0,2.066051862925633e-08
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,8.714016175304096e-09
1946,0.0,1.3921104269343232e-08
1947,0.0,1.4305045148432782e-08
1948,1.0871887834440486e-09,8.697510267552389e-09
1949,9.817008317369869e-10,1.7670615193310368e-08
1950,6.381216888229346e-09,5.317680518146517e-09
1951,1.0661401761424827e-09,8.529121409139861e-09
1952,0.0,4.2179215675730575e-09
1953,1.0773827385790469e-09,3.232148326759443e-09
1954,2.9317608341017376e-09,8.795282724349818e-09
1955,0.0,9.385607846468247e-09
1956,0.0,6.104799332717903e-09
1957,5.301022731885041e-09,4.417518795207798e-09
1958,8.272243445794913e-10,1.4062814024384807e-08
1959,7.750747821333448e-10,6.200598257066758e-09
1960,6.920833350854139e-10,1.591791587429725e-08
1961,0.0,8.33779090214648e-09
1962,0.0,3.170978146727066e-09
1963,1.2932106496776896e-09,1.5518526907953856e-08
1964,1.8251904432275978e-09,8.517555549758526e-09
1965,4.377634699181954e-09,1.094408652591028e-08
1966,1.6617224263271169e-09,8.862519607077957e-09
1967,3.944268467392931e-09,1.232583901611406e-08
1968,0.0,8.982831367632116e-09
1969,9.083515606356229e-10,9.083515273289322e-09
1970,9.197450023812337e-10,1.0117195081704722e-08
1971,2.0553589941130213e-09,9.762954888969944e-09
1972,5.130146973897354e-09,4.6171320100540925e-09
1973,1.102640756478479e-09,6.064523994098181e-09
1974,1.6876715580593782e-09,6.750686232237513e-09
1975,3.4268881066168433e-09,5.711480177694739e-09
1976,3.9994687561772935e-09,3.9994687561772935e-09
1977,2.938390863960194e-09,4.7014254711541525e-09
1978,5.940591352171509e-10,4.752473081737207e-09
1979,2.925986564150662e-09,6.437170796402825e-09
1980,6.822181042309694e-09,2.8425752862659692e-09
1981,3.1627747087981106e-09,9.488323904349727e-09
1982,6.207502289967692e-10,6.828252629986764e-09
1983,3.157658134966823e-09,7.57837881337764e-09
1984,1.739702604197646e-09,5.799008384599347e-09
1985,5.414002135495366e-09,6.617113967877231e-09
1986,1.7983456945813714e-09,4.7955883708539204e-09
1987,3.6664902225425067e-09,1.0388388815840699e-08
1988,1.1993107618124554e-09,4.197587610832443e-09
1989,4.390497743145261e-09,4.390497743145261e-09
1990,3.2691906959314565e-09,3.2691906959314565e-09
1991,5.861465202094962e-10,7.6199047072123e-09
1992,1.65298330578878e-09,1.1570882918476855e-08
1993,1.661762283333701e-09,1.3294098266669607e-08
1994,1.5824779264761446e-09,4.747434001473039e-09
1995,4.880205572987961e-09,2.7112254663563817e-09
1996,5.338092190498855e-10,6.939520069693117e-09
1997,1.438468344439059e-09,6.233362714880286e-09
1998,1.9072516899143466e-09,3.337690568372409e-09
1999,5.484241505371301e-09,8.226361813967742e-09
2000,5.743440834038438e-09,1.0161472552283612e-08
2001,3.943090742808408e-09,4.381211837767296e-09
2002,5.6955880012310445e-09,7.448076377869484e-09
2003,7.500461585152607e-09,7.91715315529018e-09
2004,6.166707589017051e-09,4.845270407116686e-09
