year,tout_ADV ouverts_ADJ,tout_ADV couverts_ADJ
1800,0.0,3.144164484325529e-09
1801,0.0,1.904946067554647e-08
1802,0.0,0.0
1803,2.145373123596528e-08,1.950339267864365e-08
1804,1.2359254952798437e-08,0.0
1805,8.528632911009026e-09,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,8.540865792383556e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,1.129515236897305e-08
1810,0.0,0.0
1811,0.0,7.521229861140455e-09
1812,0.0,0.0
1813,0.0,2.300593315851529e-08
1814,0.0,9.440030979135372e-09
1815,0.0,3.236668177919455e-08
1816,0.0,3.476405652236281e-08
1817,0.0,2.1796227045456362e-08
1818,0.0,2.384235475716423e-09
1819,7.24573512300708e-09,2.6912729822470283e-08
1820,1.1866481131050932e-08,1.779972080839798e-08
1821,0.0,2.9584463767662328e-09
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,3.9530747564242574e-09,1.9765373782121287e-09
1824,3.3684450784221553e-09,2.5263338088166165e-09
1825,2.641632912414593e-09,1.8491430608946757e-08
1826,3.5231937367541377e-09,0.0
1827,4.608636583469661e-09,1.8434546111834038e-09
1828,1.1006761724274838e-08,2.7516904310687096e-09
1829,0.0,9.430493719264632e-09
1830,0.0,1.0436835840010872e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,1.7588959622116818e-08
1833,0.0,3.4750886612755494e-09
1834,0.0,1.8669061851994684e-09
1835,0.0,6.050470346963266e-09
1836,1.3441500135158435e-09,8.064899859050456e-09
1837,6.957891152126194e-09,1.1132625488130543e-08
1838,2.5248647617104325e-09,2.5248647617104325e-09
1839,4.894032734625853e-09,2.0974426639952526e-09
1840,2.5478754661634184e-09,4.458782232319436e-09
1841,5.1364388298225094e-09,3.2102742686390684e-09
1842,9.391571076378114e-09,1.341653010911159e-09
1843,8.860366662588604e-09,4.7255288571079745e-09
1844,0.0,1.097712254427563e-09
1845,5.580227835366713e-09,0.0
1846,3.5127007969038004e-09,4.6836010625384006e-09
1847,5.393223645455691e-10,1.0786447290911383e-09
1848,0.0,0.0
1849,0.0,3.3517659758786067e-09
1850,6.788996032014438e-10,0.0
1851,6.449438760824933e-10,1.2898877521649865e-09
1852,6.510545436100301e-10,2.6042181744401205e-09
1853,2.388772735173461e-09,3.5831591027601917e-09
1854,3.63696517347023e-09,1.0391328908454511e-09
1855,3.1841622671890946e-09,3.714855978387277e-09
1856,1.0872097000458325e-08,1.5531567143511893e-09
1857,0.0,1.4644527812635033e-09
1858,9.297984604472731e-09,0.0
1859,3.055304009791371e-09,4.073738679721828e-09
1860,1.1900677776566226e-08,2.746310290291376e-09
1861,1.8863854922557266e-09,9.431927461278633e-10
1862,7.680577063240435e-09,3.6143890103090826e-09
1863,1.4983863039219614e-09,2.4973103585068657e-09
1864,1.4384183844029508e-09,4.794727948009836e-10
1865,7.530950973944073e-09,0.0
1866,1.9462451650298362e-09,0.0
1867,1.94112459439566e-09,4.85281148598915e-10
1868,2.9639244392143382e-09,2.9639244392143382e-09
1869,0.0,9.767038289254515e-10
1870,4.587239033071455e-09,3.4404292748035914e-09
1871,0.0,0.0
1872,3.0236697590169115e-09,0.0
1873,2.3944017879529156e-09,5.986004469882289e-10
1874,1.1949218281515073e-09,0.0
1875,4.005069165202713e-09,0.0
1876,2.418405919968336e-09,6.04601479992084e-10
1877,6.80329748092845e-09,6.80329748092845e-09
1878,2.4156354694326865e-09,2.4156354694326865e-09
1879,2.443730107160036e-09,6.10932526790009e-10
1880,6.417846254436199e-10,0.0
1881,6.972507571312292e-10,1.3945015142624584e-09
1882,1.9966155395678697e-09,6.655385131892899e-10
1883,2.5277355764075082e-09,1.2638677882037541e-09
1884,5.281357573494461e-09,1.3203393933736152e-09
1885,1.2891271383708158e-09,6.445635691854079e-10
1886,1.2906927748801422e-09,0.0
1887,7.834709769838355e-09,6.528924623161458e-10
1888,3.1703073499755874e-09,6.340614699951175e-10
1889,1.2530273485467092e-09,6.265136742733546e-10
1890,1.9663159989136147e-09,6.554386478008212e-10
1891,3.824531802365527e-09,0.0
1892,2.5074049503359674e-09,0.0
1893,2.463366621796581e-09,6.158416554491453e-10
1894,8.822155450616265e-09,1.2603078580752936e-09
1895,3.611168697403855e-09,6.018614495673091e-10
1896,1.179405795248556e-09,1.7691086373616827e-09
1897,5.826713556089658e-10,0.0
1898,5.6583548957434e-10,5.6583548957434e-10
1899,7.185851913504848e-09,1.6582735185011188e-09
1900,5.191053142894475e-10,0.0
1901,5.588738916095792e-10,1.1177477832191585e-09
1902,0.0,0.0
1903,1.6200660812870638e-09,1.6200660812870638e-09
1904,5.374625189347171e-10,5.374625189347171e-10
1905,5.160759042333041e-10,0.0
1906,5.144184522798412e-10,0.0
1907,2.5714217422034835e-09,5.142843373384665e-10
1908,1.964555629285769e-09,0.0
1909,2.7504918342913243e-09,5.500983557560346e-10
1910,5.344150677544235e-10,0.0
