year,tout_DET or_NOUN,tout_DET corps_NOUN
1800,9.432493452976587e-09,1.741867151849874e-06
1801,4.286128785224719e-08,1.0691509828575363e-06
1802,2.4616241489638924e-08,9.577955779604963e-07
1803,4.290746380419819e-08,1.8606236551477195e-06
1804,1.9774807569206132e-08,9.961559470639259e-07
1805,2.842877755426798e-08,1.0006929755945748e-06
1806,4.3225035994964855e-08,1.648314764679526e-06
1807,1.9928686256776018e-08,8.256169792275614e-07
1808,2.4926814390369145e-08,7.908598149697355e-07
1809,8.35841271751292e-08,1.6084296987628477e-06
1810,1.8721014516387413e-08,1.0249755177937914e-06
1811,4.512738271955641e-08,1.1156491268593527e-06
1812,1.8670456736202823e-08,1.3442729027701716e-06
1813,5.7514832008109806e-08,9.173615609370245e-07
1814,2.2026739543434815e-08,7.11149056087379e-07
1815,2.6972236000233352e-08,1.2515117191469471e-06
1816,3.476405829871965e-08,1.659404347265081e-06
1817,3.89218364205135e-08,1.3451386564611312e-06
1818,3.21871784780825e-08,1.2254970158664946e-06
1819,3.415846616672269e-08,1.1355101747767549e-06
1820,2.0173017922786585e-08,7.108022259671998e-07
1821,1.6764530097468366e-08,8.993677482749263e-07
1822,2.4061478143266868e-08,7.910210797490436e-07
1823,6.819054299000982e-08,9.764094812680923e-07
1824,1.7684337549894735e-08,1.27158804730243e-06
1825,7.132408930132783e-08,8.233089232589919e-07
1826,2.6423953580767545e-08,9.93540638205559e-07
1827,1.4747637222534138e-08,7.493643181533116e-07
1828,2.5682442839070063e-08,9.823534838915293e-07
1829,9.430493719264632e-09,1.0030615698042311e-06
1830,2.5048406016026092e-08,1.0499456806201124e-06
1831,7.951515157422762e-08,1.0851479288476185e-06
1832,1.0823975493678972e-08,1.078338570437154e-06
1833,4.865124036967927e-08,9.730247825245897e-07
1834,4.013848342587778e-08,1.1136095423580628e-06
1835,2.7227116561334697e-08,1.073202213319746e-06
1836,2.0834324654384062e-08,9.825736810853414e-07
1837,4.3834712526447106e-08,8.502542669930335e-07
1838,4.418513199766494e-08,8.956957771033558e-07
1839,1.1466019300687691e-07,9.501414695023414e-07
1840,3.7581163736533085e-08,1.086031943486887e-06
1841,3.467096254539115e-08,8.841095251455044e-07
1842,5.2324466537356784e-08,1.2443831849395792e-06
1843,3.3078700778510495e-08,1.0915971841995997e-06
