year,eut_VERB osé_VERB,eut_VERB causé_VERB
1800,9.746909768182377e-08,1.2576657937302116e-08
1801,7.143547975374531e-08,0.0
1802,8.280008501060365e-08,1.5664880947952042e-08
1803,2.9255089017965474e-08,5.851017448321727e-09
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,5.685755510853596e-08,5.685755422035754e-09
1806,4.610670600868616e-08,1.729001475325731e-08
1807,3.9857372513552036e-08,8.540865792383556e-09
1808,6.345007363961486e-08,1.5862518409903714e-08
1809,4.743964154840796e-08,2.259030518203531e-09
1810,1.8721014072298203e-08,2.106114038724627e-08
1811,2.2563691359778204e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,1.2586708564299443e-08,0.0
1815,1.0788894400093341e-07,0.0
1816,2.3176038865813098e-08,1.622322720606917e-08
1817,5.60474440192138e-08,6.227493631882908e-09
1818,2.384235386898581e-08,1.668964877410417e-08
1819,2.2772310259711048e-08,1.1386155129855524e-08
1820,9.01852530432734e-08,8.306536791735653e-09
1821,1.577838126820552e-08,1.676452932031225e-08
1822,1.0025615893027862e-08,2.3058916553964082e-08
1823,2.174191138237802e-08,5.929612356680991e-09
1824,7.747424035642325e-08,9.263223965660927e-09
1825,8.805442774928451e-08,2.0252519661312363e-08
1826,3.52319382557198e-08,4.051672775062798e-08
1827,1.7512819638909605e-08,1.3825909306319772e-08
1828,1.6510142586412258e-08,1.1006761724274838e-08
1829,2.2290258527846163e-08,1.3717081692732336e-08
1830,1.7742621594152297e-08,1.2524203008013046e-08
1831,2.0268567268999504e-08,0.0
1832,3.2471927369215337e-08,1.488296597074168e-08
1833,1.853380560135065e-08,1.7375443306377747e-08
1834,3.733812548034621e-08,5.600718555598405e-09
1835,2.7983425354705105e-08,5.294161553592858e-09
1836,2.688300071440608e-08,2.352262562510532e-08
1837,1.6698937344017395e-08,1.948209416013924e-08
1838,3.66105403770689e-08,6.943378316748294e-09
1839,2.307186797168015e-08,1.0487212875887053e-08
1840,2.6115722917552375e-08,2.356784811752277e-08
1841,3.146068650039524e-08,5.778493683550323e-09
1842,3.4882980060046975e-08,1.8783142152756227e-08
1843,2.008349753168659e-08,1.8311423488626133e-08
1844,2.360081374774836e-08,1.920996517412732e-08
1845,2.287893430263921e-08,8.928364714222425e-09
1846,2.4003455223464698e-08,1.6392604607062822e-08
1847,2.2651539310913904e-08,1.294373674909366e-08
1848,2.172209789819135e-08,1.206783295515379e-08
1849,1.508294644736452e-08,8.379414495607307e-09
1850,2.5798184921654865e-08,1.2899092460827433e-08
1851,1.6768540334055615e-08,3.8696632564949596e-09
1852,3.2552727180501506e-09,5.859490670445666e-09
1853,1.3138249599364826e-08,8.957897534855874e-09
1854,1.610655964157104e-08,1.506742641765868e-08
1855,1.8574279891936385e-08,1.8043586180738203e-08
1856,1.2425253714809514e-08,1.8120163147727908e-08
1857,2.4407546206361985e-08,4.881508974818871e-09
1858,2.4468379322684086e-08,1.7127865348243176e-08
1859,4.226503946824778e-08,9.675129142294736e-09
1860,3.112485202905191e-08,5.492620580582752e-09
1861,3.206855225812433e-08,1.3204698667834691e-08
1862,1.671654992208005e-08,9.035972858839614e-09
1863,1.5982786649715308e-08,2.447364266799923e-08
1864,2.1576274988888144e-08,1.0068928801842958e-08
1865,1.3649848362717876e-08,8.47231973466478e-09
1866,2.7247432754506917e-08,1.0217787504984699e-08
1867,1.2132028714972876e-08,1.0190904120577216e-08
1868,2.420538258718352e-08,1.4819621974027086e-08
1869,1.4162205630441349e-08,1.0255390314739543e-08
1870,1.7202147262196377e-08,1.0321287824410774e-08
1871,2.0180236148803488e-08,1.1683295220166201e-08
1872,1.6327815544059376e-08,4.23313739617015e-09
1873,5.028243776905583e-08,2.3944017879529156e-09
1874,1.7326366119618797e-08,1.7923827755339516e-08
1875,2.0597497041308088e-08,1.0870901512305409e-08
1876,1.0882827083946722e-08,4.232210137899983e-09
1877,8.658742167710898e-09,8.658742167710898e-09
1878,2.536417298415472e-08,1.0870359723469392e-08
1879,2.1382637882538802e-08,5.498392852132383e-09
1880,2.8238524407697696e-08,1.8611753915820373e-08
1881,1.045876096839038e-08,4.183504653809678e-09
1882,1.6638463051776853e-08,2.6621540527571597e-09
1883,2.0221884611260066e-08,5.687405213450347e-09
1884,2.6406787867472303e-08,6.601696966868076e-09
1885,1.6758653131887513e-08,7.7347630522695e-09
1886,2.3877817056927597e-08,1.0325542199041138e-08
1887,1.1099172247952538e-08,1.2404957061562527e-08
1888,9.510921827882157e-09,7.60873763994141e-09
1889,1.566284169030041e-08,8.771191772893872e-09
1890,1.1142456735058204e-08,5.898947996740844e-09
1891,1.0198752065093686e-08,5.736798147637501e-09
1892,1.3790726782758611e-08,5.014809900671935e-09
1893,1.1700991287000306e-08,3.695050043717174e-09
1894,2.835692747282792e-08,9.452309157609307e-09
1895,1.0833506536300774e-08,8.426059849853118e-09
1896,1.533227589334274e-08,5.897029087265082e-09
1897,1.2236098356765979e-08,9.322741689743452e-09
1898,1.3014216371232123e-08,1.3014216371232123e-08
1899,1.326618814800895e-08,7.185851913504848e-09
1900,1.142031713641245e-08,5.710158568206225e-09
1901,1.2854099118442264e-08,1.3412973842719111e-08
1902,3.928227076954727e-09,6.874397495693074e-09
1903,1.1340462791054051e-08,3.2401321625741275e-09
1904,1.8811189050893518e-08,1.289910045443321e-08
1905,2.0643035725242953e-08,1.0837593933388234e-08
1906,6.173021205313489e-09,8.745113966313056e-09
1907,1.131425531042396e-08,7.71426478252124e-09
1908,1.1296195090437777e-08,8.349361202419914e-09
1909,1.320236009405562e-08,8.801573692096554e-09
1910,2.1911017000775246e-08,5.878565634276356e-09
1911,1.1172785363555704e-08,1.2236860413850081e-08
1912,1.1460726589973547e-08,1.1981668990301841e-08
1913,4.242391771214216e-09,6.363587878865928e-09
1914,6.696743604095445e-09,9.37544086809794e-09
1915,9.424609537234119e-09,2.9451904026700504e-08
1916,1.3184954461564757e-08,2.0876177231343718e-08
1917,2.0836205649743533e-08,5.483212106582869e-09
1918,1.4932290071101306e-08,3.44591288836682e-09
1919,2.301962176431971e-08,1.012863304339362e-08
1920,1.1358347151713133e-08,9.086678076641874e-09
1921,9.087297137000405e-09,3.7863738810983705e-09
1922,1.8444838545406128e-08,4.426761179843197e-09
1923,2.0170300985000722e-08,1.0615948120573648e-08
1924,2.1915761649893284e-08,1.1602462102189293e-08
1925,8.798542339150117e-09,1.3197813508725176e-08
1926,1.3375366592072169e-08,4.458455382660986e-09
1927,1.3379070296082318e-08,1.2264147031260109e-08
1928,9.14083297942625e-09,2.0566874425753667e-08
1929,7.798284684668033e-09,6.684243825105796e-09
1930,7.352522590764465e-09,0.0
1931,1.3686427990933225e-08,6.843213995466613e-09
1932,6.575722188983946e-09,4.383814644626227e-09
1933,8.02946331646126e-09,6.882397318719313e-09
1934,1.3179738189705859e-08,2.3963160344919743e-09
1935,3.590485242455088e-09,3.590485242455088e-09
1936,1.9399543305098632e-08,7.274828739411987e-09
1937,2.1404900962807005e-08,1.1332006444320086e-08
