year,petit_ADJ art_NOUN
1800,6.288328657788611e-08
1801,1.6668277424969347e-08
1802,1.1189200677108602e-08
1803,4.095712213825209e-08
1804,2.4718509905596875e-08
1805,3.980028751016107e-08
1806,0.0
1807,1.4234775136401367e-08
1808,2.039466551195801e-08
1809,3.840352036377226e-08
1810,7.020380277111826e-09
1811,3.760615285841595e-08
1812,3.7340914360584065e-08
1813,2.013019195779009e-08
1814,2.2026739543434815e-08
1815,2.6972236000233352e-08
1816,0.0
1817,4.670620334934483e-09
1818,3.4571415286066554e-08
1819,1.2421260464634543e-08
1820,5.933240565525466e-09
1821,2.465372084259343e-08
1822,2.4061478143266868e-08
1823,1.087095569118901e-08
1824,8.421112696055388e-09
1825,1.144707639788578e-08
1826,1.0569580766173203e-08
1827,1.566936447261469e-08
1828,2.2930752408001354e-08
1829,2.0575622650120806e-08
1830,1.0436835840010872e-09
1831,3.1182412207897414e-09
1832,2.0294953273491956e-08
1833,1.9692167896323554e-08
1834,6.534171426153534e-09
1835,2.4958190181223472e-08
1836,8.736974699274924e-09
1837,8.349468672008697e-09
1838,1.3886756633496589e-08
1839,1.11863602825224e-08
1840,1.0191501864653674e-08
1841,6.420548537278137e-09
1842,6.708265054555795e-10
1843,1.358589563071888e-08
1844,2.140538946093784e-08
1845,7.812318791877715e-09
1846,1.1709002656346001e-09
1847,5.3932236454556914e-09
1848,1.609044403272364e-08
1849,1.6758829879393033e-09
1850,8.146795238417326e-09
1851,1.2898877521649865e-09
1852,3.906327261660181e-09
1853,2.6873693936835252e-08
1854,1.506742686174789e-08
1855,1.6982198758341838e-08
1856,3.5204886728035234e-08
1857,2.1966791052818735e-08
1858,1.468102794888182e-08
1859,2.7497735644033128e-08
1860,2.8378540406492903e-08
1861,2.263662679524714e-08
1862,2.304173052358749e-08
1863,1.448440001272644e-08
1864,3.691940475558653e-08
1865,4.706844425328427e-08
1866,2.530118803356629e-08
1867,4.173418055586353e-08
1868,2.0253483223875435e-08
1869,3.4672985371742016e-08
1870,3.1537267464187835e-08
1871,2.230447138096281e-08
1872,2.53988243770209e-08
1873,2.0951015311521104e-08
1874,5.3174020908652864e-08
1875,4.634436967521083e-08
1876,1.5054576962825195e-07
1877,3.401648751566455e-08
1878,5.3747890527144904e-08
1879,4.1543410711497586e-08
1880,4.620849325398524e-08
1881,3.974329437772539e-08
1882,3.593907815790942e-08
1883,4.99227781891598e-08
1884,2.6406787867472303e-08
1885,2.964992407150646e-08
1886,2.2587124282047455e-08
1887,4.1132226735740574e-08
1888,3.23371354138402e-08
1889,2.0674951528576457e-08
1890,1.0487018642368895e-08
1891,2.2947192146460793e-08
1892,1.2537024529635232e-08
1893,1.23168328869383e-08
1894,3.213785193523222e-08
1895,2.106515073485582e-08
1896,1.2383760572554081e-08
1897,2.913356778044829e-08
1898,2.7160104165702137e-08
1899,1.326618814800895e-08
1900,2.5955264937316258e-08
1901,2.1237207714630557e-08
1902,2.1605249256317904e-08
1903,2.5381035939631147e-08
1904,2.2573424907079698e-08
1905,1.5998353308788182e-08
1906,2.2634412566446827e-08
1907,1.3885677219160897e-08
1908,2.013669497813453e-08
1909,1.3752459060434319e-08
1910,1.870452726038252e-08
1911,7.980560989828689e-09
1912,1.9795801164956828e-08
1913,2.75755464018701e-08
1914,1.808120764223986e-08
1915,1.7671142660269368e-08
1916,1.3184954461564757e-08
1917,2.1932848426331475e-08
1918,1.1486376294556067e-08
1919,1.1970203273037328e-08
1920,1.2872793941909322e-08
1921,1.0601846234248313e-08
1922,1.3280284150152255e-08
1923,6.369568872344189e-09
1924,3.351822430719409e-08
1925,2.3096174084358267e-08
1926,4.01260994431496e-08
1927,3.01029075000514e-08
1928,1.942427008128078e-08
1929,2.6736974856333973e-08
1930,5.2518018822667045e-09
1931,2.0529641986399838e-08
1932,6.575722188983946e-09
1933,3.555905370156154e-08
1934,1.0783422155213884e-08
1935,3.8298508364675854e-08
1936,2.0612015205756506e-08
1937,2.8959571851672194e-08
1938,1.037217134403079e-08
1939,1.988226561167039e-08
1940,1.0143131667916805e-08
1941,2.066051862925633e-08
1942,2.730790527039062e-08
1943,2.9032352522051497e-08
1944,2.2492303131116387e-08
1945,1.5249528306782167e-08
1946,1.3921104269343232e-08
1947,1.1920871401116528e-08
1948,2.0656586885436923e-08
1949,1.0798709260129158e-08
1950,7.444753036267571e-09
1951,9.595261474260042e-09
1952,9.49032352703938e-09
1953,7.54167928107563e-09
1954,2.736310134032749e-08
1955,1.595553333899602e-08
1956,1.4825940697349438e-08
1957,4.4175189062301e-09
1958,6.617794756635931e-09
1959,1.7826719878044628e-08
1960,1.0381249748725452e-08
1961,3.335116405267513e-08
1962,1.5220695148698837e-08
1963,9.69907976156037e-09
1964,1.0342745937474973e-08
1965,1.1491291473930687e-08
1966,1.7725039436200518e-08
1967,1.2818872185960117e-08
1968,1.706738020357257e-08
1969,1.7258679291254353e-08
1970,6.898087712148282e-09
1971,3.1344224216134364e-08
1972,3.950213012249293e-08
1973,1.3783009789047895e-08
1974,7.875800289713908e-09
1975,1.4278700888326057e-08
1976,1.8283285663223126e-08
1977,1.116588538296881e-08
1978,8.910887250301869e-09
1979,6.43717057435822e-09
1980,1.7055451828618118e-08
1981,1.644642960707543e-08
1982,6.207502289967692e-09
1983,8.209910862255754e-09
1984,1.6237224120807525e-08
1985,1.8046673599947383e-08
1986,1.1988971038157104e-08
1987,1.0999470334560613e-08
1988,1.1993107784658008e-08
1989,9.329807371116772e-09
1990,8.717841726291198e-09
1991,8.20605139395525e-09
1992,1.2672871863017576e-08
1993,9.970573311424147e-09
1994,2.004472143823932e-08
1995,1.735184240736487e-08
1996,1.1209993155958387e-08
1997,2.3015494066136455e-08
1998,1.0013071150005715e-08
1999,1.0511462422702067e-08
2000,2.0322944327411108e-08
2001,1.3143635679835342e-08
2002,1.2705542173918616e-08
2003,1.5417615240043148e-08
2004,1.3214374039449694e-08
2005,1.3961623857028371e-08
2006,1.0294724850368198e-08
2007,1.47795736760159e-08
2008,5.534671554396908e-09
2009,9.53638501499654e-09
2010,1.3698999934419476e-08
2011,3.0591775501687124e-09
2012,6.468080210320082e-09
2013,4.7415126269712005e-09
2014,8.01214718182397e-09
2015,1.0417904455772842e-08
2016,1.284230832787614e-08
2017,6.037467220609827e-09
2018,7.486253561506118e-09
2019,6.12237061048404e-09
