year,soient_VERB en_ADP
1800,3.1787501897362347e-06
1801,3.3503238618948217e-06
1802,3.430608842336369e-06
1803,3.2609671478667224e-06
1804,2.8475723947707365e-06
1805,2.5557470584303132e-06
1806,3.4176596273027826e-06
1807,2.96937425048327e-06
1808,2.773674576239671e-06
1809,2.9096311939813546e-06
1810,2.9462195918483758e-06
1811,2.9633648495064335e-06
1812,2.7178852128884046e-06
1813,2.5335284519201196e-06
1814,2.4386747980997825e-06
1815,3.0235876371520476e-06
1816,3.091683622002961e-06
1817,2.473871809627326e-06
1818,2.696570364335571e-06
1819,2.8216962437710436e-06
1820,2.6355454494364494e-06
1821,2.7099368864469398e-06
1822,2.828226286055724e-06
1823,2.2443582352593694e-06
1824,2.6829665848993045e-06
1825,2.500745744704602e-06
1826,2.6556073038364048e-06
1827,2.7651819420881907e-06
1828,2.584754600576389e-06
1829,2.5728101551436566e-06
1830,2.853431025684472e-06
1831,2.4852382907170067e-06
1832,2.6748749091254354e-06
1833,2.5877826992370956e-06
1834,2.3933737907100294e-06
1835,2.5230460849456904e-06
1836,2.549180422306563e-06
1837,2.683658518520815e-06
1838,2.5804117118610748e-06
1839,2.413457323768853e-06
1840,2.45105622020958e-06
1841,2.4642065632463073e-06
1842,2.5149286315695463e-06
1843,2.5393810973994846e-06
1844,2.5302266468685275e-06
1845,2.430747294113189e-06
1846,2.399760150595398e-06
1847,2.394591209764485e-06
1848,2.433679650692966e-06
1849,2.080608833665565e-06
1850,2.1616162522164473e-06
1851,2.2102226004960812e-06
1852,2.268925047843595e-06
1853,2.4783517353910156e-06
1854,2.4409230547917105e-06
1855,2.194418598833181e-06
1856,2.3452666617629347e-06
1857,2.0829399609567645e-06
1858,2.3166661229367946e-06
1859,2.144314198204711e-06
1860,2.107793203975916e-06
1861,2.3395896029398955e-06
1862,2.358840514915528e-06
1863,2.31650513171644e-06
1864,2.306264029527938e-06
1865,2.191977429788494e-06
1866,2.133084727518053e-06
1867,2.192500151210197e-06
