year,veut_VERB ouvrir_VERB,veut_VERB couvrir_VERB
1800,8.489244152087849e-08,4.087413785214267e-08
1801,2.0716288418043405e-07,1.0000967165524344e-07
1802,1.0517848636482086e-07,5.370816325012129e-08
1803,3.1205427575287104e-08,8.386458461018265e-08
1804,1.1370514130248921e-07,7.415552971679062e-08
1805,1.6772978028711805e-07,6.822906328807221e-08
1806,7.780506905419315e-08,8.645007198992971e-08
1807,8.54086508184082e-08,6.832692633906845e-08
1808,1.0423940466353088e-07,6.118399653587403e-08
1809,1.6716825257390155e-07,1.197286110254936e-07
1810,7.722418615685456e-08,5.616304221689461e-08
1811,4.763445815569867e-08,3.5099073869560016e-08
1812,5.867858021701977e-08,3.7340914360584065e-08
1813,5.7514832008109806e-08,6.901780125190271e-08
1814,1.541871768040437e-07,5.97868634599763e-08
1815,1.4565007688815967e-07,2.4275012222574333e-08
1816,8.57513455798653e-08,2.7811246638975717e-08
1817,4.981994905506326e-08,9.65261524044081e-08
1818,9.775365583664097e-08,6.437435473571895e-08
1819,7.970308502081025e-08,1.2317749220613905e-07
1820,1.3053129066520341e-07,4.9839222526770754e-08
1821,1.2918549430196435e-07,5.0293590514449704e-08
1822,1.513867999847207e-07,1.31335568198665e-07
1823,9.190898708766326e-08,5.237824218795595e-08
1824,1.4063257935958973e-07,5.221089782736499e-08
1825,8.893497494000258e-08,1.1623184636988526e-07
1826,7.398706713956926e-08,6.870227764466108e-08
1827,1.2627664602860023e-07,1.0784209703018632e-07
1828,1.1098484264948638e-07,9.080578422526742e-08
1829,1.1659519572049248e-07,5.3153690893203986e-08
1830,1.0123730476152559e-07,7.410153557430021e-08
1831,1.3564348932959547e-07,4.5214498811674275e-08
1832,9.065079353831607e-08,8.388581129725736e-08
1833,1.158362863407092e-07,9.961920532930435e-08
1834,7.467625096069241e-08,4.7606106390318814e-08
1835,1.3084141414765327e-07,4.689114518896531e-08
1836,8.132107609526429e-08,3.5619976301859424e-08
1837,7.51452233771488e-08,6.401259611266141e-08
1838,7.827080850120183e-08,5.617824117010173e-08
1839,1.2444826325008762e-07,6.781731087812659e-08
1840,1.1911318154034234e-07,5.477932346620307e-08
1841,1.155698754473633e-07,9.438206083345335e-08
1842,1.2209042665745073e-07,6.507016792056675e-08
1843,8.269675788596942e-08,4.371114231682682e-08
1844,1.4928886571397015e-07,5.2690189988879865e-08
1845,1.0490828827869336e-07,5.636030309119633e-08
1846,1.0889372248357176e-07,4.156696009616212e-08
1847,9.384208965457219e-08,3.937053350000497e-08
1848,9.332457295840868e-08,2.735375304041554e-08
1849,1.4915359258793615e-07,2.9327951622803994e-08
1850,1.6293590476834652e-07,4.8880772318682375e-08
1851,1.554314792429068e-07,4.708090317606661e-08
1852,1.3932567810570617e-07,4.2318543780339724e-08
1853,1.3854881331099023e-07,4.060913738612726e-08
1854,8.93654288347534e-08,3.013485283531736e-08
1855,9.870903028286193e-08,3.714855978387277e-08
1856,1.289120064029703e-07,5.643136091748602e-08
1857,1.147154620184665e-07,4.6862489000432106e-08
1858,1.1402265442939097e-07,5.04048642824273e-08
