year,étant_VERB ouverts_ADJ,étant_VERB couverts_ADJ
1800,0.0,9.432493897065797e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,0.0,2.259030518203531e-09
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,0.0,3.760615285841595e-08
1812,0.0,1.8670457180292033e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,0.0,1.71256075987003e-08
1818,0.0,0.0
1819,0.0,3.1053151161586356e-09
1820,0.0,1.1866481131050932e-08
1821,0.0,4.930744257336528e-09
1822,0.0,4.010246357211145e-09
1823,0.0,2.9648061783404955e-09
1824,0.0,2.5263338088166165e-09
1825,8.805443041381977e-10,5.283265824829186e-09
1826,0.0,4.403992281964975e-09
1827,2.7651818612639545e-09,1.8434546111834038e-09
1828,0.0,9.172301251858528e-10
1829,0.0,1.971830521085849e-08
1830,0.0,6.262101504006523e-09
1831,0.0,1.870944643656003e-08
1832,0.0,0.0
1833,0.0,1.50587169400751e-08
1834,0.0,9.334530925997342e-10
1835,0.0,9.832014313815307e-09
1836,0.0,6.048674894287842e-09
1837,2.7831563720326358e-09,3.478945576063097e-09
1838,0.0,6.312161904276081e-09
1839,0.0,1.3982950353153e-09
1840,1.9109065441114126e-09,3.1848443882154243e-09
1841,0.0,5.778493683550323e-09
1842,0.0,6.037438549100216e-09
1843,0.0,2.3627644285539873e-09
1844,0.0,1.2623690537338916e-08
1845,5.580227946389016e-10,1.0044410636567136e-08
1846,0.0,2.9272506640865004e-09
1847,0.0,8.629157832729106e-09
1848,0.0,1.206783295515379e-08
1849,0.0,2.513824481908955e-09
1850,0.0,4.752297222410107e-09
1851,0.0,3.8696632564949596e-09
1852,6.510545436100301e-10,5.859490670445666e-09
1853,0.0,2.9859659189668264e-09
1854,0.0,4.676098175337984e-09
1855,0.0,1.5920811335945473e-09
1856,5.177189232874468e-10,5.694908100650764e-09
1857,0.0,2.9289055625270066e-09
1858,4.893676019968041e-10,9.787352039936081e-10
1859,0.0,6.619825576592575e-09
1860,0.0,4.119465657481669e-09
1861,0.0,4.2443675241088386e-09
1862,0.0,2.710791813242963e-09
1863,4.994620828036034e-10,1.2986014041871385e-08
1864,0.0,1.2466292886870178e-08
