year,ont_VERB ôté_VERB,ont_VERB oté_VERB,ont_VERB coté_VERB
1800,1.5091990235305275e-07,2.2009151834367913e-08,6.288328968651058e-09
1801,2.28593535211985e-07,0.0,0.0
1802,2.0140561218795483e-07,2.2378401354217203e-09,4.475680270843441e-09
1803,2.515937467251206e-07,0.0,2.7304748684287006e-08
1804,3.1392505661642645e-07,4.943701892301533e-09,0.0
1805,2.0184431548386783e-07,8.528632911009026e-09,0.0
1806,1.7001848107156547e-07,5.76333825108577e-09,0.0
1807,2.1636859059981361e-07,0.0,0.0
1808,1.0877155176558517e-07,0.0,0.0
1809,2.6882463544097845e-07,0.0,0.0
1810,1.4040760731859336e-07,1.6380887757350138e-08,0.0
1811,6.769107585569145e-08,5.0141535368197765e-09,7.521229861140455e-09
1812,1.6536691305191198e-07,0.0,0.0
1813,1.8979895344273245e-07,0.0,0.0
1814,3.492811515570793e-07,3.1466771410748606e-09,0.0
1815,2.88602933551374e-07,0.0,2.697223555614414e-09
1816,2.595716352971067e-07,1.8540831092650478e-08,0.0
1817,3.0981780696492933e-07,6.227493631882908e-09,0.0
1818,3.2187179499487684e-07,1.1921177378582115e-09,0.0
1819,3.446899654591107e-07,8.280840013696888e-09,1.035105001712111e-09
1820,3.287015317710029e-07,3.5599443393152796e-09,0.0
1821,1.962436186886407e-07,2.9584463767662328e-09,0.0
1822,2.0051231786055723e-07,2.0051231786055723e-09,1.0025615893027862e-09
1823,1.5812298670425662e-07,1.9765373782121287e-09,9.882686891060644e-10
1824,1.7263280938095704e-07,2.5263338088166165e-09,0.0
1825,2.0076410578440118e-07,1.7610886082763955e-09,5.283265824829186e-09
1826,2.078684246953344e-07,8.807984341885344e-10,0.0
1827,1.6683264902894734e-07,9.217273055917019e-10,9.217273055917019e-10
1828,2.2288692491656548e-07,1.8344602503717056e-09,0.0
1829,1.6889157450350467e-07,0.0,0.0
1830,2.0143093593105732e-07,3.1310507520032616e-09,1.0436835840010872e-09
