year,seraient_VERB en_ADP
1800,6.822837121944758e-07
1801,7.857902346586343e-07
1802,7.877197276684456e-07
1803,5.519460160030576e-07
1804,6.995338139859086e-07
1805,4.5201755938251154e-07
1806,7.002456072768837e-07
1807,1.1814863682957366e-06
1808,6.073078111512586e-07
1809,8.335822485605604e-07
1810,1.0390162969997618e-06
1811,9.426608471585496e-07
1812,8.695099040778587e-07
1813,9.432432648281974e-07
1814,9.345631042378955e-07
1815,1.0006699540099362e-06
1816,7.763973144392367e-07
1817,8.204722803384357e-07
1818,1.049063598657085e-06
1819,9.854200015979586e-07
1820,1.030010594149644e-06
1821,9.86148847914592e-07
1822,1.2582147519424325e-06
1823,1.1908638271052041e-06
1824,1.0105335377375013e-06
1825,1.0522504680920974e-06
1826,1.1459187589935027e-06
1827,1.3346611922315788e-06
1828,1.2685292176684015e-06
1829,1.2731165952573065e-06
1830,1.3171286354918266e-06
1831,1.1241260153838084e-06
1832,1.2176972177257994e-06
1833,1.6159161759787821e-06
1834,1.3637749134431942e-06
1835,1.2993384643777972e-06
1836,1.3004651009396184e-06
1837,1.4020150729265879e-06
1838,1.3261852700452437e-06
1839,1.4814935411777697e-06
1840,1.4185296777213807e-06
1841,1.4035318827154697e-06
1842,1.5643673805243452e-06
1843,1.4152958556223894e-06
1844,1.453919935556769e-06
1845,1.5591157307426329e-06
1846,1.3933713489677757e-06
1847,1.5349114619311877e-06
1848,1.795693492567807e-06
1849,1.4002002899360377e-06
1850,1.4073589227336925e-06
1851,1.3943686099082697e-06
1852,1.369167648590519e-06
1853,1.1460136875030003e-06
1854,1.237087758454436e-06
1855,9.99296275949746e-07
1856,1.1162020427946118e-06
1857,1.2457611546778935e-06
1858,1.1089069857916911e-06
1859,1.2542022886918858e-06
1860,1.1951027545364923e-06
1861,1.2714237982436316e-06
1862,1.296662048844155e-06
1863,1.2246810001670383e-06
1864,1.1392273790988838e-06
1865,1.17153354040056e-06
1866,1.1609351986408e-06
1867,1.0889708619288285e-06
1868,1.3228982425061986e-06
1869,1.1632542964434833e-06
1870,1.2247928680153564e-06
1871,1.386063672725868e-06
1872,1.2663128927670186e-06
1873,1.1199814480278292e-06
1874,1.1877523320436012e-06
1875,1.193510570374201e-06
1876,1.2218995379953412e-06
1877,1.1689302255035727e-06
1878,1.1130040320495027e-06
1879,1.14977501652902e-06
1880,1.3111659882270033e-06
1881,1.211124526889762e-06
1882,1.2212631190777756e-06
1883,1.171605390482e-06
1884,1.2265952591405949e-06
1885,1.2568989404826425e-06
1886,1.1893733926626737e-06
1887,1.2091568351024762e-06
1888,1.2789020047421218e-06
1889,1.2129304423069698e-06
1890,1.2781054010702064e-06
1891,1.23468646506808e-06
1892,1.2192256235721288e-06
1893,1.2951149983564392e-06
1894,1.116002636081248e-06
1895,1.200111682919669e-06
1896,1.3822635764881852e-06
1897,1.2224445526953787e-06
1898,1.1763719385271543e-06
1899,1.1497363630041946e-06
1900,1.161757722911716e-06
1901,1.207167656502861e-06
1902,1.1259280654485337e-06
1903,1.3111734915582929e-06
1904,1.2560499271785375e-06
1905,1.2602573633557768e-06
1906,1.3086805665807333e-06
1907,1.3772535112366313e-06
1908,1.322637103839952e-06
1909,1.225619143951917e-06
