year,étaient_VERB en_PRON,etaient_VERB en_PRON
1951,1.0021717855579482e-07,2.1322803522849654e-09
1952,1.3075556637431873e-07,2.1089607837865287e-09
1953,1.1743471617364776e-07,0.0
1954,1.1531592747360264e-07,0.0
1955,1.1638153551984942e-07,9.385607846468247e-10
1956,1.2994500764307304e-07,0.0
1957,1.5726367053048307e-07,0.0
1958,1.249108692036316e-07,0.0
1959,1.2013659045351233e-07,7.750747821333448e-10
1960,1.1211749750827948e-07,2.7683333403416555e-09
1961,1.1950834277740796e-07,0.0
1962,1.6489086362980743e-07,1.2683912808952869e-09
1963,1.2350162137408915e-07,0.0
1964,1.3688928390820365e-07,1.8251904432275978e-09
1965,1.4063151354548609e-07,0.0
1966,1.4124640301815816e-07,5.539074754423723e-10
1967,1.311469333131754e-07,1.4791006197611978e-09
1968,1.8908860965893837e-07,8.982831700699023e-10
1969,1.4533624437262915e-07,4.5417578031781147e-10
1970,1.5129805319702427e-07,4.5987250119061684e-10
1971,1.5106888895388693e-07,1.0276794970565106e-09
1972,1.6980786199383147e-07,2.0520587451500205e-09
1973,1.8965421588745812e-07,1.102640756478479e-09
1974,1.7214249226071843e-07,0.0
1975,1.7534243568206875e-07,1.1422960355389478e-09
1976,1.7254851059078646e-07,1.142705374768127e-09
1977,1.7865416168660886e-07,2.938390863960194e-09
1978,2.0613852313999814e-07,4.752473081737207e-09
1979,1.6795164015093178e-07,1.7555920051037788e-09
1980,1.671434262107141e-07,5.685150683554241e-10
1981,1.8344093177802279e-07,0.0
1982,1.9615707458342513e-07,1.8622506869903077e-09
1983,2.1535227290314651e-07,1.89459470334441e-09
1984,2.2616133321662346e-07,1.739702604197646e-09
1985,2.1234919245216588e-07,6.015558051686298e-10
1986,1.966191263136352e-07,2.3977941854269602e-09
1987,2.1387859305832535e-07,6.110816852533674e-10
1988,1.8949110369703703e-07,5.996553809062277e-10
1989,1.9702358144968457e-07,1.0976244357863152e-09
1990,2.3538171944892383e-07,2.179460389939436e-09
1991,2.2859714476908266e-07,0.0
1992,2.3307063656829996e-07,1.1019888335184191e-09
1993,2.0384283061503083e-07,1.661762283333701e-09
1994,1.9569978348954464e-07,1.5824779264761446e-09
1995,2.179825173698191e-07,2.1689803286761844e-09
1996,2.3807891125215974e-07,1.067618438099771e-09
1997,2.272779937584346e-07,6.7128524960935465e-09
1998,2.43174582692518e-07,1.5258013519314773e-08
1999,2.3353727840458305e-07,1.279656292041409e-08
2000,2.2929583565201028e-07,4.859834756842929e-09
2001,2.427191247988958e-07,8.762423564512289e-10
2002,2.4797714104352053e-07,0.0
2003,2.4251491481663834e-07,4.1669229178253886e-10
2004,2.4798976028250763e-07,1.7619165015858584e-09
2005,2.486069661244983e-07,4.5037495954858286e-10
2006,2.3348435718162364e-07,8.235779835885637e-10
2007,2.3767152868003905e-07,7.988958938831558e-10
2008,2.350106740323099e-07,8.514879357157668e-10
2009,2.6511150963415275e-07,0.0
2010,2.4988864311126235e-07,0.0
2011,2.569709067756776e-07,1.911985902935953e-09
2012,2.900423226037674e-07,3.404252713057332e-10
2013,3.0540920192834164e-07,0.0
2014,3.1030830882627924e-07,0.0
2015,2.94139567813545e-07,2.2165753954528356e-10
2016,2.947516861695476e-07,0.0
2017,3.343247385600989e-07,0.0
2018,3.5469352610562055e-07,1.5488800242380307e-09
2019,3.3724057857398293e-07,0.0
