year,doit_VERB oser_VERB,doit_VERB causer_VERB
1800,1.8864987794131594e-08,2.421006684016902e-07
1801,5.9529565277216534e-08,1.3572740442668874e-07
1802,2.6854081625060644e-08,9.622712582313397e-08
1803,2.9255089017965474e-08,2.145373088069391e-07
1804,1.4831105232815389e-08,3.287561867182376e-07
1805,2.2743021688143017e-08,2.7291625315228885e-07
1806,3.458002950651462e-08,2.305335300434308e-07
1807,5.693910232196231e-09,2.1921555060089304e-07
1808,2.2660739062985158e-08,2.01680592226694e-07
1809,1.581321384946932e-08,1.6490922405409947e-07
1810,2.106114038724627e-08,2.2933242860290193e-07
1811,0.0,1.4541045345595194e-07
1812,5.3344164641089264e-09,1.7070132685148565e-07
1813,1.4378708002027452e-08,1.984261785992203e-07
1814,9.125363931161701e-08,2.7061423679697327e-07
1815,3.236668177919455e-08,1.2676950689183286e-07
1816,2.5493642752394408e-08,1.367386346373678e-07
1817,3.580808893843823e-08,2.9424907665998035e-07
1818,1.9073883805731384e-08,2.574974189428758e-07
1819,3.2088255608186955e-08,3.032857591733773e-07
1820,2.610625848831205e-08,3.1327510896517197e-07
1821,2.859831660373402e-08,2.130081497853098e-07
1822,2.2056354964661296e-08,2.175558648787046e-07
1823,7.906149512848515e-09,1.877710502640184e-07
1824,4.463189640091514e-08,2.0631726727060595e-07
1825,2.3774695989686734e-08,1.9019756791749387e-07
1826,1.5854372037438225e-08,1.7351729297843121e-07
1827,2.3043183361437514e-08,1.7973682986394124e-07
1828,1.2841221419535032e-08,1.6326696083979186e-07
1829,2.0575622983187714e-08,1.6717693540613254e-07
1830,1.1480519646056564e-08,1.847319879288989e-07
1831,6.236482441579483e-09,1.683850285871813e-07
1832,3.6530916958099624e-08,1.4341767951009388e-07
1833,5.791814139399776e-09,1.2162810492100107e-07
1834,2.333632664885954e-08,1.6428774074483954e-07
1835,1.5882484660778573e-08,1.4748022181265696e-07
1836,1.344150035720304e-08,1.50544806842845e-07
1837,7.653680356156656e-09,1.349830824892706e-07
1838,8.837027110075724e-09,1.2245594405158045e-07
1839,1.5381244722334486e-08,1.6150308113083156e-07
1840,1.52872523528913e-08,1.1401742483485577e-07
1841,6.420548537278137e-09,1.335474166808126e-07
1842,1.475818312002275e-08,1.355069514374918e-07
1843,3.2488010504039266e-08,1.447193227477328e-07
1844,2.140538946093784e-08,1.3831174783263123e-07
1845,1.897277535078956e-08,1.2946128435942228e-07
1846,1.1709002656346001e-08,1.4636253808930633e-07
1847,2.7505439703645607e-08,1.337519393018738e-07
1848,8.04522137798358e-09,7.884317199113866e-08
1849,7.54147322368226e-09,1.3071887394744408e-07
1850,3.2587180953669304e-08,1.0183494225657341e-07
1851,2.7087642351375507e-08,1.064157402197452e-07
1852,3.1250618093281446e-08,1.0742400036178879e-07
1853,8.957897534855874e-09,1.0450880694179432e-07
1854,1.2989160858012383e-08,1.7509388783309987e-07
1855,1.963566731433275e-08,1.3108135021866474e-07
1856,1.7084724746041502e-08,1.0509694448046503e-07
1857,1.3180074809326925e-08,1.1764436891326113e-07
1858,2.104280660830682e-08,1.1255454523961816e-07
1859,1.2730433596175317e-08,8.503929649350539e-08
1860,1.876645328025006e-08,1.3090746620036953e-07
1861,2.9238975685075275e-08,1.4195050823673228e-07
1862,1.0391368654438793e-08,1.1746764272402288e-07
1863,1.048870412745373e-08,1.0039187969823615e-07
1864,4.794728170054441e-09,1.2801923787719716e-07
1865,1.2708479601997169e-08,1.0684536988492255e-07
1866,2.4814625021463144e-08,1.2212687749979523e-07
1867,1.7955402498159856e-08,1.1889387963037734e-07
1868,9.87974857480367e-09,8.348386870693503e-08
1869,1.5627261262807224e-08,1.0255390492375227e-07
1870,1.77755516972411e-08,7.511604138699113e-08
1871,1.4869648623516696e-08,1.0939812256083314e-07
1872,1.269941218851045e-08,1.0461896948754656e-07
1873,5.9860045809045914e-09,8.739566226267925e-08
1874,2.3300975371398636e-08,1.1471249194983102e-07
1875,4.005069165202713e-09,1.4933185354948364e-07
1876,1.6928840551599933e-08,9.25040239962982e-08
1877,2.4120781816350245e-08,8.34950171224591e-08
1878,1.2078177569208037e-08,7.609251895246416e-08
1879,1.3440515367335593e-08,1.0446946419051528e-07
1880,1.2835692508872398e-08,8.856628141984402e-08
1881,1.4642266066289267e-08,7.042232397225234e-08
1882,1.8635077481121698e-08,5.856738738430067e-08
1883,8.847074184359371e-09,8.910267723649667e-08
1884,1.2543224237049344e-08,5.809493330843907e-08
1885,2.5782542767416317e-09,7.02574283195645e-08
1886,1.1616235084943582e-08,6.001721430948237e-08
1887,2.285123557044244e-08,5.223139609711325e-08
1888,6.340614699951175e-09,6.911270133969083e-08
1889,8.14467782106476e-09,1.0337475941923913e-07
1890,3.2771931834929546e-09,8.061895329092295e-08
1891,7.649063604731055e-09,1.0135009631540015e-07
1892,8.775916882086676e-09,7.459529882680727e-08
1893,6.15841644346915e-09,5.480990594719515e-08
1894,1.3233232287745977e-08,7.939939195011902e-08
1895,6.6204757231957956e-09,7.282523739604585e-08
1896,1.47425724961181e-08,5.484237064479203e-08
1897,1.6897470089816125e-08,5.360576338375722e-08
1898,4.52668391659472e-09,5.545187775624072e-08
1899,6.080336234504102e-09,6.190887802404177e-08
1900,1.2977633190303095e-08,6.436906119233754e-08
1901,1.2295225282343836e-08,7.824234415920728e-08
1902,7.856454153909453e-09,5.254003809795904e-08
1903,8.100330184390714e-09,5.508224631967096e-08
1904,1.4511488011237361e-08,5.374625189347171e-08
1905,5.676835002077496e-09,5.676835002077496e-08
1906,8.745113966313056e-09,5.812928449699939e-08
1907,9.771402353919711e-09,6.325697654574469e-08
1908,7.858222517143076e-09,7.710880822742183e-08
1909,1.980354014108343e-08,6.106091632318567e-08
1910,1.336037680488289e-08,6.62674679574593e-08
1911,7.448523575703803e-09,4.149891807969652e-08
1912,5.2094213387476884e-09,8.856016364688912e-08
1913,1.113627856597077e-08,5.2499597558153255e-08
1914,6.027069510139427e-09,4.955590426902745e-08
1915,5.890381071793627e-09,7.657494904833584e-08
1916,6.592477230782379e-09,4.0653610255958483e-08
1917,1.0966424435210342e-09,3.61891991929042e-08
1918,2.2972752589112133e-08,6.776961924970237e-08
1919,1.1049418269237776e-08,3.222746869369075e-08
1920,3.028892692213958e-09,5.6034515694136644e-08
