year,tout_ADV ouvert_VERB,tout_ADV couvert_VERB
1800,1.0375742931501009e-07,0.0
1801,1.500145003774378e-07,0.0
1802,1.432217686669901e-07,0.0
1803,1.3457341196954076e-07,0.0
1804,1.359518080334965e-07,9.887403784603066e-09
1805,7.107194477384837e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,9.679647661187119e-08,0.0
1808,8.384473915157287e-08,0.0
1809,7.228897658251299e-08,0.0
1810,1.708292529656319e-07,0.0
1811,1.1783261122388922e-07,2.5070767684098882e-09
1812,1.440292436427626e-07,0.0
1813,1.5241430162404868e-07,0.0
1814,2.8320094713762956e-08,0.0
1815,5.3944472000466703e-08,2.697223555614414e-09
1816,1.321034233114915e-07,9.270415546325239e-09
1817,1.4945985071790346e-07,0.0
1818,1.0609847578280096e-07,0.0
1819,1.563008567018187e-07,0.0
1820,1.2815799088627955e-07,0.0
1821,2.2089733420216362e-07,0.0
1822,2.686865059331467e-07,0.0
1823,2.0951296164639643e-07,0.0
1824,2.7958094950264467e-07,8.421112696055388e-10
1825,1.664228790332345e-07,0.0
1826,1.444509365455815e-07,0.0
1827,1.3272872934066982e-07,0.0
1828,1.5317742452225502e-07,9.172301251858528e-10
1829,1.423147182322282e-07,0.0
1830,1.1689256496083544e-07,1.0436835840010872e-09
1831,1.1225668572478753e-07,0.0
1832,1.5559464827674674e-07,0.0
1833,1.737544295110638e-07,0.0
1834,1.5028594191335287e-07,9.334530925997342e-10
1835,2.0949752865817572e-07,2.2689263801112247e-09
1836,1.4785649682380608e-07,0.0
1837,1.2454624431779138e-07,6.957890930081589e-10
1838,1.7232201798833557e-07,2.5248647617104325e-09
1839,1.2095252088784036e-07,6.9914751765765e-10
1840,1.1592833715212691e-07,6.369688665408546e-10
1841,1.3097918527549268e-07,0.0
1842,8.318248490013502e-08,0.0
1843,9.74640315121178e-08,0.0
1844,9.934296230085238e-08,0.0
1845,1.584784712349574e-07,0.0
1846,1.3816622868034756e-07,5.854501328173001e-10
1847,1.089431194145618e-07,0.0
1848,1.078059739256787e-07,0.0
1849,9.971503800443315e-08,0.0
1850,1.3102761897698656e-07,0.0
1851,1.1028540569668621e-07,6.449438760824933e-10
1852,1.0091345359342085e-07,0.0
1853,1.4690952809814917e-07,0.0
1854,1.413220758195166e-07,1.0391328908454511e-09
1855,1.2577440600125556e-07,0.0
1856,1.7136495955583086e-07,0.0
1857,1.8354474207171734e-07,4.881509085841174e-10
1858,1.3555482780702732e-07,4.893676019968041e-10
1859,1.37997901106246e-07,0.0
1860,1.6386317724936816e-07,4.577183909670879e-10
1861,1.4996764718944178e-07,0.0
1862,1.7439427324461576e-07,0.0
1863,1.2336712984506448e-07,0.0
1864,1.6877442021723255e-07,0.0
1865,1.252020638276008e-07,0.0
1866,1.37210288742029e-07,0.0
1867,1.0482073165007932e-07,0.0
1868,1.1905096641839918e-07,1.4819622196071691e-09
1869,1.1964621648985485e-07,0.0
1870,1.2156183970546408e-07,0.0
1871,1.656903663160847e-07,0.0
1872,1.0945684181251636e-07,0.0
1873,1.3947389732038573e-07,5.986004469882289e-10
1874,1.5474237669010904e-07,0.0
1875,1.1900776308859662e-07,0.0
1876,1.1366508090304706e-07,8.464420275799966e-09
1877,1.564758491667817e-07,6.184815992682502e-10
1878,1.437303128737355e-07,0.0
1879,1.4418007765470975e-07,1.221865053580018e-09
1880,9.626769070791852e-08,0.0
1881,1.220188892148144e-07,0.0
1882,1.4109416301977262e-07,5.324308105514319e-09
1883,1.3523384989611031e-07,0.0
1884,1.4127632130822576e-07,0.0
1885,1.0119647697592882e-07,0.0
1886,9.034849512978838e-08,0.0
1887,1.0968593422422401e-07,0.0
1888,1.2617823719196508e-07,0.0
1889,1.1527851739856487e-07,0.0
1890,1.1208001149398683e-07,0.0
1891,8.668938988876107e-08,2.5496880162734215e-09
1892,8.462491463134825e-08,6.268512375839919e-10
1893,7.88277320085129e-08,2.463366621796581e-09
1894,8.065970491522023e-08,0.0
1895,7.101964882849643e-08,0.0
1896,9.199365536005644e-08,0.0
1897,7.982597838296357e-08,5.826713556089658e-10
1898,8.204614421192247e-08,0.0
1899,8.623022296205818e-08,0.0
1900,9.914911203168231e-08,0.0
