year,un_DET amas_NOUN,un_DET gamma_NOUN
1800,4.320081934849895e-06,0.0
1801,3.312225004492575e-06,0.0
1802,3.7349550723320135e-06,4.923248297927785e-08
1803,3.896777691636544e-06,2.5354410126965377e-08
1804,3.3221676574157755e-06,2.4718509461507665e-09
1805,3.4569392539651744e-06,5.685755422035754e-09
1806,3.1698359634901863e-06,0.0
1807,2.656209041163038e-06,0.0
1808,3.3447252150153872e-06,8.837688625362716e-08
1809,2.986438317975626e-06,1.3554183553310395e-08
1810,3.353401652361754e-06,6.084329839950442e-08
1811,2.7402350042393664e-06,1.7549536934780008e-08
1812,3.387354496453554e-06,8.00162425207418e-09
1813,3.640688959194449e-06,2.5881675469463516e-08
1814,2.630622084609513e-06,2.8320094713762956e-08
1815,3.3391627445311656e-06,5.394447111228828e-09
1816,3.0430139830173175e-06,4.6352077731626196e-09
1817,3.2087162011862347e-06,1.0898113522728181e-08
1818,3.5024419346996183e-06,9.536941902865692e-09
1819,3.283352967287101e-06,0.0
1820,3.252602368775115e-06,0.0
1821,3.307543089192677e-06,1.97229765852569e-09
1822,2.710926565896443e-06,1.0025615893027862e-09
1823,2.4518946943885567e-06,4.941343334508019e-09
1824,2.315805879504751e-06,0.0
1825,2.771953415248163e-06,0.0
1826,2.7445679364745956e-06,1.7615968683770689e-09
1827,2.685913422340036e-06,0.0
1828,2.430659804986135e-06,8.255071293206129e-09
1829,2.724555336897083e-06,1.8860987438529264e-08
1830,2.6373885049224555e-06,5.218417697960831e-09
1831,2.572548918777784e-06,0.0
1832,3.38925743648133e-06,0.0
1833,3.109045930926868e-06,0.0
1834,2.547393407326126e-06,1.8669061851994684e-09
1835,3.048680696338124e-06,0.0
1836,2.331428277102532e-06,8.736974699274924e-09
1837,2.438740771992798e-06,5.5663127440652715e-09
1838,2.4049337561393713e-06,8.837027110075724e-09
1839,2.0114475045573954e-06,6.9914751765765e-10
1840,2.130023936786074e-06,1.2739377330817092e-09
1841,2.503371867135229e-06,7.704658244733764e-09
1842,2.1996402068680254e-06,2.683306021822318e-09
1843,2.653975130328945e-06,5.31621990873532e-09
1844,2.1970710193386367e-06,1.6465684371524958e-09
1845,1.9675884210812455e-06,7.254296274794569e-09
1846,2.259252120495603e-06,2.3418005312692003e-09
1847,2.022998291550948e-06,2.9123407685460734e-08
1848,2.300128898014009e-06,4.82713291560799e-09
1849,1.9415104368647462e-06,1.6758828991214614e-08
1850,2.050955703936097e-06,1.425689166723032e-08
1851,2.1773305469707793e-06,6.449438760824933e-10
1852,2.2109811368409282e-06,5.859490670445666e-09
1853,2.4001193530409637e-06,7.763511611358354e-09
1854,2.2273813051754132e-06,3.63696517347023e-09
1855,2.033618233809875e-06,5.306937111981824e-10
1856,1.969920415234583e-06,1.0354378465748937e-09
1857,2.2215748387566236e-06,8.298565390418844e-09
1858,2.195792337289504e-06,9.787352261980686e-09
1859,2.168756651599324e-06,4.073738679721828e-09
1860,2.1695851053493698e-06,1.6935580049448618e-08
1861,2.1886787280323006e-06,5.659156532278331e-09
1862,2.2612521632936478e-06,9.035972525772706e-10
1863,2.0218225138535217e-06,9.989241878116673e-09
1864,2.325922565660221e-06,6.712618905169165e-09
1865,2.28046602046561e-06,1.4120533631256649e-09
1866,2.4162633422974977e-06,2.919367858567057e-09
1867,2.2997473720920425e-06,5.82337378318698e-09
1868,2.190340126162482e-06,4.93987406535723e-10
1869,2.478874218780902e-06,9.767038289254515e-10
1870,2.3308908509989124e-06,2.8670243956696595e-09
1871,2.546958199900473e-06,5.3105884134652115e-09
1872,2.288313186937785e-06,3.628403577593531e-09
1873,2.600919007278435e-06,3.591602570907071e-09
1874,2.395818356148993e-06,1.0156835372754358e-08
1875,2.8830774780885804e-06,1.2015207495608138e-08
1876,2.880321492426674e-06,2.418405919968336e-09
1877,2.653904651594985e-06,6.184815992682502e-10
1878,2.6384778024635125e-06,1.8117265465633636e-09
1879,2.6948234506107838e-06,7.331190210457805e-09
1880,2.544034366280812e-06,9.626769603698904e-09
1881,2.551240513071207e-06,1.3945014920579979e-08
1882,2.821883274606307e-06,6.655385131892899e-09
1883,2.4013487731622263e-06,5.687404991405742e-09
1884,2.7258407584440647e-06,7.2618666635548834e-09
1885,2.369415625480542e-06,6.445635691854079e-10
1886,2.290979603358778e-06,4.5174246565693466e-09
1887,2.316462357043747e-06,1.3057849024278312e-08
1888,2.2940344166499926e-06,5.706553452000662e-09
1889,2.1796410862862103e-06,7.51816386923565e-09
1890,2.110512497210948e-06,7.865263995654459e-09
1891,2.25774877193885e-06,4.461953917456185e-09
1892,2.2585451091572395e-06,1.8178685001757344e-08
1893,2.6388814902134072e-06,0.0
1894,2.6687019207827234e-06,1.8904617871129403e-09
1895,2.200405550212281e-06,3.0093072478365457e-09
1896,2.384168844571377e-06,1.6511680911435178e-08
1897,2.345834783312739e-06,2.0393498112447617e-08
1898,2.2027975568050806e-06,0.0
