year,en_ADP étés_NOUN,en_ADP gaieté_NOUN
1800,9.432493897065797e-09,5.65949598296811e-08
1801,0.0,8.810375362600098e-08
1802,0.0,5.370816325012129e-08
1803,1.950339223455444e-09,5.851017803593095e-08
1804,0.0,6.673997887673977e-08
1805,0.0,8.812921237222326e-08
1806,0.0,2.0171682990621775e-08
1807,0.0,4.27043254092041e-08
1808,0.0,1.8128591250388126e-07
1809,2.259030518203531e-09,3.840352036377226e-08
1810,0.0,4.44624070894406e-08
1811,0.0,8.273353557797236e-08
1812,0.0,4.5342538612658245e-08
1813,0.0,3.163315653864629e-08
1814,0.0,1.0384034254684593e-07
1815,0.0,4.045835311217161e-08
1816,0.0,4.8669683394564345e-08
1817,0.0,8.251429051142622e-08
1818,1.1921177378582115e-09,8.464036227451288e-08
1819,0.0,3.001804671498576e-08
1820,0.0,5.814575843032799e-08
1821,9.86148829262845e-10,1.065040748926549e-07
1822,2.0051231786055723e-09,6.015369535816717e-08
1823,0.0,7.906149335212831e-08
1824,1.6842225392110777e-09,6.905312233129735e-08
1825,8.805443041381977e-10,5.459374818883589e-08
1826,8.807984341885344e-10,6.517908701653141e-08
1827,0.0,4.7929820112813104e-08
1828,9.172301251858528e-10,7.796455747666187e-08
1829,0.0,4.9724420136953995e-08
1830,0.0,8.76694201679129e-08
1831,0.0,4.677361786775691e-08
1832,0.0,7.576782934393123e-08
1833,0.0,8.456049016558609e-08
1834,0.0,6.16079063320285e-08
1835,7.563087933704082e-10,1.4748022181265696e-07
1836,2.688300027031687e-09,8.938597773067158e-08
1837,0.0,7.72325918774186e-08
1838,0.0,7.069621688060579e-08
1839,1.3982950353153e-09,7.061390050466798e-08
1840,3.1848443882154243e-09,1.4268103143422195e-07
1841,2.5682194149112547e-09,9.11717918938848e-08
1842,4.024959032733477e-09,1.207487656529338e-07
1843,1.7720733769266417e-09,1.6007729186640063e-07
1844,8.232841963717874e-09,9.495210662180398e-08
1845,1.4508592549589139e-08,9.263178668561522e-08
1846,1.7563503984519002e-09,9.07447699205477e-08
1847,3.775256551818984e-09,5.015698079091635e-08
1848,1.6090443422100975e-09,9.97607472186246e-08
1849,2.513824481908955e-09,5.362825561405771e-08
