year,mon_DET âge_NOUN,mon_DET age_NOUN,mon_DET gage_NOUN
1800,2.1757618924311828e-06,5.030663263738688e-08,1.2576657937302116e-08
1801,3.421759451782691e-06,1.4287095506659853e-08,9.524730337773235e-09
1802,1.9804886051133508e-06,8.951360541686881e-09,1.7902721083373763e-08
1803,2.1044161044869725e-06,2.3404070459420723e-08,2.5354410126965377e-08
1804,3.4136260964601206e-06,1.4831105676904599e-08,5.19088700912107e-08
1805,3.209609033660854e-06,5.117179879832179e-08,1.7057265822018053e-08
1806,2.5099337648271103e-06,2.305335211616466e-08,2.5935023018064385e-08
1807,1.5999887637008214e-06,8.540865348294346e-09,4.27043254092041e-08
1808,2.037200431459496e-06,1.3596443970698147e-08,9.064295980465431e-09
1809,1.9043627261794427e-06,9.036122294858728e-09,4.518061036407062e-09
1810,3.304259081460259e-06,3.7442029476864036e-08,2.3401267590372754e-09
1811,1.8502226168948255e-06,5.0141535368197765e-09,3.760615285841595e-08
1812,2.9472650382444954e-06,1.0668832928217853e-08,1.3336041604361526e-08
1813,2.490392198239988e-06,8.627225156487839e-09,2.300593315851529e-08
1814,1.8313661129809589e-06,1.5733385261285093e-08,1.5733386149463513e-08
1815,1.3243367416038154e-06,2.6972235334099537e-08,1.3486118000116676e-08
1816,1.543524192015866e-06,1.622322720606917e-08,0.0
1817,3.889069759566155e-06,1.71256075987003e-08,3.269434145636296e-08
1818,3.067319013894121e-06,1.5497530814201355e-08,2.384235386898581e-08
1819,2.551533832217956e-06,1.3456364911235141e-08,2.173720581311045e-08
1820,2.819475824367146e-06,2.8479553826343817e-08,1.542642635854463e-08
1821,5.152627792881503e-06,3.0570612707947475e-08,5.719663320746804e-08
1822,3.5460603271531e-06,1.604098542884458e-08,3.60922172149003e-08
1823,3.3393598855013806e-06,7.90614973489312e-09,2.075364236020505e-08
1824,3.093074589344269e-06,8.168479403991569e-08,6.315834610859383e-08
1825,3.5336243868755446e-06,6.86824590534485e-08,5.899646993157148e-08
1826,2.2715792447058902e-06,8.807984341885344e-09,9.688783109140786e-08
1827,2.2720578201074204e-06,1.2904182167261524e-08,6.636436467033491e-08
1828,2.5609064664422476e-06,3.1185824256318995e-08,2.7516904310687096e-08
1829,2.377341687065382e-06,1.0287811047504647e-08,4.8009784592295546e-08
