year,certain_ADJ amas_NOUN
1800,1.5720821977538435e-08
1801,9.524730337773235e-09
1802,8.951360541686881e-09
1803,1.5602713787643552e-08
1804,9.887403562558461e-09
1805,0.0
1806,6.627838899930794e-08
1807,5.693910232196231e-09
1808,0.0
1809,4.0662548883574345e-08
1810,1.1700633351097167e-08
1811,2.5070767684098882e-09
1812,1.3336041604361526e-08
1813,0.0
1814,9.440030979135372e-09
1815,1.6183340889597275e-08
1816,9.270415546325239e-09
1817,0.0
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,1.0679833017945839e-08
1821,9.861488514673056e-09
1822,1.2030739071633434e-08
1823,2.9648061783404955e-09
1824,1.2631669044083083e-08
1825,8.805443485471187e-09
1826,6.1655889282974385e-09
1827,9.217273055917019e-10
1828,0.0
1829,1.714635211591542e-09
1830,2.0873671680021744e-09
1831,1.091384405071949e-08
1832,1.3529969367098715e-09
1833,1.0425265983826648e-08
1834,9.334530925997342e-10
1835,7.563087933704082e-10
1836,6.720750067579218e-10
1837,1.3915781860163179e-09
1838,5.049729523420865e-09
1839,1.7478688718597368e-08
1840,6.3696887764308485e-09
1841,3.852329122366882e-09
1842,1.2074877098200432e-08
1843,1.476727812255163e-08
1844,1.6465684371524958e-09
1845,7.254296385816872e-09
1846,1.5221703453249802e-08
1847,1.4022381478184798e-08
1848,0.0
1849,1.6758829879393033e-09
1850,1.0862393651223101e-08
1851,3.2247193804124663e-09
1852,9.114763388495817e-09
1853,1.1346670714118545e-08
1854,1.662612592046031e-08
1855,1.0083180512765466e-08
1856,4.65947025407587e-09
1857,5.857811125054013e-09
1858,1.8106601551437507e-08
1859,6.619825576592575e-09
1860,1.2816115058100763e-08
1861,8.960331365770458e-09
1862,8.13237543972889e-09
1863,2.0477944673302773e-08
1864,3.835782469430171e-09
1865,2.8241067262513297e-09
1866,1.3623716377253459e-08
1867,1.6984840200962026e-08
1868,1.975949626142892e-09
1869,3.906815315701806e-09
1870,6.307453670473251e-09
1871,2.1242354542039266e-09
1872,9.071008832961525e-09
1873,3.591602570907071e-09
1874,4.779687201583727e-09
1875,5.149374260327022e-09
1876,4.836811839936672e-09
1877,4.9478527941460015e-09
1878,6.039088784604019e-09
1879,7.331190321480108e-09
1880,3.8507077526617195e-09
1881,1.3247763996915296e-08
1882,5.989846840748214e-09
1883,1.8958017378167824e-09
1884,1.3203393933736152e-09
1885,3.2228177904158883e-09
1886,3.872078213618124e-09
1887,6.528924623161458e-10
1888,7.60873763994141e-09
1889,6.265136742733546e-10
1890,2.6217545912032847e-09
1891,1.9122659011827636e-09
1892,5.641661138255927e-09
1893,1.2316833108982905e-09
1894,5.041231654345779e-09
1895,5.416753046105782e-09
1896,7.666137724626765e-09
1897,2.9133566670225264e-09
1898,3.960848315998078e-09
1899,6.080336234504102e-09
1900,1.1420316914367845e-08
1901,0.0
1902,1.4730852093691738e-09
1903,7.560308379339631e-09
1904,1.0749250378694342e-09
1905,2.5803795211665204e-09
1906,1.0288369045596824e-09
1907,4.6285588695127444e-09
1908,1.4734167219643268e-09
1909,0.0
1910,5.344150677544235e-10
1911,4.788336838146279e-09
1912,1.0418842455450772e-09
1913,2.6514948014977335e-09
1914,1.3393487430235496e-09
1915,0.0
1916,0.0
1917,0.0
1918,1.1486376294556067e-09
