year,en_ADP orge_NOUN,en_ADP gorge_NOUN
1800,1.4180181993062035e-06,5.0306631749208464e-08
1801,1.8025552459555172e-06,6.191074675143682e-08
1802,5.012761903344654e-07,4.923248297927785e-08
1803,4.875847992025228e-07,5.851017448321727e-09
1804,4.029116922321663e-07,3.213406074564773e-08
1805,2.3311597785458105e-07,8.528632911009026e-09
1806,4.0919702826158755e-07,2.305335300434308e-08
1807,3.1316506010625744e-07,4.839823830593559e-08
1808,5.143988204281413e-07,9.517511045942229e-08
1809,5.737937271987903e-07,4.292158095609011e-08
1810,2.0827127888978225e-07,8.190443878675069e-08
1811,3.785685951385176e-07,1.2535383575595915e-07
1812,1.9203899759290266e-07,1.600324850414836e-08
1813,2.5594099395398473e-07,3.4508900625951355e-08
1814,9.754698915287463e-08,4.72001566720337e-08
1815,1.4565007688815967e-07,4.5852800667489646e-08
1816,3.267821533370352e-07,2.7811246638975717e-08
1817,1.1987924608547473e-07,1.5568733857662664e-08
1818,1.6451225071101305e-07,7.27191817873063e-08
1819,1.852837965277132e-07,4.140419918030602e-08
1820,9.967844150082783e-08,3.559944161679596e-08
1821,1.3608854487756616e-07,8.57949515875589e-08
1822,1.804610860745015e-07,4.210758675071702e-08
1823,1.818414328003115e-07,4.743689885344793e-08
1824,1.9958037178469112e-07,2.6105450245950124e-08
1825,1.2063456722444243e-07,5.371320099811783e-08
1826,1.321197709014399e-07,8.719904798226707e-08
1827,1.1798109633698317e-07,5.1616730445402936e-08
1828,1.4492235794749675e-07,5.6868266540277546e-08
1829,1.9203913836918218e-07,3.6864655328372464e-08
1830,1.3046044111675315e-07,5.218418053232199e-08
1831,1.2472964794341124e-07,1.0757932500382594e-07
1832,1.6641861710908756e-07,5.141388470519814e-08
1833,2.6526510055191466e-07,5.21263281427764e-08
1834,2.5483268251136337e-07,1.7735608537350345e-08
1835,1.4899283939939778e-07,3.100866052818674e-08
1836,1.660025215066696e-07,2.8899226123257904e-08
1837,1.0019363116953173e-07,6.679574937606958e-08
1838,1.123564798977128e-07,2.1461350030449466e-08
1839,1.230499671045493e-07,5.872839281551023e-08
1840,1.3503740614595472e-07,4.267691267045848e-08
1841,1.592295992836057e-07,2.1829865914924085e-08
1842,1.274570311515788e-07,3.957876515414682e-08
1843,1.80160792617734e-07,3.7804230856863796e-08
1844,7.574214638816912e-08,2.085653250105679e-08
1845,1.0825642249301382e-07,2.511102614732863e-08
1846,1.2762813472733114e-07,2.9272506196775794e-08
1847,1.5101025763186726e-07,2.480882876909618e-08
1848,1.4642303702849802e-07,1.930853166243196e-08
1849,1.1731181004392965e-07,3.9383248662261394e-08
1850,7.19633606038883e-08,2.851378333446064e-08
1851,1.3479327365395477e-07,2.4507867735223954e-08
1852,7.942865143384381e-08,6.315229228448516e-08
1853,1.7318601908122844e-07,7.524634071387482e-08
1854,9.040455994924201e-08,3.636965217879151e-08
1855,1.209981661531856e-07,3.980202833986368e-08
1856,1.1493360019265708e-07,3.054541508618058e-08
1857,1.1520361486994091e-07,4.246912865824015e-08
1858,1.2968241969169014e-07,4.6489923022363655e-08
1859,1.1304624547570086e-07,2.9025388315062628e-08
1860,7.689668957144846e-08,5.858795404378725e-08
1861,5.3761986862355116e-08,1.2733101684148096e-08
1862,8.810073387488515e-08,5.647482836934614e-08
1863,1.163746681243083e-07,3.0467187883687075e-08
1864,8.198984580154445e-08,4.411149845395812e-08
1865,7.107334770717344e-08,3.577201823645737e-08
1866,5.838735406271667e-08,2.7247432754506917e-08
1867,1.2762894208151465e-07,4.998396008204509e-08
1868,1.2695476558910457e-07,4.841076517436704e-08
1869,8.790334427022373e-08,3.711474505507795e-08
1870,6.422134912753563e-08,4.185855573268782e-08
1871,8.6031534785036e-08,4.0360472297606975e-08
1872,8.889589042659907e-08,4.2936108002322726e-08
1873,8.20082608488093e-08,2.993002112816612e-08
1874,6.990292344966065e-08,4.540703102406951e-08
1875,1.1843561287250282e-07,4.005068987567029e-08
1876,8.64580107506896e-08,2.7811667635546655e-08
1877,9.277224100046055e-08,3.7727378554563984e-08
1878,9.42097801992503e-08,2.536417298415472e-08
1879,8.369775317262906e-08,3.9710613464194466e-08
1880,8.664092598920092e-08,5.0700986520269e-08
1881,7.739483409707759e-08,3.486253774553916e-08
1882,1.1780031328179064e-07,3.926677294430192e-08
1883,1.1058843496503101e-07,4.802697617378726e-08
1884,7.591951511898287e-08,2.706695667598069e-08
1885,8.121500627567002e-08,3.674012205578947e-08
1886,1.2261581322503545e-07,4.58195934527339e-08
1887,1.4037188439397497e-07,2.7421483750345033e-08
1888,1.43931959684096e-07,3.804368731152863e-08
1889,1.0149521201263667e-07,3.57112810434046e-08
