year,mon_DET an_NOUN,mon_DET gant_NOUN
1800,1.8864986461863964e-08,2.829747991484055e-08
1801,1.6668278313147766e-08,4.7623651688866175e-09
1802,1.3427040812530322e-08,1.3427040812530322e-08
1803,4.290746247193056e-08,1.755305278905439e-08
1804,7.4155528384522995e-09,9.887403784603066e-09
1805,1.1371510844071508e-08,1.7057265822018053e-08
1806,1.152667650217154e-08,8.645007376628655e-09
1807,2.562259604488304e-08,5.693910232196231e-09
1808,1.5862517521725295e-08,2.2660739951163578e-09
1809,1.129515236897305e-08,9.036122072814123e-09
1810,2.3401267590372754e-09,2.8081521108447305e-08
1811,1.7549537378869218e-08,7.521230305229665e-09
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,1.4378708224072057e-08,3.738464116054274e-08
1814,2.5173417128598885e-08,2.8320094713762956e-08
1815,3.236668266737297e-08,1.6183340889597275e-08
1816,1.1588019432906549e-08,9.270415546325239e-09
1817,4.670620334934483e-09,1.0898113522728181e-08
1818,1.4305412632253933e-08,1.1921177378582115e-09
1819,6.210630232317271e-09,6.210630232317271e-09
1820,2.254631414899677e-08,8.306536791735653e-09
1821,2.7612166775270452e-08,8.08642042215979e-08
1822,7.017931125119503e-09,9.023054303725075e-09
1823,5.929612023614084e-09,2.9648060007048116e-08
1824,1.1789557774477544e-08,8.421112696055388e-09
1825,1.8491430164857547e-08,4.226612659863349e-08
1826,1.0569581432307018e-08,1.4092774947016551e-08
1827,3.6869092223668076e-09,1.8434546111834038e-09
1828,1.0089531266022078e-08,2.659967357487858e-08
1829,1.5431717126368483e-08,5.058173968564006e-08
1830,1.8786305178153384e-08,4.174734158368665e-08
1831,7.795602829929749e-09,4.677361786775691e-08
1832,1.894195755802741e-08,5.547287351692631e-08
1833,1.3900354645102198e-08,3.9384338013093156e-08
1834,1.0267984462686286e-08,2.1469420685704677e-08
1835,1.5126175867408165e-08,4.235329242874286e-08
1836,1.6129799718100912e-08,4.906147416106066e-08
1837,3.478945576063097e-09,5.427154903259179e-08
1838,3.1560809521380406e-09,3.408567295082321e-08
1839,2.9364194964465185e-08,5.942754066623479e-08
1840,9.554533331179726e-09,3.503328827036967e-08
1841,2.0545755763379248e-08,3.5955071808757566e-08
1842,1.0062398025922903e-08,5.769107813691221e-08
1843,2.953455535692484e-09,3.603215859016018e-08
1844,4.939705144924034e-09,4.7201626163229093e-08
1845,8.370341586516616e-09,1.4508592549589139e-08
1846,1.0538102390711401e-08,5.327596142024049e-08
1847,4.853901280910122e-09,2.480882876909618e-08
1848,1.3676876908785829e-08,3.057184322363682e-08
1849,1.6758829879393033e-09,5.865590679832167e-09
1850,8.146795238417326e-09,8.82569484161877e-09
1851,7.094382858952031e-09,3.740674658914145e-08
1852,1.2370036328590572e-08,3.0599563993760626e-08
1853,1.4332636411040767e-08,4.18035241978032e-08
1854,1.1950028522278444e-08,3.325225234052098e-08
1855,1.3798036491152743e-08,3.3964397516683675e-08
1856,1.7602442614617075e-08,1.501384794266869e-08
1857,9.763018116171196e-09,3.7099468386259105e-08
1858,1.2723557929472662e-08,3.474509968626194e-08
1859,6.110607797538137e-09,5.14309519417111e-08
1860,5.950339110327718e-09,4.9433587223646214e-08
1861,1.3676294874365169e-08,3.819930738391264e-08
1862,1.084316739174973e-08,7.183598449422846e-08
1863,9.989241878116673e-09,4.545104914654985e-08
1864,7.192092033037056e-09,2.4932584663517332e-08
1865,9.884373208812747e-09,3.6242702672328875e-08
1866,9.244664256335966e-09,1.8975890414552055e-08
1867,6.308654931785895e-09,3.1543274658929477e-08
1868,4.445886658821507e-09,3.606108189835311e-08
1869,1.2697149998075474e-08,5.811387771004206e-08
1870,1.0321287824410774e-08,3.096386480549995e-08
1871,7.434823867669138e-09,3.9298356568906456e-08
1872,5.442605366390296e-09,3.930770686721985e-08
1873,8.380406202324053e-09,3.5916027651961e-08
1874,9.559374403167453e-09,5.078417897319554e-08
1875,1.544812294751452e-08,2.6891177895560503e-08
1876,9.67362345782874e-09,2.2974855795609983e-08
1877,1.6080521580974505e-08,2.5976226614154996e-08
1878,1.0870359612447089e-08,4.227362238040655e-08
1879,1.2829583284634793e-08,3.5434084888485984e-08
1880,2.0537108014195837e-08,2.3746031363458542e-08
1881,2.2312023950643578e-08,2.091752193678076e-08
1882,1.1979693681496428e-08,2.5956001348248492e-08
1883,6.951273001654101e-09,5.0554713304507004e-08
1884,5.281357573494461e-09,1.7824582698722224e-08
1885,1.2246707870033902e-08,1.2891271383708158e-08
1886,1.0325542199041138e-08,2.8395241713496944e-08
1887,6.528924623161458e-09,3.39504065416385e-08
1888,1.7753720937818684e-08,3.804368731152863e-08
1889,8.14467776555361e-09,2.944614330147033e-08
1890,7.865263995654459e-09,2.0974037007182034e-08
1891,3.187110020341777e-09,1.9122660233072963e-08
1892,5.641661360300532e-09,3.19694137829174e-08
1893,4.926733243593162e-09,3.017624200518654e-08
1894,5.671385583383426e-09,2.0795080546420763e-08
1895,3.611168697403855e-09,2.1667012406467734e-08
1896,4.717623069971921e-09,2.8305738197786923e-08
1897,4.661370844871726e-09,3.379494017963225e-08
1898,7.355861253444118e-09,2.1501747937691107e-08
1899,2.7637891975018647e-09,1.492446166651007e-08
1900,9.34389587925466e-09,2.2321528292401638e-08
1901,7.2653604799022276e-09,7.265360757457984e-09
1902,3.4371988033576883e-09,1.767702184629627e-08
1903,1.2420506623200822e-08,1.3500550677392198e-08
1904,5.912087708281888e-09,2.579820090886642e-08
1905,4.1286072338664326e-09,1.7030505006232488e-08
1906,1.0288368823552219e-08,1.491813489407079e-08
1907,1.2342824040612044e-08,1.4399961223432456e-08
1908,6.875944924544797e-09,2.553922273662579e-08
1909,1.320236009405562e-08,1.980354014108343e-08
1910,8.016226016316352e-09,2.458309267261427e-08
1911,6.916486605668126e-09,2.553779587799454e-08
1912,1.2502610557962868e-08,1.5628263128064646e-08
1913,5.3029897140177695e-09,1.9621061719821142e-08
1914,8.036092347118995e-09,1.607218563792756e-08
1915,1.1780761921542648e-08,4.712304768617059e-09
1916,1.2086208034389756e-08,2.9666147094431494e-08
1917,3.289927441585405e-09,2.8512703309502285e-08
1918,6.89182577673364e-09,5.398596769623509e-08
1919,5.524709134618888e-09,4.6960026534037524e-08
1920,1.2872793941909322e-08,2.6502810612782923e-08
1921,6.8154727417280014e-09,1.2873671018098776e-08
1922,8.115728866719962e-09,3.7627472693202435e-08
1923,1.0615948120573648e-08,3.078624999375279e-08
1924,9.024137215263295e-09,2.5783249313349188e-08
1925,1.3197813508725176e-08,2.5295809891190402e-08
1926,4.458455493683289e-09,1.4489979882625903e-08
1927,1.0034302500017134e-08,2.7873062080630007e-08
1928,4.570416489713125e-09,3.1992916316170295e-08
1929,8.912325322185666e-09,2.33948540540041e-08
1930,1.0503603875555712e-08,2.10072066408884e-08
1931,7.983749661377715e-09,2.8513390759599133e-08
1932,8.767629289252454e-09,1.4247397928102146e-08
1933,2.2941324395731044e-09,1.8353059516584835e-08
1934,3.5944740517379614e-09,2.2765002327673756e-08
1935,4.787313656606784e-09,1.555876938397205e-08
1936,9.699771652549316e-09,2.3036957230715416e-08
1937,6.295559185076627e-09,1.888667711114067e-08
1938,2.5930428915188486e-09,1.4261735792331365e-08
1939,4.588215141154706e-09,1.8352860564618823e-08
1940,0.0,3.296517903095264e-08
1941,5.9030051957620344e-09,8.854508237732261e-09
1942,3.034211770724937e-09,3.034211815133858e-08
1943,2.9032352077962287e-09,4.645176332473966e-08
1944,3.2131861615880553e-09,2.2492303131116387e-08
1945,1.3071024262956144e-08,1.5249527862692958e-08
1946,1.1136883415474585e-08,1.80974355501462e-08
1947,3.5762612871081956e-09,2.26496545963073e-08
1948,5.435943917220243e-09,7.066727403248763e-08
