year,en_ADP ans_NOUN,en_ADP gants_NOUN
1800,1.006132621661493e-07,5.65949598296811e-08
1801,9.28661236798689e-08,3.333655484993869e-08
1802,9.175144555229053e-08,2.4616241489638924e-08
1803,9.946729906396001e-08,7.80135707145746e-08
1804,9.887404028852131e-08,8.404293083685843e-08
1805,6.25433098644379e-08,4.8328921309348516e-08
1806,1.6137346481315262e-07,4.3225035994964855e-08
1807,1.5088862248546775e-07,5.693910232196231e-09
1808,1.427626639127766e-07,3.3991110370834576e-08
1809,7.906607124574805e-08,7.90660692473466e-08
1810,1.4508786394529238e-07,3.510190182964834e-08
1811,8.273353602206157e-08,3.259199843341776e-08
1812,9.068508077803017e-08,2.6672083208723052e-08
1813,7.476928232108548e-08,1.1502966579257645e-08
1814,3.1466771410748606e-08,9.440030979135372e-09
1815,4.855002422310406e-08,3.506390555685357e-08
1816,5.7940095388175905e-08,2.3176038865813098e-09
1817,6.383180817248757e-08,1.0898113522728181e-08
1818,6.318223921830679e-08,0.0
1819,1.066158181739496e-07,2.070210003424222e-09
1820,4.509263007435038e-08,7.119888678630559e-09
1821,1.0354562518521959e-07,0.0
1822,1.3334069137727056e-07,6.015369535816717e-09
1823,4.348382143248841e-08,1.2847492847356534e-08
1824,5.557934468214398e-08,3.03160057057994e-08
1825,4.138558074018306e-08,9.68598712347557e-09
1826,3.435113959948666e-08,2.642395191543301e-09
1827,6.544263980723386e-08,2.027800150017356e-08
1828,4.035812389835414e-08,6.420610709767516e-09
1829,5.658296359234427e-08,1.7146351893870815e-08
1830,2.7135772739939057e-08,1.878630406793036e-08
1831,4.989185842241284e-08,3.897801548191637e-08
1832,3.9236911608675484e-08,1.420646782435142e-07
1833,3.938433690287013e-08,7.066013552048389e-08
1834,4.760610661236342e-08,7.841006066655609e-08
1835,9.756383434478266e-08,1.3311034763319185e-07
1836,3.09154504218867e-08,3.965242711956307e-08
1837,3.478945287405111e-08,5.218418053232199e-08
1838,3.282324301245865e-08,4.102905393210676e-08
1839,6.711815891957684e-08,7.061390050466798e-08
1840,6.369688487772862e-08,7.707323135264232e-08
1841,9.052973348744331e-08,1.0850727250044656e-07
1842,7.24492630332918e-08,1.0531976357697204e-07
1843,3.544146692791017e-08,7.797122947295065e-08
1844,3.402907938765409e-08,1.0702694197561868e-07
1845,2.566904799827796e-08,8.760957825870719e-08
1846,3.2785206105501175e-08,6.439951505399222e-08
1847,2.1572895470001185e-08,6.525800699819229e-08
1848,1.930853293918844e-08,6.757986170669028e-08
1849,4.7762666932626985e-08,9.971503800443315e-08
1850,3.2587180065490884e-08,9.504594800091581e-08
1851,3.4826968864365426e-08,9.996630012665264e-08
1852,2.79953455972759e-08,1.3281513133733824e-07
1853,6.270528518648177e-08,1.0809196737682214e-07
1854,3.273268556203135e-08,1.0495242008801142e-07
1855,2.4411910715116392e-08,1.4594077413221385e-07
1856,1.501384794266869e-08,8.024642994541864e-08
1857,4.58861838525948e-08,7.56633937726292e-08
1858,5.285170184832211e-08,1.2576747110415454e-07
1859,2.9025388315062628e-08,1.3596103087820666e-07
1860,1.968189100587381e-08,9.062824091188304e-08
1861,1.9807047502151676e-08,1.0799556804386157e-07
1862,3.252950275811628e-08,9.758850438856825e-08
1863,2.6970952249349978e-08,9.140156009834755e-08
1864,1.821996631345968e-08,8.294879449977088e-08
1865,2.07101151783462e-08,9.601962602800995e-08
1866,3.113992252945508e-08,7.97960524323571e-08
1867,3.299911810472622e-08,9.657095034754093e-08
1868,4.8410764397210926e-08,6.520633633044781e-08
1869,5.4207061062072626e-08,1.4650557034201483e-07
1870,2.2362789842134134e-08,8.945116292125022e-08
1871,6.054070955663349e-08,9.240424247991541e-08
1872,3.5679300403046454e-08,1.2034205099098472e-07
1873,5.566984112581608e-08,1.0056487553811166e-07
1874,3.166542839050379e-08,1.0515311998915422e-07
1875,3.204055232242098e-08,8.296214559777582e-08
1876,3.143927651549916e-08,8.524880712457161e-08
1877,2.4120781705327943e-08,1.0637883463004982e-07
1878,3.502671280797287e-08,7.971596716060958e-08
1879,2.627009876299269e-08,1.1790997689331562e-07
1880,5.519347645588368e-08,1.0974517294926045e-07
1881,3.2770786140279284e-08,1.01798612206494e-07
1882,4.192892699705908e-08,8.785108462916469e-08
1883,3.854796920554904e-08,7.330433504648681e-08
1884,2.970763635090634e-08,1.280729264863112e-07
1885,3.351730637479733e-08,8.443782917311182e-08
1886,2.9040586768669385e-08,9.809264867044476e-08
