year,un_DET an_NOUN,un_DET gant_NOUN
1800,2.065401696427216e-05,3.332814317857924e-07
1801,1.8870872679599415e-05,3.3336556271024165e-07
1802,2.064631223674951e-05,2.215461734067503e-07
1803,1.965746980658878e-05,3.2180596321040866e-07
1804,2.160644874038553e-05,3.114532205472642e-07
1805,1.9544784152003558e-05,1.7625842474444653e-07
1806,2.088921922904774e-05,2.074801761509093e-07
1807,2.2809804022472235e-05,1.7651121098083422e-07
1808,2.2792173126617854e-05,2.447359950252803e-07
1809,2.104286875237449e-05,2.1008983708270534e-07
1810,2.2191421578554582e-05,2.5507380518874356e-07
1811,2.3202996260351938e-05,1.7298829391165782e-07
1812,1.9139885921504174e-05,3.7340916625439036e-07
1813,2.1648583356181916e-05,3.307102975913523e-07
1814,1.9182143887519487e-05,4.940283133691992e-07
1815,1.9614209008977923e-05,2.2926400333744823e-07
1816,1.8413362852243154e-05,2.2248996955909206e-07
1817,1.8037934694348223e-05,3.1137468037290006e-07
1818,2.2023183362307464e-05,3.34985073902061e-07
1819,2.257356914014963e-05,2.008103768824654e-07
1820,2.1815338527630956e-05,2.1003671069053098e-07
1821,2.1181491547395126e-05,2.2681422406911622e-07
1822,1.979156860443254e-05,1.7544827812798758e-07
1823,2.0159692155630182e-05,1.818414322452e-07
1824,1.9963090494456992e-05,1.7600126156480655e-07
1825,2.186831864037231e-05,2.2453880021977568e-07
1826,2.178390661811136e-05,2.1579562314855139e-07
1827,2.2704908076320862e-05,3.106221070359183e-07
1828,2.097338466455767e-05,2.880102458746592e-07
1829,2.0859394453509594e-05,2.4347820914982776e-07
1830,2.163869237392646e-05,2.682266810882794e-07
1831,2.1741936109265225e-05,3.274153215215847e-07
1832,2.361114900395478e-05,2.841293591515637e-07
1833,2.2751404912924045e-05,3.3940032351242877e-07
1834,2.3242048655447434e-05,3.2857547926923303e-07
1835,2.2531194360908557e-05,4.5454157060476064e-07
1836,2.33613275213429e-05,3.6090428334745184e-07
1837,2.430878402037706e-05,3.5276506515913297e-07
1838,2.4272787300105847e-05,3.6799902503048543e-07
1839,2.1895203417443554e-05,3.4887459765542417e-07
1840,2.3132797764446877e-05,3.152995802224723e-07
1841,2.3125531356527063e-05,3.0818633778295634e-07
1842,2.389282769854617e-05,3.03213574248673e-07
1843,2.350182637655962e-05,2.6817375808896315e-07
1844,2.482750744547957e-05,3.3041140135026126e-07
1845,2.3381713617709465e-05,2.7677931768721464e-07
1846,2.4084248366307293e-05,2.616962087031993e-07
1847,2.4692335387044295e-05,3.133463035709383e-07
1848,2.4372999632760184e-05,3.2261339244499254e-07
1849,2.701523294490471e-05,2.1535096239588825e-07
1850,2.3052035430737305e-05,2.627341446626019e-07
1851,2.4945139216470125e-05,2.747460987606587e-07
1852,2.4500484073541884e-05,3.164125104149207e-07
1853,2.3782621269674564e-05,3.0695730046659264e-07
1854,2.3131617240323976e-05,2.556267046927019e-07
1855,2.4107293256747653e-05,3.6140242798410327e-07
1856,2.357847222356213e-05,2.8422769338121157e-07
1857,2.367824788507278e-05,3.9833112808196347e-07
1858,2.352292119667254e-05,3.195570483782717e-07
1859,2.2499768192574265e-05,3.76820834091518e-07
1860,2.318297811143566e-05,3.71667331133807e-07
1861,2.3103035232452385e-05,4.1641960812910384e-07
1862,2.4454505023641104e-05,3.081266664040072e-07
1863,2.4611993467260618e-05,3.376363606477639e-07
1864,2.474175516908872e-05,2.9439630111482984e-07
1865,2.437862940496416e-05,2.6452465068382836e-07
1866,2.334715657070774e-05,3.264826173854374e-07
1867,2.4310645130753983e-05,4.2219460638648343e-07
1868,2.4710238449188182e-05,3.571528823798076e-07
1869,2.4774581220299297e-05,3.2328897203726115e-07
1870,2.4546889108023606e-05,3.4117590264060027e-07
1871,2.594647332898603e-05,2.485355565795544e-07
1872,2.82942912690487e-05,3.4893148970205345e-07
1873,2.694480235732044e-05,3.310260554556521e-07
1874,2.7689326543622883e-05,4.480956974362016e-07
1875,2.7299123075863463e-05,3.558789769542159e-07
1876,2.7892685466213152e-05,4.4377748054102995e-07
1877,2.7294210667605512e-05,3.9953912733814434e-07
1878,2.6071350475831423e-05,3.8589776241160223e-07
1879,2.6424664724800095e-05,4.4292607981333276e-07
1880,2.8336716695775976e-05,3.8699612137094164e-07
1881,2.9624092121594003e-05,3.2352436463156664e-07
1882,2.9720954216827522e-05,3.627184841370479e-07
1883,2.915806226155837e-05,3.690493812769091e-07
1884,2.921515010712028e-05,3.6837469252759547e-07
1885,2.9382429829638568e-05,3.4870889153992835e-07
1886,2.9132226245565107e-05,3.3106268348959134e-07
1887,2.9009317131567514e-05,3.499503735682197e-07
1888,2.9781233479297953e-05,2.7011018555178623e-07
1889,2.880459328480356e-05,3.0323261945852664e-07
1890,2.985785295095411e-05,3.8212073860677265e-07
1891,2.969302931887796e-05,3.8691515413802335e-07
1892,2.9892654538343777e-05,3.3348485750650525e-07
1893,3.0445980200966005e-05,2.7651290768204717e-07
1894,2.9272540132296854e-05,3.4784497415785154e-07
1895,2.9982932119310135e-05,4.008397169741329e-07
1896,3.035790450667264e-05,3.0664551520231953e-07
1897,3.0130519007798284e-05,3.431934256781233e-07
1898,3.161209656354913e-05,3.321454187243944e-07
1899,3.211246598766593e-05,3.432626058952337e-07
1900,3.072947743021359e-05,3.711603095979399e-07
1901,3.1280170787795214e-05,3.0067416734169683e-07
1902,2.9502948791559902e-05,3.7170848710132987e-07
1903,3.097296303167241e-05,3.0079227730794855e-07
1904,3.318723611300811e-05,3.5687511257265214e-07
1905,3.277701262049959e-05,2.88486424970813e-07
1906,3.453342469583731e-05,3.606073395445719e-07
1907,3.137237240480317e-05,3.4148480487772304e-07
1908,3.263274311393616e-05,3.3741241534102073e-07
1909,3.1107511176742264e-05,3.0860516808672855e-07
1910,3.1720206834506826e-05,3.628678335587665e-07
1911,3.060332437598845e-05,2.559099931964681e-07
1912,3.375548612893908e-05,2.802668541690423e-07
1913,3.281596059423464e-05,3.287853562738974e-07
1914,3.254952207498718e-05,3.1072891992778295e-07
1915,3.528573711264471e-05,2.721356002766129e-07
1916,3.7198051359155215e-05,3.032539466207851e-07
1917,3.3523263709867024e-05,3.443457332608091e-07
1918,3.312326248305908e-05,2.664839193755597e-07
1919,3.3388580504833953e-05,3.397695975682069e-07
1920,3.45490661857184e-05,3.013748166580399e-07
1921,3.5154208262611064e-05,2.968516916723729e-07
1922,3.6175492368784035e-05,3.5045193413907327e-07
1923,3.416636832298536e-05,3.386487454903886e-07
