year,en_ADP été_NOUN,en_ADP eté_NOUN,en_ADP gaieté_NOUN
1800,1.2935093081978266e-05,6.602745727946058e-08,5.65949598296811e-08
1801,9.950962009952491e-06,5.47671992201515e-08,8.810375362600098e-08
1802,1.2406585824464855e-05,2.6854081625060644e-08,5.370816325012129e-08
1803,1.4112654355358245e-05,3.51061064662872e-08,5.851017803593095e-08
1804,1.132849257601265e-05,2.1010732487170003e-07,6.673997887673977e-08
1805,1.1644426933798968e-05,4.264316477708974e-08,8.812921237222326e-08
1806,8.532622075563268e-06,5.187004337159351e-08,2.0171682990621775e-08
1807,5.64551183401818e-06,5.978605921441726e-08,4.27043254092041e-08
1808,8.563493508972897e-06,3.852325836106729e-08,1.8128591250388126e-07
1809,1.2530842525393382e-05,2.2590305404079913e-08,3.840352036377226e-08
1810,7.29183494740937e-06,2.8081521552536515e-08,4.44624070894406e-08
1811,1.3518158084480092e-05,6.26769192102472e-08,8.273353557797236e-08
1812,7.774911978231103e-06,6.134579066952028e-08,4.5342538612658245e-08
1813,7.732869335086434e-06,3.450890040390675e-08,3.163315653864629e-08
1814,5.827646134548559e-06,2.8320094713762956e-08,1.0384034254684593e-07
1815,7.91095655472418e-06,1.6183340889597275e-08,4.045835311217161e-08
1816,1.1539349770828267e-05,2.3176038865813098e-08,4.8669683394564345e-08
1817,8.679568878733335e-06,2.179622782261248e-08,8.251429051142622e-08
1818,7.337484504432723e-06,2.7418707526649655e-08,8.464036227451288e-08
1819,4.7635531075229665e-06,2.898294093611753e-08,3.001804671498576e-08
1820,6.70812198677595e-06,3.0852850940732424e-08,5.814575843032799e-08
1821,4.96624565471393e-06,9.861488514673056e-09,1.065040748926549e-07
1822,5.050905258485727e-06,2.0051231786055723e-08,6.015369535816717e-08
1823,5.30206131088562e-06,1.4824030891702478e-08,7.906149335212831e-08
1824,4.896877072724237e-06,2.6947560627377243e-08,6.905312233129735e-08
1825,5.738507041996854e-06,1.1447076175841175e-08,5.459374818883589e-08
1826,6.471225958648574e-06,8.807984230863042e-09,6.517908701653141e-08
1827,5.86402919111606e-06,8.295545916858771e-09,4.7929820112813104e-08
1828,5.697833614703995e-06,1.284122136402388e-08,7.796455747666187e-08
