year,en_ADP âge_NOUN,en_ADP age_NOUN,en_ADP gages_NOUN
1800,4.2100364225916564e-06,1.19478254401173e-07,5.65949598296811e-08
1801,5.441002031147946e-06,4.0480102825313224e-08,1.1905912700171939e-08
1802,4.701701982412487e-06,2.9091921760482364e-08,9.622712582313397e-08
1803,5.601374141406268e-06,6.4361191931539e-08,2.5354410126965377e-08
1804,5.465262347570388e-06,6.673997310358004e-08,3.213406074564773e-08
1805,6.021215085638687e-06,3.4114532976303735e-08,6.538618890772341e-08
1806,4.4752323447028175e-06,9.509507847837995e-08,3.458002950651462e-08
1807,4.714557690022048e-06,5.124519120158766e-08,4.555128185756985e-08
1808,4.844865998165915e-06,6.571614541428517e-08,6.798221985349073e-09
1809,5.209324172028573e-06,3.614448895739031e-08,2.25903047379461e-08
1810,5.553120900003705e-06,5.148278958699848e-08,3.2761775514700275e-08
1811,6.355439381877659e-06,4.011322829455821e-08,5.515568801683912e-08
1812,5.7131601352011785e-06,4.800974817698034e-08,3.467370746079723e-08
1813,5.426524694485124e-06,7.764502640839055e-08,2.8757416448144113e-09
1814,4.679108769778395e-06,1.1957373402537996e-07,1.321604372606089e-07
1815,5.9824419622600544e-06,9.979726955933188e-08,1.8880564667256294e-08
1816,4.704736056737602e-06,2.7811246638975717e-08,2.3176038865813098e-09
1817,5.699713710782817e-06,6.227493631882908e-08,3.113746771532533e-08
1818,5.396716915129218e-06,3.337929710411913e-08,8.344824209416402e-08
1819,5.5398818403773475e-06,3.726378050572521e-08,4.7614829412623294e-08
1820,5.395689186116215e-06,1.0917162995838225e-07,8.42520151422832e-08
1821,5.794610387965804e-06,1.6271455649530253e-07,2.2681422962023134e-08
1822,5.358691851142794e-06,3.709477880420309e-08,4.6117833107928163e-08
1823,4.653757059713826e-06,4.743689674402418e-08,4.249555374258307e-08
1824,5.1132997214153875e-06,4.968456579490521e-08,3.789500624407083e-08
1825,5.177600542083383e-06,8.012952967817455e-08,2.6416328680056722e-08
1826,5.237227469478967e-06,3.5231937256519075e-08,7.839106075380187e-08
1827,4.344100943853846e-06,5.622536392024813e-08,7.742509211539073e-08
1828,4.391697984829079e-06,6.51233387216621e-08,6.145441489024961e-08
1829,4.560072284220951e-06,4.9724419248775575e-08,6.258418494553553e-08
1830,4.086021363036707e-06,3.6528926106171866e-08,2.7135772739939057e-08
1831,3.872855813824572e-06,7.639691101957169e-08,4.053713453799901e-08
1832,4.5108918129699305e-06,4.7354892895867806e-08,2.705993829010822e-08
1833,4.610284122463781e-06,1.0888610679771205e-07,8.108539617524002e-09
1834,3.896233010891592e-06,4.480574977705487e-08,3.9205030333278046e-08
1835,4.853990049014101e-06,5.142899794918776e-08,3.327758690829796e-08
1836,4.899426585325273e-06,7.728862810862935e-08,3.8980351835249394e-08
1837,4.727886789623881e-06,6.192522983283766e-08,6.470838798122713e-08
1838,4.5106708057574e-06,7.258986212121954e-08,4.860364644088122e-08
1839,4.505306606006343e-06,8.11011120482874e-08,9.64823572147111e-08
1840,4.551779511530185e-06,7.516232763959962e-08,8.471685930544481e-08
1841,4.6041755012993235e-06,9.117178922934954e-08,2.5040138851295524e-08
1842,4.3154268496437e-06,6.976595834373711e-08,2.4619332661401927e-07
1843,4.632199761545053e-06,6.084118464588784e-08,9.746403195620701e-08
1844,4.046716185257537e-06,5.817875081692847e-08,3.787107161201675e-08
1845,4.081378847331507e-06,6.696273535666819e-08,4.4083801165051284e-08
1846,4.122154223296093e-06,9.015932223022105e-08,6.322861167973315e-08
1847,4.080513008375419e-06,5.716817241818717e-08,9.222412700182758e-08
1848,3.5801235753751826e-06,6.677534170052013e-08,2.172209789819135e-08
1849,3.713756768775056e-06,7.457679385147742e-08,3.351765798242923e-08
1850,3.661305527202785e-06,7.535785506718184e-08,1.3917442220900966e-07
1851,3.5117193419864634e-06,6.320449852381671e-08,6.642921590582773e-08
1852,4.030027412227355e-06,1.0547083917344935e-07,4.101643469311966e-08
1853,3.882950295519549e-06,8.480143276479168e-08,3.4040010810088006e-08
1854,4.1134076127491426e-06,9.144369528257812e-08,4.312401441497471e-08
1855,3.97330359191983e-06,6.63367138997728e-08,2.2289135870323662e-08
1856,4.294478458177764e-06,8.024643349813232e-08,8.128186834710505e-08
1857,4.201514911983395e-06,8.396195760873582e-08,3.5635014938861787e-08
1858,3.6208309666108107e-06,9.542668594209047e-08,3.52344677878591e-08
1859,3.590491360228043e-06,4.735721281790006e-08,3.513599722282379e-08
1860,3.6782250845135422e-06,5.81302364022207e-08,2.197048232233101e-08
1861,3.5539503642212367e-06,4.998921571131021e-08,2.971057178058345e-08
1862,3.514541504046065e-06,6.460720497480921e-08,3.298130124562704e-08
1863,3.601621074267314e-06,7.042415417490844e-08,6.592899381985262e-08
1864,3.806055019595078e-06,9.253824750921069e-08,2.3014694150447212e-08
1865,3.691578058351297e-06,4.895118116410302e-08,5.2245972881337366e-08
1866,3.5786583794106264e-06,6.909170474633797e-08,2.2868380966656332e-08
1867,3.2596335586276837e-06,9.60856638698715e-08,4.70722731904516e-08
1868,3.302799768789555e-06,8.644779669886304e-08,2.1735445443482604e-08
1869,3.4326255899941316e-06,8.741499435416245e-08,3.076617005604021e-08
1870,3.4083186619682238e-06,4.931282004960735e-08,1.1468097138589428e-08
1871,2.677598786249291e-06,6.691341591924527e-08,3.9298356568906456e-08
