year,en_ADP air_NOUN,en_ADP guerre_NOUN
1800,9.023752340908686e-07,7.76608612795826e-06
1801,4.4528114284680953e-07,8.917529157770332e-06
1802,2.506380951672327e-07,9.853210030996706e-06
1803,4.5442902552039754e-07,7.809157978044823e-06
1804,3.8808059343864443e-07,6.651750936725875e-06
1805,2.7575912708854844e-07,7.743999049125705e-06
1806,3.7749865100522584e-07,6.970757567614783e-06
1807,2.0498076924724273e-07,7.342297067225445e-06
1808,2.062127402169267e-07,6.836745342297945e-06
1809,2.4397530085096264e-07,8.674676791997626e-06
1810,1.7550951270095538e-07,5.459515705297235e-06
1811,2.0808736911348547e-07,7.98253222455969e-06
1812,1.3869483117545656e-07,5.134375896886922e-06
1813,2.0992913585260453e-07,5.714098733733408e-06
1814,1.3530711839848664e-07,9.008937013277318e-06
1815,2.8320846801044297e-07,7.09100095264148e-06
1816,1.7150268938337376e-07,4.8020751819422e-06
1817,1.3077736582545185e-07,8.229632840084378e-06
1818,2.2888661255215936e-07,8.520065421180334e-06
1819,1.3870406800897683e-07,9.034396498464048e-06
1820,1.8511710120350244e-07,9.295014933741186e-06
1821,8.776724769177235e-08,7.988791367097292e-06
1822,1.0426640528748976e-07,9.257653800887056e-06
1823,9.586206450862278e-08,7.90417288953904e-06
1824,1.4905369027928828e-07,7.362578799074981e-06
1825,1.1270966804310945e-07,6.334635600069305e-06
1826,9.776862741617265e-08,9.165588380710687e-06
1827,1.6222400611720644e-07,7.257680863403948e-06
1828,1.4033620721054518e-07,7.0782648435852025e-06
1829,1.3717081515096652e-07,7.421798727591522e-06
1830,1.8786305133744463e-07,6.778725037293043e-06
1831,1.7306238930814288e-07,7.773774996167049e-06
1832,1.1094574858816486e-07,6.863753242214443e-06
1833,1.4247862734073635e-07,6.204191322467523e-06
1834,1.474855890748472e-07,7.1045114964363165e-06
1835,1.1722786297241328e-07,7.559306595794624e-06
1836,1.9624590608113834e-07,7.727518095634878e-06
1837,9.253994626146067e-08,8.524807526555378e-06
1838,1.7484688585867048e-07,9.357148883282207e-06
1839,1.3143973565110656e-07,7.420751899189781e-06
1840,1.1720227499623093e-07,7.669742444704752e-06
1841,1.4703056194775854e-07,5.987161330267554e-06
1842,1.1739464067517247e-07,7.807750080246478e-06
1843,1.9729083622355148e-07,5.605068054137519e-06
1844,1.5203314940315238e-07,6.43424027657602e-06
1845,1.9419193170167048e-07,6.837453383923275e-06
1846,1.0362467706137579e-07,6.975638370931847e-06
1847,9.977463566457345e-08,5.755108759331051e-06
1848,7.562508130831702e-08,6.674315955024213e-06
1849,4.776266493422554e-08,5.476785645441851e-06
1850,1.0726613819400654e-07,5.374848115025088e-06
1851,9.28719168236114e-08,5.519429578271229e-06
1852,1.295598495154593e-07,4.608815288520418e-06
1853,1.8632426690423642e-07,5.799342943646479e-06
1854,1.5327209934579145e-07,5.788489943370223e-06
1855,1.645150575768639e-07,5.863103979208972e-06
1856,1.0457922500206607e-07,5.513706582860323e-06
1857,1.649950125415245e-07,5.2481104830803815e-06
1858,1.1793758891709416e-07,7.422727776429383e-06
1859,9.522363986214089e-08,5.908448656555265e-06
1860,2.2016254042078742e-07,5.49079004485975e-06
1861,1.787350306092783e-07,6.035018941474846e-06
1862,2.466820419877447e-07,5.58423107577255e-06
1863,1.4883970733681195e-07,5.751305707235588e-06
1864,9.829192038068868e-08,6.1195114540169016e-06
1865,8.425251213362017e-08,5.40110386282322e-06
1866,1.7954111974916032e-07,5.2363725444593e-06
1867,1.465549051005155e-07,4.950838501827093e-06
1868,1.1262912769094413e-07,5.446705017675413e-06
1869,1.3771524309813543e-07,4.778034963237587e-06
1870,1.2614906896857292e-07,4.580931545206113e-06
1871,1.115223595693493e-07,4.928226189804263e-06
1872,1.5420715726577328e-07,5.407530807133298e-06
1873,7.302925214558442e-08,4.323092525737593e-06
1874,1.69081439682639e-07,4.2616889004420955e-06
1875,1.0241533254795598e-07,4.007357802038314e-06
1876,1.6566080840441089e-07,4.081060069438536e-06
1877,1.0699732011509866e-07,4.281129804439843e-06
1878,1.6547102504871347e-07,4.481607902562246e-06
1879,6.659164597522249e-08,4.548392553260783e-06
1880,1.1167052460514526e-07,4.954577434546081e-06
1881,1.1713813058422673e-07,4.740607892017579e-06
1882,1.0715170062347568e-07,4.502368028624915e-06
1883,1.131161653233903e-07,4.4216412788955495e-06
1884,1.7296446674919252e-07,4.41983593191253e-06
1885,1.4180398011376383e-07,4.4887406147609e-06
1886,1.0906354014350583e-07,4.871719738730462e-06
1887,8.161155939934162e-08,4.107346285309177e-06
1888,1.0715638998348709e-07,4.44286888523493e-06
1889,8.645888804892365e-08,4.534706022241153e-06
1890,1.7238036653655087e-07,3.880196800309932e-06
1891,2.42220368873447e-07,3.8780754039180465e-06
1892,1.1847488301519604e-07,3.9128053685999475e-06
