year,en_ADP août_NOUN,en_ADP goutte_NOUN
1800,3.229057028875104e-06,4.4018303668735825e-08
1801,1.5049074093553827e-06,4.5242470436690496e-08
1802,1.996153372374465e-06,7.832440473976021e-08
1803,1.7104474636653322e-06,8.776526527753958e-08
1804,1.3076091889274721e-06,2.9662210465630778e-08
1805,1.2736091719034448e-06,3.4114531644036106e-08
1806,2.616555661916209e-06,9.797675204481493e-08
1807,1.3323749712412791e-06,2.8469550716891945e-08
1808,1.8468503526491986e-06,1.0197332755979005e-07
1809,1.1746958179514877e-06,8.358412895148604e-08
1810,1.2706887915214793e-06,1.4040760554223652e-08
1811,4.424990692086794e-06,7.521229861140455e-09
1812,1.2749255873245602e-06,1.8670457180292033e-08
1813,1.2538233491454776e-06,8.052076339026826e-08
1814,2.108273719159115e-06,7.552024783308298e-08
1815,1.6722786497780362e-06,6.47333635583891e-08
1816,1.610734670975944e-06,3.0128852301913867e-08
1817,1.7250157569037583e-06,2.16405396713526e-07
1818,1.7464524759702726e-06,5.96058882251782e-08
1819,1.4108480659302813e-06,1.8631890696951814e-08
1820,1.4109246251337026e-06,7.594547923872597e-08
1821,1.8588905845717818e-06,5.226588939422072e-08
1822,2.080315269381572e-06,3.709477880420309e-08
1823,1.6444790915670637e-06,2.668325471688604e-08
1824,1.1781136777244683e-06,6.400045737819937e-08
1825,2.1414837760858063e-06,3.258013947515792e-08
1826,2.0584259203815236e-06,7.398706713956926e-08
1827,2.2066152070010503e-06,2.6730091917670507e-08
1828,1.4033620914233325e-06,1.3758452155343548e-08
1829,1.4334350559863651e-06,4.115124596637543e-08
1830,1.4768122404973383e-06,2.400472176589119e-08
1831,2.106371908894289e-06,7.795603274018958e-09
1832,1.6073603603672382e-06,4.464889968858188e-08
1833,1.712060280212313e-06,6.02348677603004e-08
1834,1.9070446235502914e-06,1.213489042584115e-08
1835,1.572365945889942e-06,2.8739734148075513e-08
1836,1.6492720149585693e-06,5.040562456315456e-08
1837,1.7241653935684553e-06,2.1569462660409044e-08
1838,1.4461162649581638e-06,2.5879863585487328e-08
1839,1.8058980764124044e-06,2.3771015378315496e-08
1840,1.6026136968605442e-06,2.6115722917552375e-08
1841,1.8253619415986577e-06,4.494383887276854e-08
1842,1.7783610477550837e-06,3.4882980060046975e-08
1843,1.8606769316420468e-06,2.4218335781256428e-08
1844,1.798052654322646e-06,2.085653250105679e-08
1845,2.0228325858795415e-06,2.3436957263811564e-08
1846,1.7586922140822026e-06,2.5759806732139623e-08
1847,1.936167237204245e-06,1.941560512364049e-08
1848,1.563991084196914e-06,2.252662056889676e-08
1849,2.0973675063373776e-06,9.217356655710773e-09
1850,1.806551837901793e-06,4.480737203493845e-08
1851,2.226346261124945e-06,2.644269869733762e-08
1852,2.215538575711662e-06,3.515694602107544e-08
1853,2.3159151538720835e-06,1.911018188138769e-08
