year,en_ADP âges_NOUN,en_ADP ages_NOUN,en_ADP gage_NOUN
1800,1.2576657937302116e-08,3.144164484325529e-09,7.294461696893961e-07
1801,2.8574191901498125e-08,0.0,7.953149983030983e-07
1802,1.1189200677108602e-08,0.0,9.108009635383496e-07
1803,3.900678446910888e-09,0.0,9.400634854994649e-07
1804,7.4155526164076946e-09,0.0,5.910195783442873e-06
1805,0.0,2.842877711017877e-09,2.245873474748805e-06
1806,2.305335300434308e-08,0.0,1.3515028740584967e-06
1807,5.693910232196231e-09,0.0,2.0782772480743006e-06
1808,3.3991110370834576e-08,0.0,2.2524774934140623e-06
1809,0.0,0.0,2.2612896373175317e-06
1810,0.0,0.0,2.6256223009113455e-06
1811,5.0141535368197765e-09,0.0,1.8727864024015162e-06
1812,5.067695596494559e-08,0.0,1.053547293849988e-06
1813,2.8757416448144113e-09,0.0,1.3602258377432008e-06
1814,0.0,0.0,8.5589616105608e-07
1815,0.0,0.0,7.525253522544517e-07
1816,6.952811659743929e-09,0.0,4.890144396085816e-07
1817,1.8682481339737933e-08,0.0,8.920884511098848e-07
1818,2.384235475716423e-09,0.0,1.2612605360118323e-06
1819,1.035105001712111e-09,0.0,1.1479313934970037e-06
1820,1.779972080839798e-08,3.5599443393152796e-09,1.0584901701804483e-06
1821,1.8736827200882544e-08,0.0,2.321394259929832e-06
1822,1.2030739071633434e-08,0.0,1.2632275740998011e-06
1823,4.941343334508019e-09,0.0,1.3084677448205184e-06
1824,1.0105335235266466e-08,8.421112696055388e-10,1.8400130761264677e-06
1825,2.641632912414593e-09,8.805443041381977e-10,1.4432120849505736e-06
1826,1.6735169694470642e-08,0.0,1.820610314062776e-06
1827,1.6591091167583727e-08,0.0,1.266453338644169e-06
1828,5.503380862137419e-09,9.172301251858528e-10,1.2024886615336072e-06
1829,1.457439946506156e-08,8.57317605795771e-10,1.6340473658615906e-06
1830,1.2524203008013046e-08,0.0,1.213804063482371e-06
1831,1.5591206548037917e-08,0.0,1.2893927081591983e-06
1832,1.2176972319366541e-08,0.0,9.579218591682093e-07
