year,son_DET amas_NOUN,son_DET gamma_NOUN
1800,0.0,0.0
1801,1.904946067554647e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,2.3404069793286908e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,1.421438833304478e-08,0.0
1806,1.729001475325731e-08,0.0
1807,0.0,0.0
1808,2.039466551195801e-08,0.0
1809,1.581321384946932e-08,0.0
1810,9.360507036149102e-09,1.1700633351097167e-08
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,0.0
1813,4.026038169513413e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,1.2454987263765815e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,2.070210003424222e-09,0.0
1820,4.390598107306687e-08,0.0
1821,7.691961201317099e-08,0.0
1822,5.213320264374488e-08,0.0
1823,7.906149512848515e-09,0.0
1824,3.368444936313608e-07,0.0
1825,1.2327619813845558e-08,0.0
1826,1.409277530228792e-07,0.0
1827,4.977327350275118e-08,0.0
1828,2.1830076946116606e-07,0.0
1829,2.571952872898464e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,1.042526565075974e-08,0.0
1834,2.42697808516823e-08,0.0
1835,1.1117739262545001e-07,0.0
1836,5.981467410265395e-08,0.0
1837,3.75726116885744e-08,0.0
1838,7.195864526465812e-08,0.0
1839,1.3982949909063791e-08,0.0
1840,4.0766007458614695e-08,0.0
1841,1.7977535904378783e-08,0.0
1842,3.4882980060046975e-08,0.0
1843,1.4176587015413133e-08,0.0
1844,1.097712254427563e-09,0.0
1845,8.37034175305007e-09,0.0
1846,7.025401593807601e-09,0.0
1847,2.1572894581822766e-08,0.0
1848,2.574470947536156e-08,0.0
1849,9.217356655710773e-09,0.0
1850,1.765138968323754e-08,0.0
1851,1.5478653025979838e-08,0.0
1852,1.9531636752390114e-08,0.0
1853,6.330247970254277e-08,0.0
1854,3.4810952342922974e-08,0.0
1855,9.552486801567284e-09,0.0
1856,1.3978411317339123e-08,0.0
1857,1.5620829074691756e-08,0.0
1858,3.9149408159744326e-09,0.0
1859,1.3748867822016564e-08,0.0
1860,1.327383358784573e-08,0.0
1861,2.8295781717702084e-08,0.0
1862,1.536115412648087e-08,0.0
1863,1.9479021062807078e-08,0.0
1864,6.233146443435089e-09,0.0
1865,9.413688495385486e-09,0.0
1866,6.3252967308358166e-09,0.0
1867,4.0278337110066786e-08,0.0
1868,1.2102691471227445e-07,0.0
1869,7.032267745898935e-08,0.0
1870,1.204150201772336e-08,0.0
1871,2.1242354542039266e-09,0.0
1872,3.8702971494330995e-08,0.0
1873,7.003625057677709e-08,0.0
1874,2.5093358502203955e-08,0.0
1875,1.2587359599081083e-08,0.0
1876,5.38095328295185e-08,0.0
1877,1.5462040536817767e-08,0.0
1878,3.865016834359025e-08,0.0
1879,2.627009876299269e-08,0.0
1880,8.984984756210679e-09,0.0
1881,2.370652524286143e-08,0.0
1882,5.989846840748214e-09,0.0
