year,son_DET an_NOUN,son_DET gant_NOUN
1800,1.1947824818392405e-07,9.432493763839034e-08
1801,1.5715804924099075e-07,5.9529565277216534e-08
1802,1.1860552717735118e-07,1.2308120744819462e-07
1803,1.4042442475492578e-07,6.631153581793114e-08
1804,9.887403673580764e-08,2.2988213288499537e-07
1805,1.7910129024301114e-07,1.3361525930122298e-07
1806,1.0950343032334331e-07,5.76333825108577e-08
1807,2.021338083579849e-07,7.117387923472052e-08
1808,1.4049658636494655e-07,1.246340701754889e-07
1809,9.713831272684104e-08,1.197286110254936e-07
1810,9.828532210320873e-08,1.9657065308820165e-07
1811,1.3036799018095735e-07,1.3788921648938413e-07
1812,1.0668832839400011e-07,8.001624962616916e-08
1813,8.914798788062228e-08,2.7319546802573313e-07
1814,1.2272040805783035e-07,1.888006266881348e-07
1815,1.7262230644909948e-07,2.1577788444915313e-08
1816,1.3442102897442965e-07,5.5622493277951435e-08
1817,1.1053801518556838e-07,1.4011860438589707e-07
1818,1.7762553694566918e-07,1.6689648418832803e-07
1819,1.7079232339511918e-07,2.2047736081276526e-07
1820,1.0798497562802822e-07,1.2341141086835705e-07
1821,1.400331290923873e-07,1.5285306176338054e-07
1822,1.1128433641260926e-07,1.373509377344817e-07
1823,1.462637607696493e-07,1.6009953185402992e-07
1824,1.3221146666353434e-07,1.70106474683962e-07
1825,1.5673689013340208e-07,1.778699469934253e-07
1826,1.1538459276927426e-07,1.4533173953168443e-07
1827,1.4747636600809244e-07,1.43789463891153e-07
1828,1.2199160820403065e-07,2.5040381501639786e-07
1829,8.74463982336593e-08,1.577464416868679e-07
1830,6.053364831615227e-08,1.4611569554290327e-07
1831,7.639690879912564e-08,2.806417001011141e-07
1832,7.71208219507713e-08,2.3542146287969246e-07
1833,1.1583628245492861e-07,1.5174553880115127e-07
1834,1.0641365477681575e-07,2.3242982649662736e-07
1835,1.550433026409337e-07,2.858847238940143e-07
1836,8.468145001883087e-08,3.0848244136905123e-07
1837,9.393152344827627e-08,2.6231248007047014e-07
1838,1.1677499323070606e-07,2.5690499527719624e-07
1839,1.1326189996996305e-07,2.349135608259445e-07
1840,9.427138925044432e-08,2.401372498073151e-07
1841,6.741575964142044e-08,1.5088289728737436e-07
1842,7.714504635103481e-08,2.508891245867062e-07
1843,7.560846043697111e-08,1.9906289866478133e-07
1844,8.232841669508772e-08,2.475341034369194e-07
1845,7.812318997268974e-08,2.583645562492798e-07
1846,6.557041376531458e-08,2.722343248606762e-07
1847,7.065122886729114e-08,2.006279231636654e-07
1848,6.75798647598036e-08,1.761903547503607e-07
1849,6.703532084983976e-08,2.1367507940794894e-07
1850,6.992665557703504e-08,1.439267167668845e-07
1851,6.384944617465749e-08,1.7026518150942138e-07
1852,6.64075603395986e-08,2.500049416376271e-07
1853,1.361600512339578e-07,2.0065691619386428e-07
1854,8.78067258902604e-08,1.7301563159932698e-07
1855,8.384960636931282e-08,2.6693893673268576e-07
1856,6.885661679723043e-08,1.724004039527216e-07
1857,6.882927949813933e-08,2.47004359243963e-07
1858,7.780944633051234e-08,1.8302348414600544e-07
1859,7.027199155906771e-08,2.3474919275123796e-07
1860,6.316513795345813e-08,2.764619201900409e-07
1861,5.4233584068086316e-08,2.032580419530916e-07
1862,4.9246050931595065e-08,2.0602017536397454e-07
1863,6.842630428938179e-08,2.1077299605654076e-07
1864,6.376988459511068e-08,1.7069231428301634e-07
1865,5.64821325821363e-08,2.7958654413851036e-07
1866,5.936047775545461e-08,1.8927234357590805e-07
1867,8.589476685472164e-08,2.576842987878081e-07
1868,1.0027944497004171e-07,2.069807294446946e-07
1869,5.71371735480497e-08,2.622449768452384e-07
1870,7.511604183108034e-08,2.1445341946702e-07
1871,7.22240054429335e-08,2.3154165762484524e-07
1872,6.228759585891197e-08,2.013763998887086e-07
1873,5.028243821314504e-08,2.3225696632600545e-07
1874,6.03435516555173e-08,2.3599706189258995e-07
1875,6.122034090783046e-08,2.3401046211901644e-07
1876,6.227395332736307e-08,2.061690977939179e-07
1877,6.061119739442233e-08,2.238903404894188e-07
1878,6.52221585073498e-08,1.9808210538485582e-07
1879,5.254019630474005e-08,2.3765275924958473e-07
1880,6.096953786283166e-08,1.970278753482546e-07
1881,6.414706832380546e-08,2.210284901771331e-07
1882,6.988154366283084e-08,1.8701631643303074e-07
1883,6.192952090033899e-08,2.0601045136459106e-07
1884,5.0172896060018957e-08,1.9607040080416027e-07
1885,6.832373844467554e-08,2.1077229228616545e-07
1886,4.0656823463436353e-08,1.413308530207047e-07
1887,5.8760320276185496e-08,1.867272487743321e-07
1888,7.355113318396889e-08,1.826097104640212e-07
1889,3.696430755928404e-08,1.8356850206568964e-07
1890,4.653614438243636e-08,1.8352282538103282e-07
1891,4.398211705947119e-08,1.77203312801133e-07
1892,5.955086601616699e-08,1.4041467011338682e-07
1893,4.3108915770417866e-08,1.4533863185173246e-07
1894,5.6713853835432815e-08,2.1425233853733516e-07
1895,4.333402414680165e-08,1.5708583167572954e-07
1896,4.8945341502015793e-08,1.2973463814347497e-07
1897,3.7290966981018414e-08,1.5499058747536765e-07
1898,2.4330925163518202e-08,1.2901048951352578e-07
