year,en_ADP an_NOUN,en_ADP gants_NOUN
1800,4.904896533375336e-07,5.65949598296811e-08
1801,5.643402785082685e-07,3.333655484993869e-08
1802,6.064546766992862e-07,2.4616241489638924e-08
1803,5.265915992147541e-07,7.80135707145746e-08
1804,3.6830580740776497e-07,8.404293083685843e-08
1805,4.918178508894755e-07,4.8328921309348516e-08
1806,4.3801370352980484e-07,4.3225035994964855e-08
1807,4.526658616832435e-07,5.693910232196231e-09
1808,5.483899125913183e-07,3.3991110370834576e-08
1809,5.421673359151669e-07,7.90660692473466e-08
1810,5.943921879136838e-07,3.510190182964834e-08
1811,5.515568854974617e-07,3.259199843341776e-08
1812,3.6807472891808857e-07,2.6672083208723052e-08
1813,4.658701489024253e-07,1.1502966579257645e-08
1814,5.286417530392384e-07,9.440030979135372e-09
1815,5.529308373386499e-07,3.506390555685357e-08
1816,5.400016984680178e-07,2.3176038865813098e-09
1817,5.433488123873786e-07,1.0898113522728181e-08
1818,6.115563999653517e-07,0.0
1819,4.896046665869846e-07,2.070210003424222e-09
1820,5.517913699293331e-07,7.119888678630559e-09
1821,5.581602378068595e-07,0.0
1822,5.323601897089247e-07,6.015369535816717e-09
1823,5.33665093671587e-07,1.2847492847356534e-08
1824,5.793725446068265e-07,3.03160057057994e-08
1825,5.60906715518783e-07,9.68598712347557e-09
1826,4.6241916806799566e-07,2.642395191543301e-09
1827,6.286180035952604e-07,2.027800150017356e-08
1828,5.851928263078676e-07,6.420610709767516e-09
1829,5.735454887134672e-07,1.7146351893870815e-08
1830,3.7781346229337487e-07,1.878630406793036e-08
1831,3.80425425827724e-07,3.897801548191637e-08
1832,3.368962461225422e-07,1.420646782435142e-07
1833,6.544750054127135e-07,7.066013552048389e-08
1834,4.424567656702294e-07,7.841006066655609e-08
1835,4.4092801942952065e-07,1.3311034763319185e-07
1836,3.8913142974550397e-07,3.965242711956307e-08
1837,4.167776712638016e-07,5.218418053232199e-08
1838,3.888291648657116e-07,4.102905393210676e-08
1839,4.1669192585302994e-07,7.061390050466798e-08
1840,3.471480304884089e-07,7.707323135264232e-08
1841,3.7239181560622114e-07,1.0850727250044656e-07
1842,5.138531156134718e-07,1.0531976357697204e-07
1843,3.378753090643727e-07,7.797122947295065e-08
1844,3.485236398370617e-07,1.0702694197561868e-07
1845,3.5546052618018464e-07,8.760957825870719e-08
1846,3.2843752117983627e-07,6.439951505399222e-08
1847,4.0395245015645287e-07,6.525800699819229e-08
1848,3.1456817606301257e-07,6.757986170669028e-08
1849,4.725990050413742e-07,9.971503800443315e-08
1850,3.91725066606341e-07,9.504594800091581e-08
1851,4.456562066046388e-07,9.996630012665264e-08
1852,3.359441413941511e-07,1.3281513133733824e-07
1853,5.482233342846143e-07,1.0809196737682214e-07
1854,3.3044426805961535e-07,1.0495242008801142e-07
1855,4.1022623520348134e-07,1.4594077413221385e-07
1856,3.748285001270446e-07,8.024642994541864e-08
1857,3.656250328054611e-07,7.56633937726292e-08
1858,3.0976968945495287e-07,1.2576747110415454e-07
1859,3.5288760402707453e-07,1.3596103087820666e-07
1860,3.748713676143822e-07,9.062824091188304e-08
1861,3.2870266553075567e-07,1.0799556804386157e-07
1862,3.6189069990699707e-07,9.758850438856825e-08
1863,3.995696622460798e-07,9.140156009834755e-08
1864,3.452204173637341e-07,8.294879449977088e-08
1865,3.8266645119300335e-07,9.601962602800995e-08
1866,3.824371657135117e-07,7.97960524323571e-08
1867,3.663872796266787e-07,9.657095034754093e-08
1868,4.5249248004086695e-07,6.520633633044781e-08
1869,3.8775141508740063e-07,1.4650557034201483e-07
1870,4.157185449216172e-07,8.945116292125022e-08
1871,3.887350770170883e-07,9.240424247991541e-08
1872,5.049528292166983e-07,1.2034205099098472e-07
1873,5.453249966036466e-07,1.0056487553811166e-07
1874,4.451083851497728e-07,1.0515311998915422e-07
1875,3.804815484897972e-07,8.296214559777582e-08
1876,4.885179869518197e-07,8.524880712457161e-08
1877,3.525345166899285e-07,1.0637883463004982e-07
1878,5.398945350232331e-07,7.971596716060958e-08
1879,4.1909971393305767e-07,1.1790997689331562e-07
1880,4.3577175246056754e-07,1.0974517294926045e-07
1881,4.2741470163143447e-07,1.01798612206494e-07
1882,4.199548004901743e-07,8.785108462916469e-08
1883,4.069654357952146e-07,7.330433504648681e-08
1884,3.366865382048445e-07,1.280729264863112e-07
1885,4.202554444443507e-07,8.443782917311182e-08
1886,4.491610913204269e-07,9.809264867044476e-08
1887,3.3166937818407405e-07,6.920659956222153e-08
1888,4.7237579248182726e-07,9.70114015785839e-08
1889,3.2265454574798014e-07,7.455512474052739e-08
1890,3.454161583427151e-07,6.161123167203186e-08
1891,3.5823116739663874e-07,5.609313546983685e-08
1892,3.2658949455921515e-07,6.958048714977849e-08
1893,2.7528121826492224e-07,7.082179109829667e-08
1894,3.610781962315457e-07,8.885170643679885e-08
1895,2.8167116128408054e-07,9.088108043897591e-08
1896,2.954411550959435e-07,4.65865284127176e-08
1897,3.018237670904256e-07,1.0895954005718522e-07
1898,2.8744442459593955e-07,5.545187775624072e-08
1899,2.802482299557596e-07,6.522542150833033e-08
1900,2.678583330695261e-07,8.617148239409289e-08
1901,2.732893396584224e-07,9.389081156996326e-08
1902,2.7595794294121845e-07,5.352209342390779e-08
1903,2.9323195738228947e-07,6.588268774976314e-08
1904,2.7410588554488413e-07,4.568431322127253e-08
1905,2.342984628533884e-07,4.231822359201942e-08
1906,2.453775985733486e-07,5.96725371337925e-08
1907,2.7617068942831224e-07,5.451413898072133e-08
1908,2.1462770916080842e-07,5.35341406759926e-08
1909,2.381925914285432e-07,5.3909637642846064e-08
1910,1.9345826018923873e-07,1.3681025734513241e-07
1911,2.745313101293334e-07,6.544060227042792e-08
1912,2.3181924374560126e-07,6.720153322703482e-08
1913,2.2484676126532932e-07,1.0128710670187502e-07
1914,2.276892898667171e-07,7.768223042603495e-08
1915,2.0969756231448144e-07,6.715034572835066e-08
1916,2.64797828997132e-07,1.3075079152713442e-07
1917,2.0836206238161736e-07,9.102132025873289e-08
1918,2.2857889092620098e-07,1.1830967849846274e-07
1919,2.1822600482224175e-07,1.2062281484759296e-07
1920,2.4761197181533134e-07,7.950843183834877e-08
1921,2.1203692424087706e-07,5.6038331308627676e-08
1922,2.0363102271048206e-07,8.484625624305409e-08
1923,2.2081171513477216e-07,1.0085150847771729e-07
1924,1.8950688063235077e-07,8.379555538340355e-08
1925,2.2106337516092367e-07,1.2537923055333522e-07
1926,2.5859040508890985e-07,1.2037828867050848e-07
1927,1.4493992472885964e-07,1.3379069230268215e-07
1928,2.1252436988028478e-07,1.1426040913420366e-07
1929,2.5511530887811773e-07,9.91496165170247e-08
1930,2.951512604321138e-07,9.87338708569041e-08
