year,en_ADP are_NOUN,en_ADP gare_NOUN
1800,5.65949598296811e-08,2.2009151834367913e-08
1801,5.9529563944948904e-08,7.143547975374531e-09
1802,6.713520406265161e-09,0.0
1803,4.4857801695386e-08,7.801356893821776e-09
1804,2.719036085174764e-08,2.4718509905596875e-08
1805,8.528633133053631e-09,0.0
1806,2.881669125542885e-08,2.881669125542885e-09
1807,1.1387820464392462e-08,4.555128185756985e-08
1808,5.211970233176544e-08,6.798221985349073e-09
1809,1.355418288717658e-08,0.0
1810,5.8503168531842675e-08,4.680253518074551e-09
1811,1.7549536934780008e-08,2.5070767684098882e-09
1812,3.467370746079723e-08,0.0
1813,1.150296680130225e-08,3.4508900625951355e-08
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,2.9669458667669346e-08,1.0788894222457657e-08
1816,1.1819780176836048e-07,2.3176038865813098e-09
1817,2.8023721343473085e-08,1.2454987263765815e-08
1818,1.9073883805731384e-08,3.5763532135746345e-09
1819,5.175525008560555e-08,1.449147024601416e-08
1820,1.542642635854463e-08,8.306536791735653e-09
1821,3.94459531705138e-09,2.9584463767662328e-09
1822,1.303330066093622e-08,2.0051231786055723e-09
1823,3.162459771832715e-08,9.882686669016039e-09
1824,1.0105335235266466e-08,2.5263338088166165e-09
1825,1.0566531427613768e-08,1.4969252504215547e-08
1826,1.0569580766173203e-08,2.642395191543301e-09
1827,3.2260455640198415e-08,1.935627302884768e-08
1828,1.1923991571904935e-08,3.668920500743411e-09
1829,1.0287811491593857e-08,2.8291481157793896e-08
1830,1.2524202563923836e-08,0.0
1831,1.4032085715598441e-08,2.0268567268999504e-08
1832,1.3529969256076413e-08,1.488296597074168e-08
1833,9.266902800675325e-09,1.1583628278799551e-08
1834,1.773560875939495e-08,2.333632664885954e-08
1835,1.5882484660778573e-08,2.2689263801112247e-09
1836,7.392825018825988e-09,1.8818100855355624e-08
1837,1.3219993100221927e-08,4.174734336004349e-09
1838,8.2058102535143e-09,1.0730675015224733e-08
1839,1.3982950020086093e-08,7.690622361167243e-09
1840,2.611572358368619e-08,9.554533164646273e-09
1841,2.3756030032018316e-08,5.778493683550323e-09
1842,1.341653010911159e-08,1.2074877098200432e-08
1843,1.1223130869097986e-08,1.1223130869097986e-08
1844,1.152597856046711e-08,7.683985892015244e-09
1845,1.1718478631905782e-08,7.812318791877715e-09
1846,7.025401593807601e-09,9.952652035849496e-09
1847,9.707802561820245e-09,3.020205241455187e-08
1848,2.735375304041554e-08,1.4642303369782894e-07
1849,1.3407064125559032e-08,2.513824526317876e-08
1850,3.4623880651452055e-08,3.6660580349234806e-08
1851,1.3543821175687754e-08,2.257303499675345e-08
1852,2.7344290387532055e-08,9.505396292297519e-08
1853,4.478948767427937e-08,7.226037723739864e-08
1854,1.2989161413123895e-08,5.455447649183043e-08
1855,2.4942604426314574e-08,1.204674724419874e-07
1856,1.6049286344355096e-08,1.5013848242428907e-07
1857,2.0990488902583593e-08,1.586490521732209e-07
1858,2.6425850618849722e-08,1.8595968309664812e-07
1859,1.680417205385254e-08,3.661272649502223e-07
1860,1.5562426014525954e-08,2.0917730514380395e-07
1861,2.075024119196911e-08,3.810498609979618e-07
1862,2.25899317307654e-08,2.5300724371124517e-07
1863,1.498386242859695e-08,3.526202276837864e-07
1864,2.1096803859421698e-08,5.839978555188807e-07
1865,1.1767110841276462e-08,3.323032010671412e-07
1866,2.578774882522339e-08,4.967790617205203e-07
1867,2.6690463172940326e-08,5.32353428894794e-07
1868,4.2482916740027576e-08,5.690734834473687e-07
1869,2.0510780074367574e-08,5.537910598985007e-07
1870,3.2110673231500186e-08,6.748975671655444e-07
1871,3.611200227737754e-08,1.2118763286217415e-06
1872,3.9912439575573444e-08,1.2161199220983576e-06
1873,3.890902905423488e-08,9.661411031203215e-07
1874,6.870800672853505e-08,1.5946231437524716e-06
1875,2.0025345548457807e-08,1.098533189747286e-06
1876,4.897271921322499e-08,1.004847648866658e-06
1877,2.535774612510977e-08,1.1194517048895847e-06
1878,4.5293163830617544e-08,1.2845141598716303e-06
1879,3.42122213892182e-08,7.813827254121719e-07
1880,3.850707597230496e-08,9.241698606388127e-07
1881,1.4642266066289267e-08,9.803345326631074e-07
1882,3.0614771162618126e-08,8.765142034405926e-07
1883,3.5388296737437486e-08,9.624352852455331e-07
