year,en_ADP âge_NOUN,en_ADP age_NOUN,en_ADP gage_NOUN
1800,4.2100364225916564e-06,1.19478254401173e-07,7.294461696893961e-07
1801,5.441002031147946e-06,4.0480102825313224e-08,7.953149983030983e-07
1802,4.701701982412487e-06,2.9091921760482364e-08,9.108009635383496e-07
1803,5.601374141406268e-06,6.4361191931539e-08,9.400634854994649e-07
1804,5.465262347570388e-06,6.673997310358004e-08,5.910195783442873e-06
1805,6.021215085638687e-06,3.4114532976303735e-08,2.245873474748805e-06
1806,4.4752323447028175e-06,9.509507847837995e-08,1.3515028740584967e-06
1807,4.714557690022048e-06,5.124519120158766e-08,2.0782772480743006e-06
1808,4.844865998165915e-06,6.571614541428517e-08,2.2524774934140623e-06
1809,5.209324172028573e-06,3.614448895739031e-08,2.2612896373175317e-06
1810,5.553120900003705e-06,5.148278958699848e-08,2.6256223009113455e-06
1811,6.355439381877659e-06,4.011322829455821e-08,1.8727864024015162e-06
1812,5.7131601352011785e-06,4.800974817698034e-08,1.053547293849988e-06
1813,5.426524694485124e-06,7.764502640839055e-08,1.3602258377432008e-06
1814,4.679108769778395e-06,1.1957373402537996e-07,8.5589616105608e-07
1815,5.9824419622600544e-06,9.979726955933188e-08,7.525253522544517e-07
1816,4.704736056737602e-06,2.7811246638975717e-08,4.890144396085816e-07
1817,5.699713710782817e-06,6.227493631882908e-08,8.920884511098848e-07
1818,5.396716915129218e-06,3.337929710411913e-08,1.2612605360118323e-06
1819,5.5398818403773475e-06,3.726378050572521e-08,1.1479313934970037e-06
1820,5.395689186116215e-06,1.0917162995838225e-07,1.0584901701804483e-06
1821,5.794610387965804e-06,1.6271455649530253e-07,2.321394259929832e-06
1822,5.358691851142794e-06,3.709477880420309e-08,1.2632275740998011e-06
1823,4.653757059713826e-06,4.743689674402418e-08,1.3084677448205184e-06
1824,5.1132997214153875e-06,4.968456579490521e-08,1.8400130761264677e-06
1825,5.177600542083383e-06,8.012952967817455e-08,1.4432120849505736e-06
1826,5.237227469478967e-06,3.5231937256519075e-08,1.820610314062776e-06
1827,4.344100943853846e-06,5.622536392024813e-08,1.266453338644169e-06
1828,4.391697984829079e-06,6.51233387216621e-08,1.2024886615336072e-06
1829,4.560072284220951e-06,4.9724419248775575e-08,1.6340473658615906e-06
1830,4.086021363036707e-06,3.6528926106171866e-08,1.213804063482371e-06
1831,3.872855813824572e-06,7.639691101957169e-08,1.2893927081591983e-06
1832,4.5108918129699305e-06,4.7354892895867806e-08,9.579218591682093e-07
