year,en_ADP airs_NOUN,en_ADP guerre_NOUN
1800,0.0,7.76608612795826e-06
1801,2.3811825844433088e-09,8.917529157770332e-06
1802,0.0,9.853210030996706e-06
1803,7.801356671777171e-09,7.809157978044823e-06
1804,2.4718509905596875e-08,6.651750936725875e-06
1805,3.1271653710973624e-08,7.743999049125705e-06
1806,4.3225035994964855e-08,6.970757567614783e-06
1807,1.4234775136401367e-08,7.342297067225445e-06
1808,2.2660739951163578e-09,6.836745342297945e-06
1809,2.259030518203531e-09,8.674676791997626e-06
1810,9.360507036149102e-09,5.459515705297235e-06
1811,1.2535384286138651e-08,7.98253222455969e-06
1812,2.9339290108509886e-08,5.134375896886922e-06
1813,4.3136125782439194e-08,5.714098733733408e-06
1814,0.0,9.008937013277318e-06
1815,3.506390555685357e-08,7.09100095264148e-06
1816,1.228330006597389e-07,4.8020751819422e-06
1817,6.227493631882908e-09,8.229632840084378e-06
1818,5.960588467246453e-09,8.520065421180334e-06
1819,0.0,9.034396498464048e-06
1820,2.0173018810965004e-08,9.295014933741186e-06
1821,1.676452932031225e-08,7.988791367097292e-06
1822,1.0025615893027862e-09,9.257653800887056e-06
1823,1.2847492847356534e-08,7.90417288953904e-06
1824,1.7684335773537896e-08,7.362578799074981e-06
1825,4.4027217427355936e-09,6.334635600069305e-06
1826,7.0463874735082754e-09,9.165588380710687e-06
1827,5.530363722527909e-09,7.257680863403948e-06
1828,1.0089530988466322e-08,7.0782648435852025e-06
1829,1.7146351893870815e-08,7.421798727591522e-06
1830,1.982998831806526e-08,6.778725037293043e-06
1831,0.0,7.773774996167049e-06
1832,2.976593194148336e-08,6.863753242214443e-06
1833,2.085053074640797e-08,6.204191322467523e-06
1834,1.8669061851994684e-09,7.1045114964363165e-06
1835,6.050470346963266e-09,7.559306595794624e-06
1836,1.1425274948351216e-08,7.727518095634878e-06
1837,2.5048407792382932e-08,8.524807526555378e-06
1838,2.1461350030449466e-08,9.357148883282207e-06
1839,5.2436064379435265e-08,7.420751899189781e-06
1840,7.0066574764382494e-09,7.669742444704752e-06
1841,1.733548060656176e-08,5.987161330267554e-06
1842,6.708265054555795e-09,7.807750080246478e-06
1843,1.3585895075607368e-08,5.605068054137519e-06
1844,1.0977122322231025e-08,6.43424027657602e-06
1845,5.580227835366713e-09,6.837453383923275e-06
1846,9.952652035849496e-09,6.975638370931847e-06
1847,9.168480197274675e-09,5.755108759331051e-06
1848,2.735375304041554e-08,6.674315955024213e-06
1849,6.703531951757213e-09,5.476785645441851e-06
1850,2.0366988096043315e-09,5.374848115025088e-06
1851,3.8696632564949596e-09,5.519429578271229e-06
1852,5.859490670445666e-09,4.608815288520418e-06
1853,1.1943863675867306e-09,5.799342943646479e-06
1854,7.27393034694046e-09,5.788489943370223e-06
1855,1.2736649068756378e-08,5.863103979208972e-06
1856,1.0872097000458325e-08,5.513706582860323e-06
1857,7.322263684272912e-09,5.2481104830803815e-06
1858,2.4468379322684086e-08,7.422727776429383e-06
1859,1.3748867822016564e-08,5.908448656555265e-06
1860,1.373155189554609e-08,5.49079004485975e-06
1861,1.2733101684148096e-08,6.035018941474846e-06
1862,1.0843167252971853e-08,5.58423107577255e-06
1863,9.489779628779615e-09,5.751305707235588e-06
1864,1.3904711160250827e-08,6.1195114540169016e-06
1865,7.530950973944073e-09,5.40110386282322e-06
1866,1.0704348518686402e-08,5.2363725444593e-06
1867,2.426405742994575e-08,4.950838501827093e-06
1868,1.1855697756857353e-08,5.446705017675413e-06
1869,1.5627261262807224e-08,4.778034963237587e-06
1870,8.027668307875047e-09,4.580931545206113e-06
1871,6.37270636261178e-09,4.928226189804263e-06
1872,1.269941263259966e-08,5.407530807133298e-06
1873,1.496501056408306e-08,4.323092525737593e-06
1874,3.5847653734322193e-09,4.2616889004420955e-06
1875,6.293679799540541e-09,4.007357802038314e-06
1876,2.0556450763820067e-08,4.081060069438536e-06
