year,un_DET âge_NOUN,un_DET age_NOUN,un_DET gage_NOUN
1800,7.294461738638347e-06,8.174827748064217e-08,2.430439053568989e-06
1801,8.181743396562524e-06,7.619784492263193e-08,2.233549366792431e-06
1802,8.45455997477984e-06,6.042168365638645e-08,2.49519166573009e-06
1803,9.960382158169523e-06,5.460949870084164e-08,2.5451927285757847e-06
1804,1.0334808393963613e-05,9.640218401330003e-08,3.910468421963742e-06
1805,1.1289067515463103e-05,7.391482181873243e-08,2.7348482944944408e-06
1806,8.495160727761686e-06,8.645007198992971e-08,2.463827058818424e-06
1807,9.252604286302812e-06,9.39495183871486e-08,2.6305865503672976e-06
1808,9.485785994911566e-06,6.571614541428517e-08,3.0546677862730576e-06
1809,8.882508154783864e-06,9.713831516933169e-08,2.656619926710846e-06
1810,1.1286431799817365e-05,8.892481462297042e-08,3.180232170052477e-06
1811,1.05823710327968e-05,7.019815129183371e-08,2.065831267827889e-06
1812,9.641958058637101e-06,9.068507988985175e-08,2.253790853501414e-06
1813,1.2713653632090427e-05,8.627224801216471e-08,1.9957647054980043e-06
1814,8.448828339169268e-06,6.608022040666128e-08,2.961023255920736e-06
1815,9.923085599439219e-06,6.203614222322074e-08,3.1773292903380934e-06
1816,8.894963684724644e-06,2.7811246638975717e-08,2.586446044006152e-06
1817,8.732503374631051e-06,5.7604314207537755e-08,2.615547373352456e-06
1818,9.080360541702248e-06,5.960588644882137e-08,2.3782749849488027e-06
1819,9.154468898486812e-06,1.0247539727892274e-07,2.6985187560057966e-06
1820,8.34688307804754e-06,7.00122386732005e-08,2.5240005925297737e-06
1821,1.008632989396574e-05,9.269799050581895e-08,2.7148678327648668e-06
1822,9.08120273379609e-06,7.920236555492011e-08,2.5956319404940587e-06
1823,7.838947567506693e-06,4.348382187657762e-08,2.5853109946183395e-06
1824,8.336901373695582e-06,6.568467902923203e-08,2.5128599645540817e-06
1825,8.715627700439654e-06,5.19521154984659e-08,2.653960564202862e-06
1826,7.391660346911522e-06,5.284790449699983e-08,2.4433347789454274e-06
1827,8.119495760183781e-06,7.189472900348548e-08,2.5365934561705217e-06
1828,7.648782229807694e-06,8.255070815810228e-08,2.619609176690574e-06
1829,8.115368473227136e-06,6.687077558353849e-08,2.8720139653160004e-06
1830,8.059324500209186e-06,5.740259645392598e-08,2.930663413280854e-06
1831,7.2171692409028765e-06,6.23648233055718e-08,2.517979737604037e-06
1832,7.793262739141937e-06,6.629685089798443e-08,2.8209985885041533e-06
1833,8.391180926992092e-06,1.494288071057781e-07,3.1970814688975224e-06
1834,7.266932243510382e-06,6.81420757597806e-08,2.779823262244463e-06
1835,7.570651177957188e-06,1.0512692227848675e-07,2.588088591437554e-06
1836,7.702651600993704e-06,1.1425274804022223e-07,2.875136942748213e-06
1837,7.799795639584772e-06,8.975679044453955e-08,2.4262164970423328e-06
1838,7.127061962819425e-06,7.132742729787367e-08,2.6732004698715173e-06
1839,7.4004765338031575e-06,8.389770478345326e-08,2.737162503763102e-06
1840,7.127044682420092e-06,9.299745257207448e-08,3.093757868555258e-06
1841,7.62183299229946e-06,8.539329554579922e-08,3.0908520329830935e-06
1842,7.232851203298196e-06,1.0129480099152488e-07,2.8443043902370846e-06
1843,8.097784302663058e-06,1.0514301634900747e-07,2.81700590676337e-06
1844,7.186173206719104e-06,9.385439403430951e-08,3.549452685547294e-06
1845,7.0757291723566595e-06,1.0379223847056807e-07,2.844242089850013e-06
1846,6.843326445959974e-06,1.0186832555270087e-07,3.0958603929320816e-06
1847,6.843461505923187e-06,7.874106344729626e-08,3.4532811241660966e-06
1848,6.403191946446896e-06,9.815170798344042e-08,3.5575969832279952e-06
1849,5.867266281711636e-06,9.133562439700427e-08,3.394500936337863e-06
1850,6.5092895056295674e-06,1.0522943583168853e-07,2.7699104521161644e-06
1851,5.967020570096793e-06,1.4833709216510726e-07,3.2930834095168393e-06
1852,6.640756510023493e-06,1.2304930696593885e-07,2.8340405151539017e-06
1853,7.119139809219632e-06,1.1645267039561702e-07,2.5500148694845848e-06
1854,7.736864063190296e-06,1.6418299930709424e-07,3.016602704519755e-06
