year,en_ADP air_NOUN,en_ADP guerres_NOUN
1800,9.023752340908686e-07,5.345079756580162e-08
1801,4.4528114284680953e-07,1.4287095950749062e-07
1802,2.506380951672327e-07,1.5217312920867698e-07
1803,4.5442902552039754e-07,7.021220937986072e-08
1804,3.8808059343864443e-07,3.460591457837836e-08
1805,2.7575912708854844e-07,1.051864728651708e-07
1806,3.7749865100522584e-07,1.0374009207225754e-07
1807,2.0498076924724273e-07,4.555128185756985e-08
1808,2.062127402169267e-07,4.305540457494317e-08
1809,2.4397530085096264e-07,3.6144488291256494e-08
1810,1.7550951270095538e-07,4.680253340438867e-08
1811,2.0808736911348547e-07,1.0529722516139373e-07
1812,1.3869483117545656e-07,5.867858021701977e-08
1813,2.0992913585260453e-07,2.8757416004054903e-08
1814,1.3530711839848664e-07,7.237357380063258e-08
1815,2.8320846801044297e-07,1.1328339155625144e-07
1816,1.7150268938337376e-07,9.965696534663948e-08
1817,1.3077736582545185e-07,1.401186011662503e-07
1818,2.2888661255215936e-07,1.1682753608965868e-07
1819,1.3870406800897683e-07,9.212434548544479e-08
1820,1.8511710120350244e-07,1.3646453567162098e-07
1821,8.776724769177235e-08,1.1044866710108181e-07
1822,1.0426640528748976e-07,8.421517350143404e-08
1823,9.586206450862278e-08,1.4824030358795426e-07
1824,1.4905369027928828e-07,1.6000113589598186e-07
1825,1.1270966804310945e-07,1.3384273245264922e-07
1826,9.776862741617265e-08,8.631824499616414e-08
1827,1.6222400611720644e-07,6.452091128039683e-08
1828,1.4033620721054518e-07,7.429564163885516e-08
1829,1.3717081515096652e-07,1.2002446680980938e-07
1830,1.8786305133744463e-07,9.601888706356476e-08
1831,1.7306238930814288e-07,1.216114071667107e-07
1832,1.1094574858816486e-07,5.141388470519814e-08
1833,1.4247862734073635e-07,4.6334513115198206e-08
1834,1.474855890748472e-07,9.054495109239724e-08
1835,1.1722786297241328e-07,1.0739584865859797e-07
1836,1.9624590608113834e-07,1.6264215219052858e-07
1837,9.253994626146067e-08,1.3289572109442815e-07
1838,1.7484688585867048e-07,1.312929640562288e-07
1839,1.3143973565110656e-07,1.3143973376372742e-07
1840,1.1720227499623093e-07,1.0000411521104979e-07
1841,1.4703056194775854e-07,7.76886395215115e-08
1842,1.1739464067517247e-07,7.982835370512475e-08
1843,1.9729083622355148e-07,1.0809647221776686e-07
