year,en_ADP août_NOUN,en_ADP gouttes_NOUN
1800,3.229057028875104e-06,1.2639541395742526e-06
1801,1.5049074093553827e-06,6.072015708014078e-07
1802,1.996153372374465e-06,2.752543366568716e-07
1803,1.7104474636653322e-06,5.012371804280491e-07
1804,1.3076091889274721e-06,3.633620906384749e-07
1805,1.2736091719034448e-06,3.411453235457884e-07
1806,2.616555661916209e-06,4.668303859034495e-07
1807,1.3323749712412791e-06,3.2739984590079985e-07
1808,1.8468503526491986e-06,2.3567170082117173e-07
1809,1.1746958179514877e-06,4.811734939380585e-07
1810,1.2706887915214793e-06,3.6505976375167393e-07
1811,4.424990692086794e-06,3.158916683787538e-07
1812,1.2749255873245602e-06,4.6942864173615817e-07
1813,1.2538233491454776e-06,2.1280487771946355e-07
1814,2.108273719159115e-06,1.7306724942045548e-07
1815,1.6722786497780362e-06,5.205641286920581e-07
1816,1.610734670975944e-06,3.383701709935849e-07
1817,1.7250157569037583e-06,2.506566261217813e-07
1818,1.7464524759702726e-06,4.267781434919016e-07
1819,1.4108480659302813e-06,2.2254757414685855e-07
1820,1.4109246251337026e-06,1.96983592104516e-07
1821,1.8588905845717818e-06,2.3371727386756191e-07
1822,2.080315269381572e-06,1.87479017199621e-07
1823,1.6444790915670637e-06,2.3125487302877445e-07
1824,1.1781136777244683e-06,2.2147526124172146e-07
1825,2.1414837760858063e-06,1.7786994988000515e-07
1826,2.0584259203815236e-06,2.2460359616616188e-07
1827,2.2066152070010503e-06,2.1476246558904677e-07
1828,1.4033620914233325e-06,1.6051527040872315e-07
1829,1.4334350559863651e-06,2.0146963208844682e-07
1830,1.4768122404973383e-06,2.640519483065873e-07
1831,2.106371908894289e-06,3.695115822210937e-07
1832,1.6073603603672382e-06,4.1537006723046943e-07
1833,1.712060280212313e-06,4.563949727032224e-07
1834,1.9070446235502914e-06,2.1936148186796345e-07
1835,1.572365945889942e-06,2.04959690108808e-07
1836,1.6492720149585693e-06,2.446353053464634e-07
1837,1.7241653935684553e-06,1.2524203896191466e-07
1838,1.4461162649581638e-06,1.710595824988559e-07
1839,1.8058980764124044e-06,2.3211697453007218e-07
1840,1.6026136968605442e-06,2.0892578467268663e-07
1841,1.8253619415986577e-06,1.823435837877696e-07
1842,1.7783610477550837e-06,1.9588134136938606e-07
1843,1.8606769316420468e-06,2.2150917106111834e-07
1844,1.798052654322646e-06,2.4972953838187095e-07
1845,2.0228325858795415e-06,1.3392546804880112e-07
1846,1.7586922140822026e-06,1.4636253808930633e-07
1847,1.936167237204245e-06,2.097964042491185e-07
1848,1.563991084196914e-06,2.0354410423806257e-07
1849,2.0973675063373776e-06,1.1982562853063428e-07
1850,1.806551837901793e-06,2.1724787746535412e-07
1851,2.226346261124945e-06,2.2315057890409662e-07
1852,2.215538575711662e-06,2.024779601761395e-07
1853,2.3159151538720835e-06,2.836667609695809e-07
1854,2.0725506004737326e-06,1.917200194156976e-07
1855,2.072889685678092e-06,1.745982345369157e-07
1856,2.195645937064228e-06,1.9569775133732037e-07
1857,3.4492743026248718e-06,1.4351637389609095e-07
1858,2.9264183609711836e-06,1.5659763619169098e-07
1859,2.294533398838894e-06,1.6956937498591174e-07
1860,2.0958925297520636e-06,1.766792943891371e-07
1861,2.199997020113642e-06,1.9476930346318255e-07
1862,2.305528397528178e-06,1.7213528027970604e-07
1863,2.513293267725203e-06,1.4734131070781586e-07
1864,2.557987336615497e-06,1.999401533225864e-07
1865,2.573231697056144e-06,1.943926750680447e-07
1866,2.9140156314610977e-06,1.9219170788176143e-07
1867,2.9267306160818407e-06,2.2711158287336275e-07
1868,2.54304710267661e-06,2.2081236750182143e-07
1869,2.6898424252408404e-06,1.4943569226488762e-07
1870,3.3205875809017016e-06,1.9037042564562512e-07
1871,3.312745256778271e-06,1.8374636567841662e-07
1872,2.8144316388534207e-06,1.6872076802343372e-07
1873,3.301880042272387e-06,2.7954641268479463e-07
1874,3.1862589793263396e-06,1.7625096404572105e-07
1875,3.066738543111569e-06,2.0826358121395216e-07
1876,3.477063167167671e-06,1.7472983415700583e-07
1877,3.0837492701607516e-06,1.8368903265120196e-07
1878,3.4579821388547316e-06,2.2103064623024693e-07
1879,4.13906781204787e-06,1.765594959124428e-07
1880,3.513129129828485e-06,1.8162505455165956e-07
1881,3.663355354177611e-06,1.7849619382559467e-07
1882,3.697731926877168e-06,1.6438801253571e-07
1883,3.993190361484267e-06,1.7378182204375037e-07
