year,en_ADP ère_NOUN,en_ADP ere_NOUN,en_ADP guerres_NOUN
1800,1.8864987794131594e-08,1.0690159246706799e-07,5.345079756580162e-08
1801,3.333655484993869e-08,7.1435474868764e-08,1.4287095950749062e-07
1802,2.2378401354217203e-09,2.2378401354217203e-09,1.5217312920867698e-07
1803,1.950339267864365e-08,5.0708818033484704e-08,7.021220937986072e-08
1804,4.943701892301533e-09,4.943701892301533e-09,3.460591457837836e-08
1805,5.685755422035754e-09,2.842877711017877e-09,1.051864728651708e-07
1806,0.0,3.1698359492793315e-08,1.0374009207225754e-07
1807,2.8469551160981155e-09,0.0,4.555128185756985e-08
1808,1.1330369531492579e-08,6.118399653587403e-08,4.305540457494317e-08
1809,9.036122072814123e-09,9.036122072814123e-09,3.6144488291256494e-08
1810,4.212228077449254e-08,7.020380277111826e-09,4.680253340438867e-08
1811,5.0141535368197765e-09,2.5070767684098882e-09,1.0529722516139373e-07
1812,8.00162425207418e-09,1.8670457180292033e-08,5.867858021701977e-08
1813,0.0,0.0,2.8757416004054903e-08
1814,1.2586708564299443e-08,3.1466771410748606e-09,7.237357380063258e-08
1815,2.697223555614414e-09,3.506390644503199e-08,1.1328339155625144e-07
1816,0.0,1.4832664874120383e-07,9.965696534663948e-08
1817,1.556873407970727e-09,6.227493631882908e-09,1.401186011662503e-07
1818,7.152706427149269e-09,2.384235475716423e-09,1.1682753608965868e-07
1819,1.7596784473994376e-08,3.933399084221634e-08,9.212434548544479e-08
1820,1.1866481131050932e-09,2.3732962262101864e-08,1.3646453567162098e-07
1821,7.88919063410276e-09,1.7750678149575094e-08,1.1044866710108181e-07
1822,5.012807946513931e-09,1.2030739071633434e-08,8.421517350143404e-08
1823,2.8659792761231984e-08,1.4824030780680175e-08,1.4824030358795426e-07
1824,1.0105335235266466e-08,0.0,1.6000113589598186e-07
1825,1.584979791857677e-08,0.0,1.3384273245264922e-07
1826,2.642395191543301e-09,1.1450379977517855e-08,8.631824499616414e-08
1827,1.8434546111834038e-09,2.21214555007343e-08,6.452091128039683e-08
1828,8.255071293206129e-09,4.5861504760491556e-08,7.429564163885516e-08
1829,1.0287811491593857e-08,2.8291481157793896e-08,1.2002446680980938e-07
1830,4.174734336004349e-09,1.0436835840010872e-09,9.601888706356476e-08
1831,0.0,9.35472388441383e-09,1.216114071667107e-07
1832,5.411987746839486e-09,2.705993873419743e-09,5.141388470519814e-08
1833,8.108539617524002e-09,2.3167257001688313e-09,4.6334513115198206e-08
1834,1.213489042584115e-08,9.334530703952737e-09,9.054495109239724e-08
1835,1.2100940693926532e-08,6.050470346963266e-09,1.0739584865859797e-07
1836,1.68018754465038e-08,1.3441500135158435e-09,1.6264215219052858e-07
1837,2.7831563720326358e-09,0.0,1.3289572109442815e-07
1838,3.787297142565649e-09,6.312161904276081e-10,1.312929640562288e-07
1839,1.4682098203877558e-08,5.593180252283503e-09,1.3143973376372742e-07
1840,3.4396318682183846e-08,1.7198159563136528e-08,1.0000411521104979e-07
1841,2.0545755319290038e-08,4.044945711711989e-08,7.76886395215115e-08
1842,8.049918065466954e-09,1.542900918138912e-08,7.982835370512475e-08
1843,1.1813821920725331e-08,2.3627644840651385e-09,1.0809647221776686e-07
1844,6.586273748609983e-09,2.195424508855126e-09,1.0757580071185657e-07
1845,2.17628883802945e-08,6.696273757711424e-09,7.365900955846882e-08
1846,1.2879903366069811e-08,1.7563503984519002e-09,9.659927258098833e-08
1847,4.0988499705463255e-08,6.47186837454683e-09,7.442648808364538e-08
1848,2.413566457803995e-09,8.045221711050488e-10,1.1182858372649207e-07
1849,1.6758829879393033e-09,1.6758829879393033e-09,2.5976186535103807e-08
1850,4.752297222410107e-09,1.5614690873633208e-08,1.2559642925680237e-07
1851,4.514607354622058e-09,1.2898877521649865e-09,8.384270699934859e-08
1852,5.859490670445666e-09,1.9531636308300904e-09,7.682443481371592e-08
1853,3.58315901394235e-08,2.209614846648833e-08,1.009256465067665e-07
1854,1.2989160858012383e-08,0.0,8.261106643203675e-08
1855,4.776243400783642e-09,5.306937111981824e-10,6.209116065747367e-08
1856,4.141751386299575e-09,4.6594703095870216e-09,7.196292983735475e-08
1857,2.245494101771328e-08,4.881509085841174e-10,7.810414359710194e-08
1858,1.3212924976357954e-08,3.4255732694887797e-09,7.683071601150004e-08
1859,5.601390462572908e-09,1.5276520048956854e-09,1.0184346876940253e-07
1860,1.1900677776566226e-08,2.746310290291376e-09,6.408057373619158e-08
1861,1.4147890858851042e-08,3.018216815364738e-08,7.592701933845092e-08
1862,2.3041730301542884e-08,1.8071945329101169e-09,7.816116465164669e-08
1863,8.490855130105501e-09,2.0477944673302773e-08,9.639618525625337e-08
1864,9.589456340108882e-09,4.794728170054441e-09,9.205877660178885e-08
