year,certain_ADJ âge_NOUN,certain_ADJ age_NOUN,certain_ADJ gage_NOUN
1800,1.4085857173995464e-06,1.5720822865716855e-08,9.432493897065797e-09
1801,1.3001257457290194e-06,4.7623651688866175e-09,0.0
1802,1.3695581628780928e-06,1.3427040812530322e-08,0.0
1803,1.3067273130218382e-06,1.1702035340732664e-08,0.0
1804,1.1321077408865676e-06,1.2359254730753833e-08,0.0
1805,1.2451804423108115e-06,3.127165504324125e-08,0.0
1806,1.204537738885847e-06,1.729001475325731e-08,0.0
1807,1.0533733529882738e-06,5.693910232196231e-09,1.1387820464392462e-08
1808,1.0877155318667064e-06,2.2660739951163578e-09,0.0
1809,1.1724367823262583e-06,1.3554183109221185e-08,0.0
1810,1.1209207286810852e-06,9.360507036149102e-09,0.0
1811,9.050547191691294e-07,1.7549536934780008e-08,0.0
1812,1.08555377664743e-06,1.3336041604361526e-08,0.0
1813,1.1244150073252968e-06,2.30059336026045e-08,0.0
1814,7.205890710793028e-07,9.440030979135372e-09,0.0
1815,1.0573115787337883e-06,8.091670444798638e-09,0.0
1816,9.224063433066476e-07,1.1588019432906549e-08,0.0
1817,9.823870641412213e-07,3.113746815941454e-09,1.0898113522728181e-08
1818,9.334281685369206e-07,8.34482416500748e-09,0.0
1819,8.539616374036996e-07,1.449147024601416e-08,8.280840013696888e-09
1820,7.29788609987736e-07,5.933240565525466e-09,2.3732962262101864e-09
1821,9.851627282841946e-07,3.944595206029078e-09,1.97229765852569e-09
1822,9.133336220656929e-07,7.017931125119503e-09,0.0
1823,9.151368089987955e-07,4.941343556552624e-09,9.882686891060644e-10
1824,6.854785965515475e-07,8.421112696055388e-10,0.0
1825,8.514863338859868e-07,3.522177216552791e-09,8.805443041381977e-10
1826,7.539634339082113e-07,4.403992170942672e-09,0.0
1827,9.844047781371046e-07,2.7651818612639545e-09,2.7651818612639545e-09
1828,7.631354606019158e-07,4.586150681440415e-09,4.586150570418113e-09
