year,léger_ADJ vent_NOUN
1800,6.288328791015374e-08
1801,2.1668761007731518e-07
1802,4.923248297927785e-08
1803,2.3404069793286908e-08
1804,8.898663139689234e-08
1805,6.538618890772341e-08
1806,3.1698359492793315e-08
1807,1.5658253005312872e-07
1808,4.758755522971114e-08
1809,2.4849335034105025e-08
1810,2.574139479349924e-08
1811,1.504245972228091e-08
1812,1.8670457180292033e-08
1813,6.614205716459765e-08
1814,3.776012391654149e-08
1815,5.394447111228828e-09
1816,3.9399267848239106e-08
1817,5.7604317760251433e-08
1818,1.4305412854298538e-08
1819,5.2790355198339967e-08
1820,6.763894333516873e-08
1821,1.972297702934611e-08
1822,5.514088741165324e-08
1823,3.854247765389118e-08
1824,5.810567671460376e-08
1825,5.811592274085342e-08
1826,2.290075862276808e-08
1827,1.3825909306319772e-08
1828,5.1364885678140126e-08
1829,6.42988169374803e-08
1830,1.1480519646056564e-08
1831,3.741889287312006e-08
1832,6.629684889958298e-08
1833,6.950177322551099e-08
1834,6.72086244435377e-08
1835,1.0663953986522756e-07
1836,4.2340726480460944e-08
1837,2.7135774516295896e-08
1838,4.418513199766494e-08
1839,3.63556709181978e-08
1840,4.8409635411417185e-08
1841,4.173356416004026e-08
1842,4.762868144325694e-08
1843,7.50177733266355e-08
1844,4.335963410539989e-08
1845,3.236532108985557e-08
1846,4.390875929516369e-08
1847,5.177494699637464e-08
1848,3.700802153616678e-08
1849,7.206296714912241e-08
1850,4.2091777174846357e-08
1851,3.4826967976187007e-08
1852,1.7578472011337e-08
1853,3.2845626662947325e-08
1854,2.8056588163849483e-08
1855,3.1841622671890946e-08
1856,3.36517302912398e-08
1857,1.610898081594314e-08
1858,5.0894229275399994e-08
1859,4.684799348453339e-08
1860,3.570203332969868e-08
1861,3.4426534512022045e-08
1862,3.34330998441601e-08
1863,3.346395871517416e-08
1864,3.596045838882844e-08
1865,2.5416959203994338e-08
1866,3.989802621617855e-08
1867,2.8631587767335986e-08
1868,3.50731041987018e-08
1869,4.102156125895817e-08
1870,4.529898589566983e-08
1871,3.823623728749226e-08
1872,2.7213026498884574e-08
1873,4.7888036813770185e-08
1874,5.616132536800933e-08
1875,4.2911454556371353e-08
1876,5.2600328981355915e-08
1877,3.64904160221613e-08
1878,2.294853729267743e-08
1879,3.604501941367744e-08
1880,2.9522093214495726e-08
1881,3.2770785196589713e-08
1882,2.3959387362992857e-08
1883,1.5166413291911596e-08
1884,2.8387297845711146e-08
1885,2.964992351639495e-08
1886,3.291266637006629e-08
1887,3.656197833379338e-08
1888,2.282621380800265e-08
1889,2.8819629349641218e-08
1890,2.6217545467943637e-08
1891,2.1672347472190268e-08
1892,2.382034658410248e-08
1893,5.850495554682311e-08
1894,3.969969597505951e-08
1895,6.620475723195796e-08
1896,4.422771837653272e-08
1897,3.26295968022805e-08
1898,2.6028432742464247e-08
1899,3.371822998587959e-08
1900,3.166542394961169e-08
1901,2.1237207548097103e-08
1902,1.178468167495339e-08
1903,2.8621167658116065e-08
1904,2.741058757749215e-08
1905,2.1159111629476257e-08
1906,2.9321851613417493e-08
1907,2.828563872014911e-08
1908,3.1432890068572306e-08
1909,3.410609722420688e-08
1910,3.7409055186898854e-08
