year,premier_ADJ air_NOUN,premier_ADJ ver_NOUN
1800,8.174827570428533e-08,6.288328968651058e-09
1801,7.619784270218588e-08,4.7623651688866175e-09
1802,6.713520406265161e-09,4.475680270843441e-09
1803,5.070882025393075e-08,1.3652374342143503e-08
1804,6.426812149129546e-08,2.4718509461507665e-09
1805,2.842877711017877e-08,2.842877711017877e-09
1806,7.204172902675055e-08,0.0
1807,6.263301344233696e-08,0.0
1808,2.2660739062985158e-08,4.5321479902327155e-09
1809,2.484933525614963e-08,0.0
1810,1.8721014516387413e-08,7.020380277111826e-09
1811,4.763445815569867e-08,0.0
1812,1.6536691305191198e-07,0.0
1813,3.3358602458122277e-07,0.0
1814,1.0069366851439554e-07,3.1466771410748606e-09
1815,4.5852800667489646e-08,0.0
1816,8.57513455798653e-08,1.1588019432906549e-08
1817,3.736496234640896e-08,3.113746815941454e-09
1818,2.98029441125891e-08,1.668964877410417e-08
1819,3.2088255608186955e-08,4.140420006848444e-09
1820,1.0086508694939766e-07,0.0
1821,1.972297603014539e-08,1.97229765852569e-09
1822,3.8097340393505874e-08,3.0076847679083585e-09
1823,1.3835761869529506e-08,9.882686891060644e-10
1824,7.747423858006641e-08,5.3053010873327366e-08
1825,6.780191341704267e-08,1.7610886082763955e-09
1826,1.8496766784892316e-08,1.7615968683770689e-09
1827,2.5808365222701468e-08,1.566936447261469e-08
1828,1.4675682002973645e-08,4.586150625929264e-09
1829,9.859152783064928e-08,1.1145129263923081e-08
1830,9.810625845041443e-08,1.1480519646056564e-08
1831,1.5591206548037917e-08,3.1182412207897414e-09
1832,3.111892987739395e-08,1.352996914505411e-08
1833,3.70676112027013e-08,3.475088550253247e-09
1834,3.267085801894609e-08,0.0
1835,6.126101226300307e-08,6.050470346963266e-09
1836,5.309392392405243e-08,4.704525213838906e-09
1837,4.1051556820548285e-08,4.87052354003481e-09
1838,2.7773513266993177e-08,5.680945491803868e-09
1839,3.146163785050504e-08,1.8177836125232716e-08
1840,4.968357031343018e-08,1.9109065441114126e-09
1841,4.237562123421412e-08,1.3483151484194877e-08
1842,2.884553929050071e-08,4.024959032733477e-09
1843,2.9534556134080958e-08,5.906911071384968e-10
1844,3.3480223038395707e-08,2.195424508855126e-09
1845,2.3436957263811564e-08,2.7901139176833567e-09
1846,5.093416177714971e-08,1.1709002656346001e-09
1847,2.1033572217277197e-08,8.629157832729106e-09
1848,3.6203496367459564e-08,1.6090443422100975e-09
1849,1.508294689145373e-08,4.1897072478036534e-09
1850,2.5798184033476446e-08,2.7155984128057753e-09
1851,2.8377531435808123e-08,1.9348316282474798e-09
1852,3.6459056218518526e-08,7.812654301275757e-09
1853,2.6873692604567623e-08,3.5831591027601917e-09
1854,6.182840506241405e-08,5.195664454227256e-10
1855,4.7231740296638236e-08,4.2455496895854594e-09
1856,7.972871429728912e-08,1.5531567143511893e-09
1857,3.3194261561675376e-08,3.4170564155999728e-09
1858,2.838332058274773e-08,8.31924928945682e-09
1859,4.786642904264227e-08,5.092173349652285e-10
1860,5.767251759491998e-08,1.8308735055816427e-08
1861,4.480165421982818e-08,8.960331143725853e-09
1862,3.9758280279134084e-08,4.066187830886747e-09
1863,3.945750420841776e-08,3.9956967734511295e-09
1864,3.4522040670559306e-08,7.671564716815737e-09
1865,1.97687466396701e-08,2.3534221238463715e-09
1866,3.941146431429843e-08,7.784980771141647e-09
1867,3.979305596146787e-08,4.85281148598915e-09
1868,3.2109181424822e-08,9.87974813071446e-10
1869,8.839169585161955e-08,4.395167341186834e-09
1870,4.243196061182175e-08,1.3761717099214366e-08
1871,1.274541272522356e-08,8.496941816815706e-09
1872,3.5679303067581714e-08,1.2094678591978436e-09
1873,2.8732820567256567e-08,1.0176207432266438e-08
1874,3.4055272379873713e-08,9.559374625212058e-09
1875,4.0622842589765895e-08,1.1443054281912168e-09
1876,4.353130833578689e-08,5.441413541973361e-09
1877,4.886004523196874e-08,1.36065949618569e-08
1878,7.669642321239678e-08,1.0266450745088918e-08
1879,6.781351258311474e-08,4.27652757650776e-09
1880,6.096954163758994e-08,7.059631101924424e-09
1881,5.9266313190420306e-08,1.3945015142624584e-09
1882,6.92160078141768e-08,1.1314154946262533e-08
1883,7.393626894058869e-08,6.951272890631799e-09
1884,3.366865364284877e-08,9.902545450302114e-09
1885,3.674012205578947e-08,6.445635580831777e-09
1886,6.19532544710033e-08,3.872078213618124e-09
1887,3.1991731541669566e-08,4.570247347235323e-09
1888,3.804368731152863e-08,4.4384300679212174e-09
1889,6.390439410974835e-08,5.638623068460191e-09
1890,4.7847022621727575e-08,5.243509182406569e-09
1891,3.952016314201501e-08,8.286486163910922e-09
1892,1.7551835096440982e-08,1.56712811616444e-08
1893,3.0176241949675386e-08,6.774258265451749e-09
1894,1.071261657159539e-08,4.411077725308132e-09
1895,1.3842813118003505e-08,6.018614495673091e-09
1896,2.240870955461105e-08,3.5382172747233653e-09
1897,1.3984112534615178e-08,2.9133566670225264e-09
1898,1.810673611046809e-08,2.26334195829736e-09
1899,2.7085134135518274e-08,8.291367592505594e-09
1900,1.3496738504592543e-08,3.114631885736685e-09
1901,1.5089595351014395e-08,1.676621730339889e-09
1902,9.329539141234022e-09,5.892340837476695e-09
1903,2.700110068865058e-08,4.320176216765503e-09
1904,1.7198801494089366e-08,1.0749250378694342e-09
1905,2.0126959654476195e-08,1.0321518084666081e-09
1906,2.36632491379396e-08,2.572092316910357e-09
1907,3.39427645434931e-08,2.057137349353866e-09
1908,3.290630568031361e-08,6.384805573134145e-09
1909,5.005895076237721e-08,4.400786846048277e-09
1910,3.740905540894346e-08,2.137660271017694e-09
1911,1.8621309716415624e-08,2.128149656499545e-09
1912,2.2400510502063042e-08,1.5628263128064646e-09
1913,4.295421618394357e-08,1.060597942803554e-09
1914,4.28591582779525e-08,4.687720656093575e-09
1915,1.5314990164938536e-08,1.1780761921542648e-09
1916,8.789969641043172e-09,8.789969641043172e-09
1917,2.1932848870420685e-09,1.0966424435210342e-09
1918,8.040463406189247e-09,0.0
1919,2.1178051312631396e-08,4.603924352863942e-09
1920,3.104614876292544e-08,6.815008557481406e-09
1921,5.14946840723951e-08,3.7863738810983705e-09
1922,2.8773948279603445e-08,7.37793537375353e-09
1923,3.3971035318103304e-08,1.0615948564662858e-08
1924,2.836157442231979e-08,1.289162443462999e-09
1925,4.6192346836448905e-08,1.5397448649423495e-08
1926,3.7896870752618383e-08,1.3375366592072169e-08
1927,4.7941668412931904e-08,6.689534925996554e-09
1928,2.8565102283550914e-08,4.570416489713125e-09
1929,4.2333544891803854e-08,2.2280812750352652e-09
1930,3.5712252044461934e-08,3.1510811737689437e-09
1931,1.8248571542756054e-08,5.7026783295555106e-09
1932,3.06867029564728e-08,1.0959536611565568e-09
1933,1.7205992852709073e-08,0.0
1934,2.2765002327673756e-08,4.7926320689839486e-09
1935,2.0346082152400413e-08,3.590485242455088e-09
1936,1.1882220007919386e-07,1.6974600391961303e-08
1937,1.0072894518486919e-08,3.777335333410292e-09
1938,9.075650453382877e-09,5.186085783037697e-09
1939,1.2235240376412548e-08,7.647025235257843e-09
1940,1.01431314458722e-08,0.0
1941,3.8369532440185594e-08,5.9030051957620344e-09
1942,9.102635312174812e-09,0.0
1943,8.709705845433291e-09,5.806470415592457e-09
1944,1.6065930807940276e-08,9.639558484764166e-09
1945,1.089252066321933e-08,2.178504043826024e-09
