year,dernier_ADJ air_NOUN,dernier_ADJ verre_NOUN
1800,3.144164484325529e-09,8.489244152087849e-08
1801,0.0,1.4287095950749062e-08
1802,2.2378401354217203e-09,4.0281122437590966e-08
1803,3.900678446910888e-09,2.145373123596528e-08
1804,3.213406074564773e-08,7.4155526164076946e-09
1805,5.685755422035754e-09,4.8328921309348516e-08
1806,2.5935023018064385e-08,9.509508203109363e-08
1807,3.4163463169534225e-08,2.8469550272802735e-08
1808,4.5321479902327155e-09,4.5321478125970316e-08
1809,1.581321384946932e-08,4.969867006821005e-08
1810,9.360507036149102e-09,4.680253518074551e-09
1811,2.0056614147279106e-08,2.5070768572277302e-08
1812,5.3344164641089264e-09,6.934741492159446e-08
1813,3.163315653864629e-08,1.2653262615458516e-07
1814,3.1466771410748606e-09,3.776012391654149e-08
1815,8.091670444798638e-09,1.6183340889597275e-08
1816,4.6352077731626196e-09,3.244645441213834e-08
1817,3.113746815941454e-09,5.60474440192138e-08
1818,0.0,7.629553522292554e-08
1819,1.8631890696951814e-08,7.14222423425781e-08
1820,2.3732962262101864e-09,3.322614716694261e-08
1821,7.88919063410276e-09,5.1279737789400315e-08
1822,1.604098542884458e-08,3.0076847679083585e-08
1823,0.0,4.348382276475604e-08
1824,5.052667617633233e-09,3.8737120178211626e-08
1825,3.522177216552791e-09,1.0566531649658373e-08
1826,9.688783109140786e-09,2.2019960965735663e-08
1827,9.217273166939322e-09,3.6869092667757286e-08
1828,6.420610709767516e-09,9.722639049414283e-08
1829,2.2290258527846163e-08,4.886710414098161e-08
1830,2.6092090266160994e-08,1.2524202475105994e-07
1831,1.5591206103948707e-09,5.9246584527272717e-08
1832,4.058990921151917e-09,4.6001897402447867e-08
1833,9.266902800675325e-09,4.6334513115198206e-08
1834,7.467624740797874e-09,3.733812548034621e-08
1835,1.5126175867408165e-08,6.277362984974388e-08
1836,8.064899859050456e-09,4.838939915430274e-08
1837,9.74104708006962e-09,7.097048637660919e-08
1838,1.4517972601879592e-08,2.9667161172142187e-08
1839,1.1885507689157748e-08,5.8029243632518046e-08
1840,7.64362617644565e-09,5.987507023519356e-08
1841,1.1556987367100646e-08,7.961480008589206e-08
1842,4.024959032733477e-09,7.513256861102491e-08
1843,1.8311423488626133e-08,6.438533262098645e-08
1844,1.3721403568922597e-08,3.512679214168202e-08
1845,8.928364714222425e-09,4.464182268293371e-08
1846,9.367202125076801e-09,5.503231292891542e-08
1847,3.074137566727586e-08,3.182001862001016e-08
1848,2.091757700384278e-08,4.505324113779352e-08
1849,2.76520690789539e-08,1.9272654583346593e-08
1850,4.752297222410107e-09,5.0238568860550004e-08
1851,5.159551008659946e-09,6.320450296470881e-08
1852,1.3021090872200602e-09,6.185018008864063e-08
1853,1.0749477752369785e-08,4.896984151514516e-08
1854,7.79349651480743e-09,2.3900057044556888e-08
1855,1.2736649068756378e-08,5.466145225341279e-08
1856,6.212626857404757e-09,4.193523395201737e-08
1857,8.78671624349181e-09,5.4672902649599564e-08
1858,1.565976326389773e-08,4.208561321661364e-08
1859,1.171199848215565e-08,6.365216620451974e-08
1860,1.0069804545764782e-08,6.224970405810382e-08
1861,9.903524222920623e-09,4.810283016354333e-08
1862,2.0782737308877586e-08,3.975828022362293e-08
1863,1.548332484446746e-08,5.394190338847693e-08
1864,1.726102105692462e-08,3.9796240969280916e-08
