year,dernier_ADJ an_NOUN,dernier_ADJ vent_NOUN
1800,3.144164484325529e-09,6.288328968651058e-09
1801,2.1430643926123594e-08,1.4287095950749062e-08
1802,8.951360541686881e-09,4.0281122437590966e-08
1803,5.851017448321727e-09,4.8758479920252285e-08
1804,1.2359254952798437e-08,0.0
1805,5.685755422035754e-09,1.7057265822018053e-08
1806,5.76333825108577e-09,0.0
1807,1.1387820464392462e-08,8.540865792383556e-09
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,0.0,4.518061036407062e-09
1810,1.1700633795186377e-08,7.020380277111826e-09
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,0.0,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,2.5173417128598885e-08
1815,1.0788894222457657e-08,2.4275012222574333e-08
1816,4.6352077731626196e-09,9.270415546325239e-09
1817,0.0,3.113746815941454e-09
1818,1.1921177378582115e-09,0.0
1819,4.140420117870747e-09,0.0
1820,2.254631326081835e-08,0.0
1821,5.916893086599373e-09,6.903041693817613e-09
1822,8.02049271442229e-09,5.012807946513931e-09
1823,9.882686891060644e-10,2.9648061783404955e-09
1824,1.3473780313688621e-08,8.421112696055388e-10
1825,9.685987789609385e-09,1.1447076175841175e-08
1826,7.927186018719112e-09,3.5231937367541377e-09
1827,2.3964910056406552e-08,9.217273055917019e-10
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,7.715858285628485e-09,6.001223074036943e-09
1830,4.174734336004349e-09,1.461157062010443e-08
1831,4.677361609140007e-09,6.236482441579483e-09
1832,6.764984572527055e-09,1.2176972319366541e-08
1833,8.108539617524002e-09,4.170106393530659e-08
1834,6.534171426153534e-09,9.334531370086552e-09
1835,1.8907719834260206e-08,1.1344631900556124e-08
1836,3.36037508930076e-09,0.0
1837,2.2265250976261086e-08,9.045257876039159e-09
1838,1.7674054220151447e-08,8.837027110075724e-09
1839,1.6779539646627484e-08,0.0
1840,8.91756390952736e-09,1.0191501864653674e-08
1841,8.988767952189392e-09,8.346713542550788e-09
1842,6.037438549100216e-09,1.408735705865638e-08
1843,2.953455480181333e-09,2.953455480181333e-09
1844,1.0977122322231025e-08,7.1351298203126134e-09
1845,5.022205318283568e-09,6.696273757711424e-09
1846,9.367202347121406e-09,4.6836010625384006e-09
1847,3.775256551818984e-09,1.1865092020002521e-08
1848,2.413566457803995e-09,4.82713291560799e-09
1849,1.508294644736452e-08,3.3517659758786067e-09
1850,8.146795238417326e-09,1.2220192857625989e-08
1851,1.6123596680017727e-08,0.0
1852,7.812654523320361e-09,2.6042181744401205e-09
1853,4.777545470346922e-09,1.7915795513800958e-09
1854,9.352196350675968e-09,4.676098175337984e-09
1855,4.2455496895854594e-09,3.1841622671890946e-09
1856,9.3189408967298e-09,3.1063134287023786e-09
1857,1.4156376515472857e-08,2.8312753030945714e-08
1858,6.361778659424999e-09,1.8595969208945462e-08
1859,5.601390462572908e-09,5.601390462572908e-09
1860,8.696649511641397e-09,1.6935580049448618e-08
1861,2.357981809808507e-09,9.431927461278633e-10
1862,9.939570166928036e-09,7.228778020618165e-09
1863,3.995696662428827e-09,1.548332484446746e-08
1864,5.753673426589501e-09,8.151037178549814e-09
1865,1.6003271596787272e-08,4.23615986733239e-09
1866,9.731225603104576e-09,6.811858188626729e-09
1867,9.7056229719783e-09,6.79393608038481e-09
1868,1.975949626142892e-09,6.421836395986702e-09
1869,2.9301114867763545e-09,5.860222973552709e-09
1870,4.587239033071455e-09,1.7202146374017957e-09
1871,2.1242354542039266e-09,7.434824311758348e-09
1872,6.0473394070115205e-09,7.861540751719076e-09
1873,2.3944017879529156e-09,9.577607151811662e-09
1874,6.572069999322139e-09,8.364453130127458e-09
1875,1.716458086775674e-09,5.721527251978387e-09
1876,7.859819461941697e-09,1.3905833817773328e-08
1877,4.9478527941460015e-09,1.2369631985365004e-09
1878,9.058632954861423e-09,3.0195443923020093e-09
1879,2.443730107160036e-09,6.720257683667796e-09
1880,1.9253538763308597e-09,7.701415505323439e-09
1881,5.5780060570498335e-09,6.972507571312292e-10
1882,5.989846840748214e-09,1.9966155395678697e-09
1883,3.791603475633565e-09,0.0
1884,7.2618666635548834e-09,5.941527270181268e-09
1885,6.445635580831777e-09,3.86738152613475e-09
1886,9.034849313138693e-09,2.5813855497602844e-09
1887,6.528924512139156e-09,5.223139698529167e-09
1888,3.804368819970705e-09,1.9021844099853524e-09
1889,2.5060546970934183e-09,1.8795409673089125e-09
1890,7.209825181320184e-09,2.6217545912032847e-09
1891,1.0198752065093686e-08,6.3742202627281586e-09
1892,5.014809900671935e-09,3.1342561879199593e-09
1893,3.695050043717174e-09,1.4164357686752282e-08
1894,5.041231432301174e-09,3.780923574225881e-09
1895,5.416753268150387e-09,4.213029924926559e-09
1896,4.717623180994224e-09,1.179405795248556e-09
1897,3.496028022631492e-09,0.0
1898,7.921697076085366e-09,5.092519295146758e-09
1899,4.9748205555033564e-09,1.1055156790007459e-09
1900,5.710158568206225e-09,2.595526460424935e-09
1901,3.912117296778206e-09,3.912117296778206e-09
1902,4.910283735171106e-09,2.9461704187383475e-09
1903,7.560307935250421e-09,2.1600881083827517e-09
1904,5.374625189347171e-09,2.1498500757388683e-09
1905,2.0643036169332163e-09,4.1286072338664326e-09
1906,2.0576738091193647e-09,8.745113966313056e-09
1907,1.5428529565042481e-09,0.0
1908,5.893666887857307e-09,4.911389073214423e-10
1909,2.7504918342913243e-09,4.400786846048277e-09
1910,1.068830135508847e-09,1.068830135508847e-09
1911,4.25629931299909e-09,6.384448969498635e-09
1912,1.041884239993962e-08,8.856016364688912e-09
1913,4.242391771214216e-09,1.590896969716482e-09
1914,6.696743604095445e-09,2.0090231700464756e-09
1915,9.424609537234119e-09,0.0
1916,5.493731025651982e-09,1.2086208478478966e-08
1917,3.289927441585405e-09,1.0966424435210342e-09
1918,5.743188147278033e-09,6.89182577673364e-09
1919,2.762354567309444e-09,1.8415696745321952e-09
1920,3.028892692213958e-09,3.786115865267448e-09
1921,2.2718242842501013e-09,5.300923255902035e-09
1922,2.951174193910333e-09,2.2133805899215986e-09
1923,5.307974060286824e-09,4.246379248229459e-09
1924,5.156649773851996e-09,0.0
