year,fut_VERB utile_ADJ,fut_VERB futile_ADJ
1800,3.427139176892524e-07,0.0
1801,3.3336556271024165e-07,0.0
1802,2.774921767922933e-07,0.0
1803,3.6276310311222915e-07,0.0
1804,3.781931923185766e-07,0.0
1805,4.804463173968543e-07,0.0
1806,3.8326200524352316e-07,0.0
1807,2.9893027431171504e-07,0.0
1808,3.2631464819132816e-07,0.0
1809,2.82378806559791e-07,0.0
1810,4.984469796909252e-07,0.0
1811,3.635261407453072e-07,0.0
1812,3.9207961322063056e-07,0.0
1813,4.917518481306615e-07,0.0
1814,2.8320093292677484e-07,0.0
1815,2.9130015377631935e-07,0.0
1816,3.0592372013416025e-07,0.0
1817,3.5029651712648047e-07,0.0
1818,3.743249692433892e-07,0.0
1819,5.517109684660682e-07,0.0
1820,3.595543773826648e-07,0.0
1821,3.126091883132176e-07,0.0
1822,3.2884020129131386e-07,0.0
1823,3.883895942635718e-07,0.0
1824,3.5368674389246735e-07,0.0
1825,3.2492084756086115e-07,0.0
1826,3.109218482677534e-07,0.0
1827,4.6455056690319907e-07,0.0
1828,3.834021811144339e-07,0.0
1829,2.8891602710245934e-07,0.0
1830,3.204108622867352e-07,0.0
1831,2.525775357753446e-07,0.0
1832,3.5989717162010493e-07,0.0
1833,2.5599820219213143e-07,0.0
1834,2.707014061797963e-07,0.0
1835,3.2899433222155494e-07,0.0
1836,2.9705714155170426e-07,0.0
1837,2.977977260343323e-07,0.0
1838,2.606922748782381e-07,0.0
1839,2.558879828029603e-07,0.0
1840,2.9937535828139517e-07,0.0
1841,2.4462289616167254e-07,0.0
1842,2.736972248840175e-07,0.0
1843,1.9670014239636657e-07,0.0
1844,2.563158147950162e-07,0.0
1845,2.2320911341466854e-07,0.0
1846,2.3183825703654293e-07,0.0
1847,2.1249300630188372e-07,0.0
1848,1.6975417338471743e-07,0.0
1849,1.2820504480259842e-07,0.0
1850,1.7447719358187896e-07,0.0
1851,1.728449632310003e-07,0.0
1852,1.5169571554451977e-07,0.0
1853,2.01851293013533e-07,0.0
1854,2.3276577110209473e-07,0.0
1855,2.1546165385188942e-07,0.0
1856,2.1692423501917801e-07,0.0
1857,2.5823183591455745e-07,0.0
1858,2.1385363879744546e-07,0.0
1859,1.9095649861355923e-07,0.0
1860,1.5516653206759656e-07,0.0
1861,1.8062141293739842e-07,0.0
