year,avaient_VERB été_VERB,avaient_VERB eté_VERB,avaient_VERB fêté_VERB
1800,2.0374185623950325e-05,4.4018303668735825e-08,3.144164484325529e-09
1801,2.3299871827475727e-05,5.9529565277216534e-08,2.3811825844433088e-09
1802,1.661148780840449e-05,2.2378401354217203e-08,0.0
1803,1.9520944988471456e-05,5.265916058760922e-08,0.0
1804,2.5657813239376992e-05,3.707776485839531e-08,0.0
1805,2.262077759951353e-05,3.695740957709859e-08,0.0
1806,2.503017822164111e-05,5.4751712497136396e-08,2.881669125542885e-09
1807,4.074846947332844e-05,6.263301344233696e-08,0.0
1808,2.463448981870897e-05,1.6995555540688656e-07,0.0
1809,3.168742114212364e-05,1.423189246452239e-07,0.0
1810,2.902459164033644e-05,3.510190182964834e-08,0.0
1811,3.531468246364966e-05,9.025476543911282e-08,0.0
1812,4.0112143324222416e-05,8.001624962616916e-08,0.0
1813,4.018273830297403e-05,1.0640243885973177e-07,0.0
1814,3.6189932870911434e-05,8.181360300341112e-08,0.0
1815,4.4593198254005983e-05,1.294667271167782e-07,0.0
1816,3.571427441784181e-05,6.952811304472561e-08,0.0
1817,4.010350312455557e-05,8.095742032310227e-08,0.0
1818,4.274815000826493e-05,8.225612191381515e-08,0.0
1819,4.2611132812453434e-05,1.1386155307491208e-07,2.070210003424222e-09
1820,4.7081452066777274e-05,9.374520004712394e-08,2.3732962262101864e-09
1821,4.490132778300904e-05,7.396116075142345e-08,0.0
1822,4.795151835423894e-05,7.519211919770896e-08,1.0025615893027862e-09
1823,5.3492018196266145e-05,7.115534828017189e-08,9.882686891060644e-10
1824,5.432038597064093e-05,7.157945702829238e-08,0.0
1825,5.1538259867811576e-05,1.1887347994843367e-07,7.924898959288385e-09
1826,5.8855832321569324e-05,1.4797413427913853e-07,0.0
1827,6.070035306038335e-05,2.175276421212402e-07,0.0
1828,5.923655771766789e-05,2.2380415032330347e-07,5.503380862137419e-09
1829,5.995821993565187e-05,1.0716470200122785e-07,0.0
1830,6.114628922659904e-05,1.356788601469816e-07,0.0
1831,5.632011379930191e-05,9.666548095310645e-08,3.1182412207897414e-09
1832,5.822757520945743e-05,5.953186388296672e-08,0.0
1833,5.909272294957191e-05,6.602667923516492e-08,1.853380560135065e-08
