year,tant_ADV in_ADJ,tant_ADV fine_ADJ
1800,3.772997558826319e-08,0.0
1801,3.809892135109294e-08,0.0
1802,1.0070280609397742e-07,0.0
1803,2.7304748684287006e-08,0.0
1804,9.640218934237055e-08,0.0
1805,1.1371510622026904e-08,0.0
1806,2.881669125542885e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,3.6257183921861724e-08,2.2660739951163578e-09
1809,1.3554183553310395e-08,0.0
1810,1.1700633795186377e-08,7.020380277111826e-09
1811,1.2535384286138651e-08,7.521229861140455e-09
1812,9.868670503010435e-08,1.0668832928217853e-08
1813,1.1502966579257645e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,5.394447111228828e-09,2.697223555614414e-09
1816,1.1588019432906549e-08,0.0
1817,9.341240669868967e-09,0.0
1818,1.0729059418679299e-08,0.0
1819,4.0369094733705424e-08,0.0
1820,1.3053129244156025e-08,5.933240565525466e-09
1821,1.8736827200882544e-08,0.0
1822,1.0025615893027862e-08,4.010246357211145e-09
1823,2.4706716672540097e-08,7.313188632451784e-08
1824,1.51580028528997e-08,1.8526447931321854e-08
1825,2.3774695989686734e-08,0.0
1826,1.5854372037438225e-08,0.0
1827,1.6591091167583727e-08,2.2121454890111636e-08
1828,1.1006761724274838e-08,1.8344602503717056e-09
1829,1.2859763920403111e-08,8.57317605795771e-10
1830,9.39315203396518e-09,6.262101504006523e-09
1831,1.091384405071949e-08,0.0
1832,9.470978667991403e-09,4.058990921151917e-09
1833,1.1583628500844156e-09,0.0
1834,1.120143711119681e-08,1.8669061851994684e-09
1835,6.050470346963266e-09,1.739510224751939e-08
1836,1.2769425516978572e-08,0.0
1837,6.262101948095733e-09,0.0
1838,1.2624323808552163e-08,0.0
1839,2.0974425751774106e-08,6.9914751765765e-10
1840,7.643626342979104e-09,2.5478754661634184e-09
1841,1.0272877659645019e-08,1.0272877659645019e-08
1842,6.037438549100216e-09,1.2074877098200432e-08
1843,1.2404512972352677e-08,0.0
1844,5.488561161115513e-09,6.037417232818143e-09
1845,1.0044410636567136e-08,1.674068439427856e-09
1846,1.2294452567118697e-08,3.5127007969038004e-09
1847,2.480882876909618e-08,1.833696039454935e-08
1848,4.82713291560799e-09,0.0
1849,7.54147322368226e-09,0.0
1850,2.1724787302446202e-08,1.3577992064028876e-09
1851,3.4826967976187007e-08,6.449438760824933e-10
1852,8.463708844885787e-09,6.510545436100301e-10
1853,2.329053394589664e-08,2.388772735173461e-09
1854,1.7665259477439577e-08,3.63696517347023e-09
1855,1.1144567935161831e-08,5.306937111981824e-10
1856,1.65670055451983e-08,5.177189232874468e-10
1857,1.9526035899275485e-08,1.4644527812635033e-09
1858,1.2723557263338847e-08,9.787352039936081e-10
1859,4.073738679721828e-09,0.0
1860,9.612086238064421e-09,0.0
1861,5.659156698811785e-09,4.715963730639317e-10
1862,4.517986429419807e-09,0.0
1863,1.1487627737949424e-08,0.0
1864,1.2945765348604255e-08,9.589455896019672e-10
1865,7.530950973944073e-09,0.0
1866,1.6543083347642096e-08,9.731225825149181e-10
1867,7.279217228983725e-09,4.85281148598915e-10
1868,1.4819621974027086e-08,3.457911734727759e-09
1869,2.441759683335931e-09,9.767038289254515e-10
1870,3.1537269240544674e-08,5.734048791339319e-10
1871,9.559059321873065e-09,3.18635318130589e-09
1872,1.6327815433037074e-08,0.0
1873,1.6760813181804224e-08,5.387403856360606e-09
1874,1.3741600746186577e-08,1.1949218281515073e-09
1875,1.4875970399952365e-08,1.1443054281912168e-09
1876,7.255217759905008e-09,6.04601479992084e-10
1877,8.658742167710898e-09,6.184815992682502e-10
1878,4.22736201599605e-09,6.039088784604019e-09
1879,1.4051448005147904e-08,6.109325489944695e-09
1880,1.7328185109022343e-08,1.9253538763308597e-09
1881,1.3945015142624584e-09,9.761510710859511e-09
1882,6.655385131892899e-09,0.0
1883,2.9700892412165558e-08,1.2638677882037541e-09
1884,1.3203393933736152e-08,0.0
1885,3.0294486919046903e-08,4.511945039809007e-09
1886,1.1616235084943582e-08,0.0
1887,9.79338704576449e-09,6.528924623161458e-10
1888,5.07249175996094e-09,6.340614699951175e-10
1889,5.6386231239713425e-09,6.891650361495749e-09
1890,2.6872983838188702e-08,1.3108772956016423e-09
1891,7.011642266796514e-09,1.9122659011827636e-09
1892,1.817868611198037e-08,1.2537024751679837e-09
1893,1.3548516086814288e-08,0.0
1894,6.301539068331863e-09,0.0
1895,3.611168697403855e-09,3.611168697403855e-09
1896,1.8280790214930676e-08,1.179405795248556e-09
1897,1.2236098356765979e-08,4.661370844871726e-09
1898,2.1501747937691107e-08,1.6975064687230201e-09
1899,9.949641111006713e-09,1.1055156790007459e-09
1900,2.1802422867089888e-08,0.0
1901,1.620734302321125e-08,0.0
1902,9.329538919189417e-09,4.910283846193408e-10
1903,8.640352433531007e-09,0.0
1904,1.0749250378694342e-09,0.0
1905,1.4966200723165457e-08,1.5482277682110634e-09
1906,6.6874399351490865e-09,0.0
1907,6.685696440911215e-09,2.057137349353866e-09
1908,6.875944702500192e-09,9.822778146428846e-10
1909,1.4302557360679202e-08,0.0
1910,9.085056262847502e-09,5.344150677544235e-10
1911,3.7242617878519013e-09,0.0
1912,8.856016087133156e-09,0.0
1913,5.833288518886093e-09,4.242391771214216e-09
1914,1.2723813114234872e-08,2.0090231700464756e-09
1915,1.1780761921542648e-09,3.534228465440492e-09
1916,6.592477230782379e-09,1.0987461607214755e-08
1917,2.1932848870420685e-09,1.0966424435210342e-09
1918,9.189101035644853e-09,3.44591288836682e-09
1919,6.4454939163738345e-09,0.0
1920,1.514446346106979e-09,4.543339038320937e-09
1921,2.2718242842501013e-09,7.572747429129834e-10
1922,8.115729421831475e-09,2.2133805899215986e-09
1923,6.369568872344189e-09,8.492758496458919e-09
1924,1.1602462102189293e-08,0.0
1925,1.2097995494286806e-08,1.0998177923937646e-09
1926,1.114613823460786e-08,3.343841648018042e-09
1927,6.689535148041159e-09,0.0
1928,1.1426041446327417e-08,1.1426041224282812e-09
1929,6.684243825105796e-09,0.0
1930,9.453243188239924e-09,1.0503603542488804e-09
1931,9.124285327288817e-09,3.4216069977333063e-09
1932,4.38381475564853e-09,0.0
1933,8.029463538505865e-09,6.882397318719313e-09
1934,7.188948103475923e-09,3.5944740517379614e-09
1935,5.98414207075848e-09,0.0
1936,3.6374143697059935e-09,3.6374143697059935e-09
1937,5.036447148221157e-09,2.5182236296217297e-09
1938,1.0372171566075394e-08,0.0
1939,4.588215141154706e-09,0.0
1940,2.2822046474857416e-08,2.5357829169792012e-09
1941,8.854508237732261e-09,1.1806010391524069e-08
1942,1.517105907566929e-08,9.102635090130207e-09
1943,8.709705845433291e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,6.535512131478072e-09,1.089252066321933e-08
1946,1.3921104269343232e-09,4.1763312808029696e-09
1947,3.5762612871081956e-09,0.0
1948,8.697510045507784e-09,0.0
1949,3.9268033269479474e-09,0.0
1950,9.571825110299415e-09,0.0
1951,3.1984206394497505e-09,2.1322803522849654e-09
1952,9.49032352703938e-09,0.0
