year,fût_VERB au_ADP,fût_VERB faux_ADJ
1800,8.049061079873354e-07,9.432493897065797e-09
1801,7.738843237348192e-07,1.4287095950749062e-08
1802,6.556871312568546e-07,4.475680270843441e-09
1803,7.41128928893886e-07,1.755305234496518e-08
1804,8.255981924776279e-07,3.9549615138412264e-08
1805,7.363053100561956e-07,2.2743021688143017e-08
1806,8.011040222299926e-07,8.645007376628655e-09
1807,8.910969313546957e-07,1.9928686256776018e-08
1808,7.047490271361312e-07,9.064295980465431e-09
1809,8.155100204021437e-07,6.7770917766551975e-09
1810,7.441603315783141e-07,5.616304221689461e-08
1811,8.198140903914464e-07,5.0141537144554604e-08
1812,5.254400434751005e-07,5.3344164641089264e-09
1813,8.886041769073927e-07,8.627225156487839e-09
1814,6.482155185949523e-07,1.8880061958270744e-08
1815,7.39039251129725e-07,8.091670444798638e-09
1816,1.008157710202795e-06,4.6352077731626196e-09
1817,9.138846621681296e-07,2.80237220096069e-08
1818,1.0097237463924102e-06,2.6226590676969863e-08
1819,9.08822187284386e-07,2.3807414706311647e-08
1820,9.49318518905784e-07,3.322614716694261e-08
1821,8.658386718707334e-07,4.141825016290568e-08
1822,8.481671329718665e-07,3.0076847679083585e-08
1823,1.1948168321396224e-06,4.4472091786929013e-08
1824,1.1082183846156113e-06,3.2842340402794434e-08
1825,1.2098678325855872e-06,3.0819052199149155e-08
1826,1.0411037010271684e-06,5.108631029315802e-08
1827,1.2166800615887041e-06,3.594736597278825e-08
1828,9.447470006307412e-07,3.760643352279658e-08
1829,9.970603969122749e-07,3.8579290873030914e-08
1830,9.194852168548096e-07,1.878630406793036e-08
1831,7.951514930937265e-07,1.5591206548037917e-08
1832,8.618590641162882e-07,5.411987746839486e-09
1833,7.309269562938425e-07,1.853380560135065e-08
1834,6.954225568733818e-07,2.7070139907436896e-08
1835,9.12108419015567e-07,9.075705520444899e-09
1836,8.878110975274467e-07,2.2178475944656384e-08
1837,8.989595130515227e-07,1.7394727436226276e-08
1838,9.020079119181901e-07,2.7773513266993177e-08
1839,7.410963576148788e-07,2.307186797168015e-08
1840,9.656448582973098e-07,1.2739377552861697e-08
1841,8.526488386451092e-07,3.980740004294603e-08
1842,7.607172847201582e-07,3.6224630406422875e-08
1843,8.80129732649948e-07,2.658109998776581e-08
1844,7.969391049300611e-07,1.1525978393933656e-08
1845,7.499826324419701e-07,1.1160455670733427e-08
1846,7.967976216605166e-07,3.1614305839866574e-08
1847,7.092089049365313e-07,2.2112217834546755e-08
1848,6.661443308075832e-07,1.448139919091318e-08
1849,6.661634870397393e-07,1.005529792763582e-08
1850,7.753033628432604e-07,6.1100964288129944e-09
1851,7.339461376432155e-07,2.5152811389261842e-08
1852,6.451950298469455e-07,9.765818376195057e-09
1853,7.405195674436982e-07,6.569124799682413e-09
1854,6.905037821525184e-07,1.454786069388092e-08
1855,6.692047804790491e-07,1.4859423913549108e-08
1856,7.631176686118124e-07,5.694908100650764e-09
1857,8.669559861118614e-07,1.3668225662399891e-08
1858,8.147970333993726e-07,6.361778659424999e-09
1859,7.678997349103156e-07,1.5276519604867644e-08
1860,8.765306915847759e-07,5.034902272882391e-09
1861,8.017138384275313e-07,4.715963619617014e-09
1862,7.346245638473192e-07,1.581295272501393e-08
1863,8.161210303114785e-07,1.5982786649715308e-08
1864,6.794129490117484e-07,1.582260189536555e-08
1865,7.465055205102544e-07,2.023943146411966e-08
1866,7.541700028923515e-07,1.1677471434268227e-08
1867,7.036576903374225e-07,1.261730986357179e-08
1868,6.046406042514718e-07,8.89177353968762e-09
1869,6.456012329181249e-07,9.278686263769487e-09
1870,6.548283977281244e-07,3.4404292748035914e-09
1871,5.469906341204478e-07,2.1242354542039266e-09
1872,6.573457653757941e-07,1.69325495846806e-08
1873,6.500800964204245e-07,1.0176207432266438e-08
1874,6.870800461911131e-07,1.5533982988813477e-08
1875,6.225021706995904e-07,3.432916173551348e-09
1876,6.039968525328732e-07,9.069021977836655e-09
1877,5.547780119741219e-07,4.9478527941460015e-09
1878,5.604274520010222e-07,6.6429977074733415e-09
1879,5.993248350932845e-07,1.0385853066452455e-08
1880,5.84665770020365e-07,1.3477476912271413e-08
1881,4.6088274530120543e-07,6.2752567586699115e-09
1882,5.550591026803886e-07,7.320923423037584e-09
1883,5.352480343390198e-07,1.2638677659992936e-08
1884,6.509273475785449e-07,1.9805090900604227e-09
1885,4.776215973834042e-07,0.0
1886,5.730676093662623e-07,2.5813855497602844e-09
1887,4.942396003571048e-07,7.834709769838355e-09
1888,5.338797564036213e-07,7.60873763994141e-09
1889,4.692587367571832e-07,3.759081934617825e-09
1890,4.765038852383441e-07,3.2771931834929546e-09
1891,4.557567194751755e-07,7.0116419337296065e-09
1892,4.124681254324969e-07,8.775916882086676e-09
1893,5.173070007913338e-07,8.005941687372342e-09
1894,4.7324559204753314e-07,5.041231432301174e-09
1895,5.958428346275468e-07,1.023164486468886e-08
1896,4.747108448555082e-07,2.948514543632541e-09
1897,4.533183073363034e-07,1.7480140668268973e-09
1898,4.3342998878870276e-07,8.487532454637403e-09
1899,4.5713073859587894e-07,9.949641111006713e-09
1900,4.147651395669527e-07,4.15284251431558e-09
1901,4.107723157176224e-07,1.8442838367604963e-08
1902,4.0558944647273165e-07,3.928227076954727e-09
1903,3.6613494103221456e-07,3.2401321625741275e-09
1904,4.278201686247485e-07,3.7622376325430196e-09
1905,3.911855230853689e-07,5.160758931310738e-09
1906,4.4497195972326153e-07,2.572092316910357e-09
1907,3.944560944546538e-07,3.599990305858114e-09
1908,4.0960983938020945e-07,1.4734167219643268e-09
