year,fut_VERB aux_ADP,fut_VERB faux_ADJ
1800,4.338947121595993e-07,0.0
1801,3.0955374086261145e-07,1.904946067554647e-08
1802,4.1400042505301826e-07,2.2378401354217203e-09
1803,4.797834662895184e-07,2.145373123596528e-08
1804,4.474050285807607e-07,0.0
1805,3.752598445316835e-07,0.0
1806,5.475171178659366e-07,1.152667650217154e-08
1807,4.384311012017861e-07,0.0
1808,5.91445314057637e-07,2.2660739951163578e-09
1809,4.3373387370593264e-07,0.0
1810,3.6739990605383355e-07,1.8721014072298203e-08
1811,4.2369597963443084e-07,1.0028307073639553e-08
1812,4.827646762350923e-07,1.0668832928217853e-08
1813,3.134558426154399e-07,5.751483289628823e-09
1814,5.506685170075798e-07,3.1466771410748606e-09
1815,6.122697300270374e-07,2.697223555614414e-09
1816,3.5922860774917353e-07,0.0
1817,3.752064969830826e-07,9.341240669868967e-09
1818,5.555268671741942e-07,0.0
1819,4.657972567656543e-07,2.070210003424222e-09
1820,5.434848162622075e-07,4.034603762193001e-08
1821,6.202876079441921e-07,1.97229765852569e-09
1822,4.802270154868893e-07,2.105379337535851e-08
1823,5.395946800490492e-07,0.0
1824,6.08846448812983e-07,8.421112696055388e-10
1825,5.239238589638262e-07,0.0
1826,4.597767713221401e-07,8.807984341885344e-10
1827,5.290714852890233e-07,6.452091305675367e-09
1828,4.1367079006704444e-07,1.8344602503717056e-09
1829,5.598283792096481e-07,1.800366966620004e-08
1830,4.26866591851649e-07,7.305785310052215e-09
1831,3.866619238124258e-07,0.0
1832,4.1401705175303505e-07,1.3529969367098715e-09
1833,4.4365296503201535e-07,0.0
1834,5.414028123595926e-07,0.0
1835,5.68744212614547e-07,3.781543966852041e-09
1836,5.880656317458488e-07,2.688300027031687e-09
1837,5.712428219339927e-07,1.3915782304252389e-08
1838,6.488902499768301e-07,3.1560809521380406e-09
1839,5.138734309184656e-07,5.5931801412612e-09
1840,5.095751021144679e-07,6.369688665408546e-10
1841,4.7383647938659124e-07,8.346713542550788e-09
1842,4.7024937543937995e-07,4.695785538189057e-09
1843,4.512880025231425e-07,5.31621990873532e-09
1844,5.290972922011861e-07,0.0
1845,4.2019115653602057e-07,1.1160455892778032e-09
1846,3.9869155443739146e-07,1.7563503984519002e-09
1847,4.492555376600649e-07,4.314578916364553e-09
1848,4.2156960944339517e-07,0.0
1849,3.2344541978091e-07,0.0
1850,3.41486497745791e-07,4.073397619208663e-09
1851,4.0373487308897893e-07,3.2247193804124663e-09
1852,4.0821120705913927e-07,1.3021090872200602e-09
1853,5.494177344189666e-07,1.1943863675867306e-09
1854,4.577380252612784e-07,5.195664343204953e-09
1855,4.4525202724798874e-07,5.306937111981824e-09
1856,4.763014089803619e-07,5.177189232874468e-10
1857,4.6520781893377716e-07,1.4644527812635033e-09
1858,5.07963591189764e-07,4.893676019968041e-10
1859,4.801919430974522e-07,1.018434669930457e-09
1860,4.5817611749043863e-07,4.57718396518203e-09
1861,3.9944211494002957e-07,1.4147891747029462e-09
1862,3.560173240657605e-07,9.035972525772706e-10
1863,4.784846510119678e-07,0.0
1864,3.989213723798457e-07,4.794728170054441e-09
1865,3.803130255164433e-07,3.765475486972036e-09
1866,3.848699918762577e-07,5.352174259343201e-09
1867,3.275647770806245e-07,4.85281148598915e-10
1868,4.361908736427722e-07,4.93987406535723e-10
1869,4.5172552631811413e-07,5.860222973552709e-09
1870,4.0826427039064583e-07,5.160643912205387e-09
1871,2.931444953446771e-07,1.0621177271019633e-09
1872,3.9065812984517834e-07,0.0
1873,3.896888927101827e-07,1.4366410283628284e-08
1874,3.8356989762178273e-07,2.3898436563030145e-09
1875,4.7374246037179546e-07,0.0
1876,3.603424829634605e-07,9.069021977836655e-09
1877,4.391219476929109e-07,3.710889595609501e-09
1878,3.726117654423433e-07,5.435179861734696e-09
1879,4.3437302110760356e-07,6.10932526790009e-10
1880,4.216524871480942e-07,1.9253538763308597e-09
1881,3.067903264764027e-07,8.367009307619355e-09
1882,3.753637258796516e-07,1.9966155395678697e-09
1883,3.6715360351990967e-07,2.5277355764075082e-09
1884,3.6903486488881754e-07,5.281357573494461e-09
1885,3.519317033351399e-07,1.2891271383708158e-09
1886,3.7623695448019134e-07,5.162771099520569e-09
1887,3.3623962281126296e-07,5.223139698529167e-09
1888,3.9502029380855674e-07,2.53624587998047e-09
1889,4.072338981586654e-07,0.0
1890,3.041235459022573e-07,6.554386478008212e-10
1891,3.1616130513612006e-07,0.0
1892,3.6921537116541003e-07,1.2537024751679837e-09
1893,3.0976835319052043e-07,2.463366621796581e-09
1894,3.257895855313109e-07,6.301539290376468e-10
1895,3.2319960041604645e-07,1.2037228991346183e-09
1896,3.2079836387310934e-07,2.948514543632541e-09
1897,2.936663747732382e-07,1.1653427112179315e-09
1898,2.885761034576717e-07,2.26334195829736e-09
1899,2.6255997909174766e-07,1.6582735185011188e-09
1900,3.5247251162218163e-07,4.671947717582725e-09
1901,3.6382689927449974e-07,2.235495566438317e-09
1902,3.181863803547458e-07,1.9641135384773634e-09
1903,2.9107187060617434e-07,0.0
1904,2.810928947383218e-07,1.6123875568041512e-09
1905,2.9932402867416386e-07,2.0643036169332163e-09
1906,2.942473429357051e-07,5.658602919567102e-09
1907,3.3171340874105226e-07,0.0
1908,3.727744228854135e-07,0.0
1909,3.729666957497102e-07,0.0
1910,3.104951531440747e-07,2.67207544979442e-09
1911,3.51144706201012e-07,3.1922244847493175e-09
1912,2.979788860102417e-07,3.646594803896619e-09
1913,3.224217834940646e-07,5.833288518886093e-09
1914,3.0805020401203365e-07,1.3393487430235496e-09
1915,3.180805663305364e-07,1.1780761921542648e-09
1916,2.593041017462383e-07,7.69122365795738e-09
1917,3.1034980452204763e-07,1.0966424435210342e-09
1918,3.308076372832147e-07,3.44591288836682e-09
1919,3.5726452551898547e-07,9.207848372660976e-10
1920,3.664960104288184e-07,1.514446346106979e-09
1921,2.854925753581483e-07,1.5145494858259667e-09
1922,3.4086062328242406e-07,0.0
1923,3.1104727327146975e-07,1.0615948120573648e-09
1924,2.771699314507714e-07,1.289162443462999e-09
1925,2.5955699811675004e-07,1.0998177923937646e-09
